County/State,Fips Code,State Name,6d filter,County,County Name,Date,Date of Latest Data,State Fips Code,Avg Pos Tsts/Day,Cases per 1000,Cases per 1000 State,County Pop Density,Ct Testing Inc,Ct Testing Inc 7D Avg,Ct Testing Neg Inc,Ct Testing Neg Inc 7D Avg,Ct Testing Neg Rolltot,Ct Testing Pos Inc,Ct Testing Pos Inc 7D Avg,Ct Testing Pos Rolltot,Ct Testing Rolltot,Cumulative Cases,Cumulative Cty Cases,Cumulative Cty Deaths,Cumulative Deaths,Cur Date,Dhc County Icu Beds,Dhc County Licensed Beds,Dhc County Staffed Beds,Est Active Cases,Est Deaths,Hosp Est,Hosp. High Est,Hosp. Low Est,Hospitalization,ICU,ICU Est,ICU High Est,ICU Low Est,Ihme Allbed,Ihme Allbed Hi,Ihme Allbed Lo,Ihme Allbed Peak,Ihme Icubed,Ihme Icubed Hi,Ihme Icubed Lo,Ihme Vent,Ihme Vent Hi,Ihme Vent Lo,Latest Case Count,Live Data,Number of Records,Nyt Cases,Nyt Cases Inc,Nyt Deaths,Nyt Deaths Inc,Pct of Pop Tsted,Pct Pop Test Neg Rolltot,Pct Pop Test Pos Rolltot,Pct Pop Test Rolltot,Pct Testing Positive,Sah Period,State Day Count,State Pop Density,Total County Female Pop,Total County Land Area,Total County Male Pop,Total County Pop,Total State Female Pop,Total State Land Area,Total State Male Pop,Total State Pop,Total State Population,Vent Est.,Vent High est,Vent Low Est,Vent. Use
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,9/27/2020,9/27/2020,49,428.714285714,27.11,9.92,1529.946920300,2691,3323.714285714,2225,2895,322869,466,428.714285714,30784,353653,70570,30783,252,453,1,230,3374,2967,30784,252,,,,59,15,,,,59,74,49,,15,19,13,13,16,11,30784,1,1,30784,427,252,2,11.40%,0.284303513,0.027106967,0.311410480,12.90%,0,216,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,,,,13
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,9/28/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,59,76,48,,,15,19,12,59,76,48,,15,19,12,13,17,11,0,0,1,0,0,0,0,,,,,,0,217,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,13,17,11,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,9/30/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,58,78,45,,,15,20,12,58,78,45,,15,20,12,13,17,10,0,0,1,0,0,0,0,,,,,,0,219,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,13,17,10,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,9/29/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,59,77,46,,,15,19,12,59,77,46,,15,19,12,13,17,10,0,0,1,0,0,0,0,,,,,,0,218,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,13,17,10,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,1/1/2021,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,203,547,43,,,50,134,11,203,547,43,,50,134,11,44,117,10,0,0,1,0,0,0,0,,,,,,0,312,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,44,117,10,
"SALT LAKE, UTAH",49035,UTAH,True,SALT LAKE,SALT LAKE,10/3/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,57,78,43,,,15,20,11,57,78,43,,15,20,11,13,17,10,0,0,1,0,0,0,0,,,,,,0,222,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,13,17,10,
"SALT LAKE, UTAH",49035,UTAH,True,SALT LAKE,SALT LAKE,10/2/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,58,78,44,,,15,20,11,58,78,44,,15,20,11,13,17,10,0,0,1,0,0,0,0,,,,,,0,221,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,13,17,10,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,10/1/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,58,78,45,,,15,20,11,58,78,45,,15,20,11,13,17,10,0,0,1,0,0,0,0,,,,,,0,220,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,13,17,10,
"SALT LAKE, UTAH",49035,UTAH,False,SALT LAKE,SALT LAKE,12/31/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,194,525,42,,,48,129,11,194,525,42,,48,129,11,42,113,9,0,0,1,0,0,0,0,,,,,,0,311,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,42,113,9,
"SALT LAKE, UTAH",49035,UTAH,True,SALT LAKE,SALT LAKE,10/5/2020,,49,,0.00,0.00,1529.946920300,,,,,,,,,,70570,30783,252,453,,230,3374,2967,0,0,57,78,41,,,15,20,11,57,78,41,,15,20,11,13,17,9,0,0,1,0,0,0,0,,,,,,0,224,37.749159999,565600,742.28,570049,1135649,1540145,82169.59,1561688,3101833,3101833,13,17,9,
