county,NAICS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
NY-New York,7211,5228,4606,6501,5669,6721,6928,6463,5092,4392,5993,6111,6064,6050,6101,5266,4152,5947,6319,6326,6852,7328,5667,4534,5812,6233,6074,5841,5862,4987,4177,5965
NY-New York,7224,12177,10078,12851,10419,13458,13725,13078,11544,9162,11555,12103,12171,11812,13385,11676,8004,11865,12688,12385,13863,15706,12320,9742,11712,12039,12491,11956,12421,10739,9262,12614
NY-New York,7225,145781,123417,154164,127992,159940,158272,156329,137560,112756,138618,143278,139888,138045,154647,137238,100901,138732,147976,142399,155994,177313,145680,116851,138338,140185,142461,137626,140890,125885,109527,140548
NY-New York,7139,23872,22025,28211,22351,29276,28959,25569,22895,20469,25290,26540,25716,24179,26418,22647,15893,25179,27303,25388,29143,31391,24808,20068,25325,25120,26569,24860,23938,20255,19591,27738
NY-New York,7131,644,635,655,537,681,703,641,596,541,577,603,613,526,710,614,404,563,659,574,607,819,609,494,602,606,566,518,547,439,518,678
NY-New York,8131,6439,7049,6601,5755,6788,6855,6775,6345,6165,6069,6169,6174,5930,6495,6339,5833,5957,6269,6175,6563,7604,6822,6330,6142,5976,6001,5859,5914,6017,5912,6111
NY-New York,8121,3038,2869,3330,2768,3220,3412,3434,3048,2522,2846,2986,3053,2993,3211,2927,2391,3027,3014,3055,3195,3642,3215,2637,2788,3036,2910,2821,2983,2792,2425,3011
CA-Los Angeles,7211,8772,7346,7240,7474,7252,7462,7827,8027,7022,7348,7175,7425,7733,8426,8791,7418,7523,7953,7890,8878,10159,9995,7829,7309,7440,7408,7595,7772,8172,6169,6957
CA-Los Angeles,7224,5037,4051,4207,4429,4429,4669,5296,4889,4017,4328,4446,4713,4849,5312,5072,4196,4245,4408,4523,4986,6152,5722,4350,4121,4453,4321,4503,4936,5260,3850,4226
CA-Los Angeles,7225,126232,107875,112955,118351,116686,118332,131184,124933,105207,113458,114823,114761,117541,130933,124269,106041,108847,113615,114579,122137,145438,136287,110351,107055,110625,108720,112621,118703,126535,99825,103740
CA-Los Angeles,7139,19751,17286,20598,22386,22116,22626,22703,19497,16256,21364,21193,21250,21397,21572,18770,16145,19631,21095,20714,21666,24018,20081,16248,19523,20115,20027,20313,19244,18888,14394,19117
CA-Los Angeles,7131,963,813,831,912,868,920,904,1023,874,880,858,897,866,946,909,912,783,772,787,855,998,1048,815,781,791,782,804,802,944,716,760
CA-Los Angeles,8131,5784,6403,5082,5452,5453,5379,5684,5364,5909,5137,5149,5460,5500,5632,5595,6028,5221,5358,5361,5972,6287,5982,6197,4866,5037,5238,4966,5039,5135,5799,5879
CA-Los Angeles,8121,2946,2468,3241,3488,3255,3259,3421,2888,2397,3222,3251,3326,3217,3416,2911,2296,3176,3341,3351,3509,3800,3206,2412,3126,3141,3156,3241,2994,2912,2162,3440
FL-Miami-Dade,7211,3804,3406,4071,4375,4254,4517,5101,5525,4891,4934,4807,4651,4722,5439,5611,4516,4488,4718,4401,4659,5813,5970,4557,4196,4348,4464,4396,5018,5581,3929,3944
FL-Miami-Dade,7224,1504,1269,1894,2055,2041,2062,2349,2292,1809,1981,2028,2078,2191,2563,2463,1873,1985,2138,1958,2161,2834,2706,1986,1889,1969,2011,2034,2364,2605,1675,1740
FL-Miami-Dade,7225,33434,26019,36274,39741,40225,40149,45427,40277,30902,38539,39891,39170,39998,44486,40136,31326,37059,40587,38443,40940,50297,43369,31719,35873,37758,37802,38934,41116,41472,28251,32316
FL-Miami-Dade,7139,6982,5917,10104,10787,10701,10561,10871,9083,6607,10201,10648,10559,10639,10786,8935,7138,10232,11484,10488,10646,12300,9652,6464,9886,10413,10655,10522,10123,9089,5831,8984
FL-Miami-Dade,7131,191,183,303,366,348,344,455,425,327,328,349,351,342,420,465,380,410,399,298,303,502,408,242,281,354,344,321,388,382,214,223
FL-Miami-Dade,8131,1600,1727,1756,1653,1826,1838,1768,1548,1978,1690,1782,1792,1722,1741,1633,1962,1627,2090,1764,1906,2295,1798,2124,1710,1780,1772,1756,1712,1696,1929,1715
