series,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15
S,15224501.877271123,15144912.399662165,15072774.715425478,15001406.880494718,14926825.890595974,14846515.936516844,14758792.699590838,14662466.771369547,14556665.530310515,14440741.291944468,14314226.60836466,14176814.668519638,14028352.024294956,13868836.130427653,13698413.314834341,13517374.750638463,13326149.278427787,13125292.782433901,12915474.389965631,12697460.113301864,12472094.735795677,12240282.797978336,12002969.499846749,11761122.233911749,11515713.327334384,11267704.422556078,11018032.780384336,10767599.658152303,10517260.804253213,10267819.021354798,10020018.68366844,9774542.046918802,9532007.16040203,9293022.667100715,9058124.153337149,8827777.0474488,8602379.770161519,8382267.2088321075,8167714.502211385,7958941.077817119,7756114.864389247,7559356.597195086,7368744.137852031,7184316.738871249,7006079.193811698,6834005.825230133,6668044.273591095,6508119.060427443,6354134.908040179,6205979.805784051,6063527.819496943,5926641.645954522,5795174.9184638,5668974.272965854,5547881.186422557,5431733.600936997,5320367.348119275,5213617.388765914,5111318.883069543,5013308.106401246,4919423.225285561,4829504.94758106,4743397.060141347,4660946.866406327,4582005.535498069,4506428.373498327,4434075.02668869,4364809.625656695,4298500.878325284,4235022.119157858,4174251.3210330973,4116071.075576728,4060368.5470830617,4007035.4045579904,3955967.7358662267,3907065.947467293,3860234.652774736,3815382.5517686093,3772422.304129361,3731270.397838808,3691847.01490778,3654075.895637026,3617884.2025952497,3583202.385302655,3549964.046437527,3518105.8102345355,3487567.1936143273,3458290.480472348,3430220.599458787,3403305.0054991865,3377493.565235041,3352738.44650413,3328994.011930011,3306216.716647995,3284365.0101598077,3263399.2422802406,3243281.573115466,3223975.886993647,3205447.710253382,3187664.132783811,3170593.733201318,3154206.5075413994,3138473.8013398843,3123368.244975083,3108863.692141292,3094935.1613240824,3081558.7801488466,3068711.73247588,3056372.208117761,3044519.3550577527,3033133.2340513403,3022194.7754966873,3011685.7384636784,3001588.671775259,2991886.8770389007,2982564.373530196,2973605.864834721,2964996.707158478,2956722.879221251,2948770.953651229,2941128.069803132,2933781.9079258447,2926720.6646092297,2919933.0294433255,2913408.1628265167,2907135.6748625347,2901105.6052892813,2895308.4043854424,2889734.9148037136,2884376.354282203,2879224.299188129,2874270.668850434,2869507.710640256,2864927.985760425,2860524.355707258,4242955.664016127
E,0.0,79589.47760895864,135806.00368401821,180007.07073403985,218579.2673919357,255164.40769482907,291844.30303631746,329789.40697276295,369619.2474624823,411604.48440242,455781.39805234276,502018.37427751964,550056.7642284692,599538.7565769985,650029.2437488736,701035.3123143975,752024.9842716566,802445.6553828684,851742.0218336728,899372.9783662837,944826.8918820072,987634.7196972558,1027380.5874271488,1063709.6200979475,1096332.9976279628,1125030.3605111667,1149649.8118099363,1170105.8436752963,1186375.5622732332,1198493.5992005318,1206546.0867713045,1210664.0457927077,1211016.4939680032,1207748.0448447482,1201047.4399930937,1191135.8229168379,1178257.1069652198,1162669.946187852,1144641.0018273068,1124439.3031793605,1102331.5614300454,1078578.3280674217,1053430.9072509834,1027128.9411127485,999898.5924868074,971951.2533714569,943482.7107918902,914672.7052739657,885684.8211020684,856666.6519440877,827750.190200841,799052.3934443813,770675.8864065304,742709.7620317456,715230.4500025803,688302.6257907455,661980.137615339,636306.9326577974,611317.96746562,587040.090665364,563492.8889042094,540689.4893629394,518637.3142530239,497338.7844530763,476791.97088458494,456991.193404129,437927.5679299909,419589.50325503777,401963.1495533137,385032.8009913529,368781.2551309347,353190.13197962317,338240.1556283418,323911.40142843314,310183.51161892817,297035.88223077724,284447.8239793401,272398.6997185195,260868.04087703265,249835.6451355569,239281.6574377844,229186.6362626735,219531.60692241,210298.103493078,201468.20083444446,193024.53801274908,184950.33430669105,177229.39885232697,169846.13486747767,162785.5392904118,156033.19857081518,149575.28126301488,143398.5279916891,137490.2392883754,131838.26173248186,126430.97277267733,121257.26455296525,116306.52702190696,111568.63056285452,107033.90834719848,102693.13858108027,98537.5267883335,94558.68824820947,90748.63068534301,87099.73729108788,83604.75013949024,80256.75404749338,77049.16091722404,73975.69458817008,71030.37621851769,68207.51020768567,65501.67066601338,62907.68843247676,60420.638637097254,58035.828801250944,55748.78746628138,53555.25333857606,51451.164937506284,49432.65073128094,47496.01974476804,45637.75262263752,43854.49313073088,42143.040078324775,40500.33964389368,38923.47808705889,37409.6748296126,35956.27588880343,34560.74764644327,33220.670937830604,31933.735444965005,30697.734379042202,29510.559437757354,28370.196023497665,27274.718709067176,26222.286938150737,25211.140948285505
I,41664.44658620926,34564.734972115555,31763.315831608154,31620.758587755983,33217.725039634104,36039.367104856465,39799.88927929542,44342.9813552012,49584.38841614032,55478.25367701684,61997.03746167885,69119.3007772776,76822.15056764084,85076.55788017705,93844.55541518089,103077.76114250819,112716.9098258306,122692.19163557695,132924.2485649894,143325.69670248934,153803.0448411313,164258.87884819933,174594.18287017316,184710.67547634008,194513.05160644627,203911.03866462212,212821.19560352014,221168.40551796203,228887.03343559214,235921.7403249828,242227.96093143098,247772.06639824001,252531.24258824057,256493.12170972905,259653.05522829967,262014.51088587035,263588.9470334804,264395.3346028574,264459.4489624099,263813.02114732703,262492.8148939044,260539.6791016827,257997.6126844488,254912.86895649447,251333.11893049482,247306.6866716744,242881.86483087688,238106.31444340476,233026.54986991422,227687.50724592665,222132.19289558634,216401.40676525846,210533.53496539552,204564.40490452902,198527.1961937654,192452.4004366597,186367.82314689807,180298.62131001044,174267.3704864506,168294.15580857385,162396.68172539448,156590.39587353944,150888.62298200754,145302.70523768562,139842.14603703743,134514.75451896575,129326.78870910028,124283.09550335248,119387.24607689798,114641.66562356822,110047.75661078577,105606.01497829169,101316.13891718154,97177.13004176406,93187.38691327405,89344.79099440388,85646.78520985515,82090.4453634695,78672.54471966227,75389.61209837477,72237.98386090284,69213.85018087934,66313.29600228966,63532.33708639158,60866.951543290656,58313.107233001516,55866.7854062354,53524.00093786222,51280.819486819164,49133.371895863,47077.86612355239,45110.596979662456,43227.95391424216,41426.42709001685,39702.61194803334,38053.21245750834,36475.04322288668,34965.0306042194,33520.21299117719,32137.740356333776,30814.87319978476,29548.980984685903,28337.54015186469,27178.131791238746,26068.439038310054,25006.24425544157,23989.42604990376,23015.956173744336,22083.89634432599,21191.395018837025,20336.684151152003,19518.07595505137,18733.959693948877,17982.798513876096,17263.126333489927,16573.54480225954,15912.720335715752,15279.38123467277,14672.314893626886,14090.365102069813,13532.429441198612,12997.456777435254,12484.444853264718,11992.437975141253,11520.524797580007,11067.836202029885,10633.543268698748,10216.855339161244,9817.018167311338,9433.312156015969,9065.05067667422,8711.578468780377,8372.270116521968,8046.528599409765,7733.783913930067,7433.491763226007
A,173115.92831269058,165490.59958291592,171033.81960413454,185396.99017501736,206254.29231188833,232412.1002374881,263316.5551832877,298773.856983925,338787.46088979056,383460.5600324828,432935.4422020747,487353.97743934655,546830.5658521812,611432.8650563019,681167.8605264539,755972.0751333658,835705.3524748242,920147.9358011577,1009000.6485264604,1101887.957207718,1198363.6241910325,1297918.5739240383,1399990.5279090023,1503974.9207934162,1609236.5982893412,1715121.8149527493,1820970.0913726264,1926125.5494015063,2029947.4137779824,2131819.4425017387,2231158.1213620096,2327419.526117915,2420104.8162895413,2508764.375789067,2592991.7098847716,2672428.6608282356,2746768.503080898,2815757.349166242,2879194.1990121584,2936929.9014375466,2988865.2521517444,3034948.4199552243,3075171.8669082867,3109568.9063221766,3138210.023026303,3161199.062709571,3178669.3808696815,3190780.0268989187,3197712.0250616916,3199664.8015914643,3196852.795869909,3189502.2836523014,3177848.431552107,3162132.5944539127,3142599.8611270334,3119496.847986142,3093069.736602868,3063562.5471189814,3031215.637050465,2996264.4130052063,2958938.2414712687,2919459.543978296,2878043.061508633,2834895.2729612426,2790213.9526822316,2744187.852510138,2696996.4943891917,2648810.0603338387,2599789.3673440753,2550085.915741003,2499842.0002886807,2449190.8743699105,2398256.958372866,2347156.084308839,2295995.7695089807,2244875.5130322096,2193887.1091527254,2143114.9729808066,2092636.473903341,2042522.2731108172,1992836.6620061367,1943637.89876924,1894978.5407823434,1846905.7710062154,1799461.7167410962,1752683.759509734,1706604.8350674242,1661253.7227780868,1616655.323799147,1572830.927694186,1529798.4672437026,1487572.7613534478,1446165.7460690085,1405586.6937968836,1365842.4209082243,1326937.4839635768,1288874.3648470745,1251653.6451381135,1215274.1700789854,1179733.2025195176,1145026.5672355406,1111148.7860280217,1078093.2040147881,1045852.10752775,1014416.8340260396,983777.874430184,953924.968274771,924847.1920675612,896533.0412320181,868970.5059980998,842147.1415931975,816050.1330715462,790666.3551064889,765982.4270558307,741984.7635963161,718659.621209125,695993.1407843257,673971.3865985019,652580.3819063922,631806.1413743489,611634.7005708313,592052.1427169726,573044.6228885672,554598.3898496003,536699.8056867034,519335.3634036654,502491.7026253622,486155.6235511779,470314.09928917,454954.2866938669,440063.53582267376,425629.39811837394,411639.63341814943,398082.2158828721,384945.3389341368,372217.4192805917
IH,0.0,2357.957306095744,3771.1951475082965,4700.492217342053,5407.751233804369,6042.542931928462,6690.862154681613,7402.729168757343,8207.800881838966,9124.137391979644,10163.045250516989,11331.669101008543,12634.29521836171,14072.927355491787,15647.465037965534,17355.68220452644,19193.127211203726,21153.019346511515,23226.188337427648,25401.08417525066,27663.870830526543,29998.606971927784,32387.508696896737,34811.2831349466,37249.51745066479,39681.10515974059,42084.69064850842,44439.1131604471,46723.83302684829,48919.32528208735,51007.428717148774,52971.641606392404,54797.35854677196,56472.04587867514,57985.35586844773,59329.060263647916,60497.021616060025,61485.16409556103,62291.423970542506,62915.67141349443,63359.60227553683,63626.60254549899,63721.59039227633,63650.84165303944,63421.804816336684,63042.91125292989,62523.3858665226,61873.06260534522,61102.20848432336,60221.358976800744,59241.16688406845,58172.26610493838,57025.15112030563,55810.07248544434,54536.948186603026,53215.29036542763,51854.146639397026,50462.055041727064,49047.011462105685,47616.44838181309,46177.22365495154,44735.61808368503,43297.34056213043,41867.5396140749,40450.820217984794,39051.26489354648,37672.45811273369,36317.51319134562,34989.100911010326,33689.47921432139,32420.523405154556,31183.75637086581,29980.378421993646,28811.296417625097,27677.151910380504,26578.348103910226,25515.075467951676,24487.335901587794,23494.965374708205,22537.655011206763,21614.97060560884,20726.370588090886,19871.222471723,19048.81783071998,18258.38586999689,17499.105654839066,16770.117075432456,16070.530624742925,15399.436070136342,14755.910099510274,14139.023021847312,13547.844600247909,12981.449092876423,12438.91957404574,11919.35160403593,11421.856312327107,10945.562954841398,10489.621001628138,10053.20180726727,9635.499912170735,9235.734018978435,8853.147684411288,8487.009763286333,8136.614637936549,7801.282263023145,7480.358052687058,7173.212634160968,6879.241489351356,6597.864503497374,6328.525437812322,6070.691341005825,5823.851912760539,5587.518830585685,5361.225049980086,5144.524086498244,4936.989287113457,4738.213097200851,4547.80632851013,4365.39743265248,4190.631783878876,4023.1709742688713,3862.692123871223,3708.887207832557,3561.4624021102204,3420.1374489837985,3284.6450432501824,3154.730239703853,3030.1498822620197,2910.672054888641,2796.075554297938,2686.1493842728387,2580.6922713134863,2479.512201232317,2382.4259762324864,2289.2587919431244,2199.843833835805
IN,4741.7543079979605,8766.37619085955,11374.31800187362,13269.016088111033,14860.940051253017,16393.85278325692,18016.0570991971,19820.90096213054,21869.8252175417,24205.389635823944,26858.498465236637,29852.247823871232,33203.80089155978,36925.11971004205,41023.053476450994,45499.094541709455,50349.00328670871,55562.43641501737,61122.669998696525,67006.47781033788,73184.20130292332,79620.02735951106,86272.47263577465,93095.05882373171,100037.15166230404,107044.92820973134,114062.43182812771,121032.6723649777,127898.72981496579,134604.82283246628,141097.30828534006,147325.58402004416,153242.87360217454,158806.87852658148,163980.28986469418,168730.91216652986,173031.81380804547,176861.44029833414,180203.6560469526,183047.69922187857,185388.0468377041,187224.19520655987,188560.3657556083,189405.14890845423,189771.09989698385,189674.30047819178,189133.89991304374,188171.64746875313,186811.42731658442,185078.80515275008,183000.59427338987,180604.4472620231,177918.4779537721,174970.91696244894,171789.80281802907,168402.70967601292,164836.5116311806,161117.18289426,157269.6324642639,153317.57144149428,149283.41076403426,145188.186900196,141051.51287660442,136891.55195214067,132725.01124812203,128567.15270195548,124431.81881320555,120331.47078687232,116277.23683923687,112278.96860868526,108345.30380048716,104483.73338473485,100700.67185577897,97001.52924572547,93390.78376095455,89872.0540770155,86448.17048212956,83121.24420193917,79892.73436758837,76763.51220559367,73733.92213146086,70803.83952005045,67972.72500489657,65239.675226773725,62603.47000959665,60062.61599009218,57615.38676748078,55259.859671523816,52993.94927258592,50815.43777664753,48722.00246225235,46711.24032590875,44780.6901081448,42927.85187484994,41150.20432826681,39445.22001951472,37810.37863026411,36243.17848552019,34741.146452747154,33301.84637505549,31922.88617813272,30601.923782226837,29336.67194196577,28124.90212825994,26964.447558102784,25853.20546985082,24789.1387336016,23770.276878651017,22794.716612740074,21860.621900923197,20966.223665421632,20109.819161774554,19289.771080967726,18504.50642199895,17752.515174522025,17032.34884678214,16342.6188699999,15681.994906659978,15049.203086794303,14443.024193298863,13862.291814566626,13305.890480236434,12772.753793629236,12261.862572448159,11772.24300753989,11302.964847932408,10853.139618962005,10421.918879063991,10008.492519711433,9612.087112030722,9231.9643027881,8867.419261715768,8517.779181518135,8182.401831358244,7860.6741641615345,7552.010977680707
D,51718.0,51718.0,51759.24376401565,51825.206910302775,51907.424680432996,52002.01333781274,52107.70533405653,52224.737283301554,52354.22071971437,52497.78591565022,52657.379038251864,52835.14402106519,53033.34976681691,53254.34015080013,53500.49409657293,53774.18877026384,54077.762401272164,54413.47535390909,54783.46938895399,55189.725867090994,55634.02412421267,56117.901485920636,56642.61644303621,57209.11642261444,57818.0113941171,58469.554279758144,59163.628821675244,59899.74522433083,60677.043562818966,61494.30464650529,62349.967767514,63242.15455461848,64168.69799978078,65127.175627319375,66114.94573141744,67129.18561083302,68166.92864140372,69225.10084695299,70300.55695969306,71390.11561446516,72490.59317525732,73598.8356687164,74711.74834687219,75826.32248697504,76939.65913889352,78048.98963632423,79151.69278868983,80245.30876107058,81327.54972719125,82396.30744432526,83449.65794898447,84485.8636091386,85503.37279358614,86500.81743335226,87477.00875511,88430.93146411201,89361.73664543653,90268.73363885083,91151.3811255145,92009.27764517853,92842.15174143371,93649.85191072818,94432.33650897254,95189.66374811855,95921.98189454754,96629.51976175024,97312.57757183793,97971.51824403513,98606.7591535405,99218.76439102413,99808.03754153178,100375.11499163201,100920.55976518946,101444.95588107329,101948.90322030694,102433.01288550993,102897.90303186227,103344.19514610928,103772.51074821374,104183.4684890368,104577.6816167916,104955.75578486848,105318.28717389159,105665.86090145972,105999.04969387605,106318.4127952274,106624.49509037637,106917.82641973754,107198.92106508148,107468.27738701695,107726.3775962137,107973.68764182707,108210.65720194962,108437.71976223587,108655.2927701081,108863.77785315244,109063.56109144453,109255.01333460468,109438.49055536959,109614.33423238133,109782.8717557381,109944.41684962308,110099.27000703505,110247.71893228515,110390.03898750657,110526.49363994824,110657.33490729435,110782.80379867443,110903.1307494042,111018.53604783177,111129.23025295984,111235.41460177438,111337.28140544001,111435.01443372085,111528.78928716053,111618.7737567045,111705.12817057753,111788.00572833973,111867.55282213869,111943.9093452536,112017.20898809443,112087.57952187314,112155.14307020805,112220.01636895907,112282.31101461849,112342.13370160367,112399.58644881361,112454.76681582152,112507.76810908201,112558.67957853415,112607.58660498168,112654.57087862791,112699.71056913881,112743.08048760051,112784.75224072958,112824.79437768497
R,0.0,8342.461154911018,17459.395019385433,27515.591270735767,38688.71517309884,51171.78587100675,65173.93480034974,80920.62238239817,98653.53257999902,118630.1034781805,141122.5976432607,166416.62451829508,194809.0556580375,226605.30932055778,262116.019342182,301653.1417327881,345525.58857873955,394034.51010907994,447468.36986219086,506097.9730469874,570171.6135105112,639910.5002128334,715504.6106492407,797109.097817275,884841.3511128013,978778.7821441754,1078957.3760092915,1185371.018981198,1297971.5863333675,1416669.7503349115,1541336.4489748338,1671804.9410693015,1807873.3630814797,1949307.6970011871,2095845.0565701472,2247196.8063572655,2403051.9151713937,2563080.4624481136,2726937.217487572,2894265.2166468306,3064699.2713245824,3237869.3487378303,3413403.777287513,3590932.2381668827,3770088.5143705043,3950512.977127739,4131854.7978262217,4313773.880599118,4495942.516876066,4678046.768338613,4859787.588908299,5040881.699685456,5221062.233222524,5400079.165240733,5577699.552972344,5753707.599821925,5927904.566077627,6100108.5450504795,6270154.123354058,6437891.943129144,6603188.182931167,6765923.972787577,6925994.757645301,7083309.6221053535,7237790.588015444,7389371.895189208,7537999.274263269,7683629.219506843,7826228.268274661,7965772.292750207,8102245.808667351,8235641.304826235,8365958.596433609,8493204.204596572,8617390.76367897,8738536.457686901,8856664.486379422,8971802.56139698,9083982.432358114,9193239.442588627,9299612.113911558,9403141.759735195,9503872.12552522,9601849.05563073,9697120.185348194,9789734.657047844,9879742.859150056,9967196.186721396,10052146.82245799,10134647.536835203,10214751.506224599,10292512.147809787,10367982.970170105,10441217.438443623,10512268.853027066,10581190.240819028,10648034.258063082,10712853.103898384,10775698.44377624,10836621.341951558,10895672.202307452,10952900.716819322,11008355.82101099,11062085.655800126,11114137.535172662,11164557.91916634,11213392.391681952,11260685.642676936,11306481.454330105,11350822.69079825,11393751.291215261,11435308.265612416,11475533.693464436,11514466.72459026,11552145.582159884,11588607.567579562,11623889.067046907,11658025.559585355,11691051.626383888,11723000.961283175,11753906.382263295,11783799.843801059,11812712.44997697,11840674.468222545,11867715.343609026,11893863.713587396,11919147.423098398,11943593.539978653,11967228.370596318,11990077.47565611,12012165.686119465,12033517.119191023,12054155.194327714,12074102.649231061,12093381.555787718,12112013.33592679
G,1413410.0,1413410.0,1416498.4862926977,1421768.4666147816,1428753.6785705914,1437235.6926695497,1447137.4007750081,1458462.479876019,1471260.0266562186,1485603.1787109901,1501575.5766495175,1519262.268944038,1538743.1967528167,1560088.2643115222,1583353.4909125408,1608578.0114080128,1635781.8330415448,1664964.3195393304,1696103.3907047615,1729155.4176607954,1764055.773827907,1800719.9785973742,1839045.3500612273,1878913.0682191784,1920190.542073504,1962733.9729029215,2006391.0108895162,2051003.4118230017,2096409.6133431622,2142447.164689774,2188954.9589889566,2235775.231749257,2282755.3027689955,2329749.050613749,2376615.965607995,2423222.86223224,2469445.1364868185,2515167.649480498,2560285.299446435,2604703.3324629697,2648337.434346422,2691113.640696363,2732968.0978672463,2773846.704123893,2813704.657094083,2852505.9307015836,2890222.7019807836,2926834.7455224553,2962328.810785995,2996697.995153104,3029941.1234085755,3062062.14232987,3093069.5372574436,3122975.775905897,3151796.783260136,3179551.450174853,3206261.177249922,3231949.454676598,3256641.4780256865,3280363.7993641156,3303144.012625371,3325010.4718068726,3345992.0403090287,3366117.8695527143,3385417.2049015043,3403919.2168606776,3421652.8555163657,3438646.726206051,3454928.984468004,3470527.2483951105,3485468.5266121062,3499779.160199524,3513484.776998451,3526610.2568443003,3539179.7063923352,3551216.442310653,3562742.981726033,3573781.0389132435,3584351.527318291,3594474.5661000023,3604169.4904619837,3613454.8651282378,3622348.500390484,3630867.47022372,3639028.1320289136,3646846.147618221,3654336.505109141,3661513.5414397805,3668390.9652583892,3674981.87997683,3681298.806810023,3687353.70765206,3693158.0076648947,3698722.6174776563,3704057.954913947,3709173.966181346,3714080.1464719037,3718785.559934998,3723298.858994747,3727628.30299338,3731781.7761498233,3735766.8048293698,3739590.574125826,3743259.9437621604,3746781.463319429,3750161.386806838,3753405.68658826,3756520.066682447,3759509.9754556385,3762380.617726353,3765136.966302906,3767783.772974644,3770325.5789781297,3772766.724959557,3775111.36045451,3777363.4529059604,3779526.7962409933,3781605.019026307,3783601.592221995,3785519.836552551,3787362.9295134083,3789133.9120306834,3790835.694791125,3792471.0642586066,3794042.688392821,3795553.122085157,3797004.8123260858,3798400.103117723,3799741.2401446034,3801030.3752150685,3802269.5704850894,3803460.802475735,3804605.965894964,3805706.8772738553,3806765.278426882,3807782.839745347
H,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.182490524,26137163.18249052,26137163.182490528,26137163.182490524,26137163.182490516,26137163.18249052,26137163.18249052,26137163.182490516,26137163.182490513,26137163.182490513,26137163.182490516,26137163.18249051,26137163.182490513,26137163.182490513,26137163.182490513,26137163.182490516,26137163.182490516,26137163.182490513,26137163.182490516,26137163.182490516,26137163.182490516,26137163.182490513,26137163.182490513,26137163.182490513,26137163.182490516,26137163.182490513,26137163.182490516,26137163.182490516,26137163.182490513,26137163.182490516,26137163.182490513,26137163.182490513,26137163.182490513,26137163.182490513,26137163.182490516,26137163.182490513,26137163.182490516,26137163.18249052,26137163.182490513,26137163.182490516,26137163.182490516,26137163.182490516,26137163.182490516,26137163.182490516,26137163.18249052,26137163.182490516,26137163.182490516,26137163.18249052,26137163.182490516,26137163.182490516,26137163.182490516,26137163.182490516,26137163.182490516,26137163.182490516,26137163.182490516,26137163.182490516,26137163.18249052,26137163.182490516,26137163.182490516,26137163.182490516,26137163.182490516,26137163.182490516,26137163.182490516,26137163.182490516,26137163.182490516,26137163.182490513,26137163.182490516,26137163.182490513,26137163.18249052,26137163.182490516,26137163.18249052,26137163.182490516,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.182490524,26137163.182490524,26137163.18249052,26137163.182490524,26137163.182490524,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.18249052,26137163.182490516,26137163.18249052,26137163.18249052,26137163.182490516,26137163.18249052,26137163.182490516,26137163.182490516,26137163.18249052,26137163.18249052,26137163.18249052,26137163.182490516,26137163.182490516,26137163.182490516,24750497.487844326
