series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11
S,1527594.530553878,1527543.387349326,1527500.869426191,1527461.781521625,1527423.177291391,1527383.3274909616,1527341.1564336524,1527295.9336683706,1527247.104781287,1527194.1980152768,1527136.772170973,1527074.3869414798,1527006.585390042,1526932.8829482428,1526852.7598591086,1526765.6553788842,1526670.962809096,1526568.0248438288,1526456.1289424717,1526334.502561021,1526202.3081419927,1526058.6377996074,1525902.5076570697,1525732.851804128,1525548.5158498602,1525348.2500501308,1525130.7019927157,1524894.408826487,1524637.789024761,1524359.1336772833,1524056.5973106048,1523728.1882430315,1523371.7584881051,1522984.9932299184,1522565.3999046958,1522110.296936205,1521616.8021879196,1521081.821212661,1520502.0354008786,1519873.8901519938,1519193.5832194213,1518457.0534090896,1517659.9698434565,1516797.7220380292,1515865.4110749415,1514857.842197733,1513769.519192394,1512594.6409609977,1511327.100734538,1509960.4884092885,1508488.0965240565,1506902.9304217566,1505197.7231549781,1503364.95569859,1501396.8830195619,1541366.8536215378,1581117.6687257588,1620631.1615432943,1659883.6428757315,1698846.6692791698,1737487.3329690339,1775768.2617656435,1813647.4446598445,1851077.9554857796,1888007.6226166417,1924378.679522102,1960127.425048236,1995183.9206463387,2029471.7527114912,2062907.890475706,2095402.672599439,2126859.957906179,2157177.4768298245,2186247.41932543,2213957.2914983584,2240191.0664096125,2264830.6440034527,2287757.6208011755,2308855.3522895123,2328011.270713251,2345119.399708949,2360082.986790265,2367320.487742949,2335768.0238712993,2302644.36349774,2267998.228427412,2231940.727482185,2194622.2891249848,2156218.7620238215,2116921.9819523487,2076932.638562436,2036454.4782369845,1995689.4398132851,1954833.5688116322,1914073.654282782,1873584.5605017103,1833527.223438873,1794047.2690652942,1755274.1966159397,1717321.059114427
E,0.0,51.143204552234444,83.43201833844421,105.83275505423366,123.26946491864513,138.46424329671282,152.94118370480336,167.57431140470234,182.88680133648347,199.21453195608268,216.7956451941622,235.81975994266242,256.455199437393,278.8642523876538,303.2119368306122,329.6712524662886,358.4265521885,389.6759240657867,423.6330714336202,460.52895839633425,500.61336760192,544.1564511764519,591.4503193623893,642.8106911344635,698.5786194507073,759.122296767573,824.8389417664429,896.1567646578734,973.5370052436192,1057.4760347116205,1148.5075086603285,1247.2045549255372,1354.1819752905446,1470.098434999819,1595.6586080841585,1731.6152397711276,1878.7710796414049,2037.9806306598614,2210.1516497432085,2396.2463251387726,2597.282044637692,2814.3316566405733,3048.523113511995,3301.0383737631105,3573.1114267501835,3866.0252912496785,4181.107828080595,4519.726197653386,4883.279786852546,5273.191427088939,5690.896727925376,6137.831359755756,6615.416136070386,7125.039772368014,7668.039236227829,8245.677652716051,8926.938592872153,9709.263391778779,10596.12755041996,11595.06568323736,12716.569753446838,13973.497630626573,15380.774322143378,16955.25485389058,18715.668553151416,20682.59361372608,22878.427025767618,25327.323571037225,28055.081909915745,31088.957897477572,34457.38653969283,38189.595417859346,42315.09471889969,46863.03280090196,51861.41193304835,57336.16671856283,63310.11771922271,69801.82459839196,76824.37595133249,84384.16577631506,92479.71782162142,101100.62722229758,110226.69237984864,119732.80817126506,128908.81023651722,137772.00253932236,146273.84107543278,154336.17144502446,161871.05063899883,168792.13794993266,175021.5077244956,180493.76342274027,185158.39595730777,188980.89183793846,191942.89705808306,194041.65335639365,195288.88245357553,195709.2716182613,195338.69717529646,194222.30606730186
I,78.10675217362007,60.46679476936531,52.23394152518921,49.28433413781285,49.37625111171574,51.296396717961606,54.394141848316444,58.327412983282365,62.924073505990044,68.10634029274739,73.84961361666177,80.16010201102762,87.06271902249347,94.59460060222605,102.80170484588248,111.73710898113993,121.46024792797455,132.03668234260545,143.53817163246782,156.04292984602984,169.6359982602916,184.40969900789156,200.4641507161423,217.90783615107705,236.85821669357574,257.44239098512236,279.79779627893663,304.07295146336975,330.4282406785018,359.0367360734324,390.08505762280396,423.77426706530116,460.3207919483309,499.9573744517637,542.9340381012138,589.5190636448629,639.9999632320222,694.6844395708816,753.9013139331767,818.0014036944717,887.3583265362225,962.3692044847372,1043.4552366304035,1131.0621046829315,1225.6601705218118,1327.7444196703118,1437.8340992646458,1556.4719937564628,1684.2232764725882,1821.673870510446,1969.4282485786084,2128.1065986689787,2298.341281301633,2480.7725050048025,2676.0431502188244,2884.7926785143445,3107.6500744690893,3352.4172833996145,3624.8629058227834,3929.821279145739,4271.833903695508,4655.52917534306,5085.853641200703,5568.219346160597,6108.603361953929,6713.618929907343,7390.567839407813,8147.4777883565375,8993.124837041747,9937.038711608762,10989.487113821015,12161.434090624909,13464.466813259845,14910.68481572877,16512.545912331392,18282.663750944193,20233.55336375007,22377.323226274508,24725.315250468062,27287.69775695227,30073.020629203784,33087.74626742316,36335.774244986635,39817.98126306491,43521.77988606904,47362.11969654236,51274.9933321587,55205.701519530165,59103.61101188698,62920.19831705253,66608.74312955557,70124.81342313447,73427.07724248219,76478.18123466114,79245.54827685829,81702.01234305878,83826.25021096613,85602.99735496621,87023.05449042295,88083.10426092002
A,69.21572699007368,62.03030898735574,60.39671043144175,61.96685373605343,65.47897733389739,70.2650147463376,75.98204595839108,82.46596803105044,89.6518453451735,97.53064571766242,106.12583685235361,115.48082823847405,125.652341283069,136.70702623883238,148.7198644117196,161.77355977108178,175.95848727577845,191.3729633848102,208.12371231862554,226.32646058775305,246.10662442881372,267.600072259368,290.9539537209641,316.32759194074123,343.8934382727347,373.83809004615,406.36337232208564,441.6874846452369,480.0462134272139,521.6942099851224,566.9063334085455,615.9790563389458,669.2319304007934,727.0091063964644,789.6809024336827,857.6454108571754,931.3301321647688,1011.1936209607122,1097.7271253945125,1191.4561974136445,1292.9422464901966,1402.7840042405592,1521.618861532258,1650.1240332694501,1789.0174990987407,1939.0586608409656,2101.048649632139,2275.830207694867,2464.28706156346,2667.342695720383,2885.958428311043,3121.1306843113816,3373.8873567363944,3645.2831437906193,3936.393749946328,4248.308842530432,4582.12366328983,4945.302087606077,5344.292715811538,5785.201296749263,6274.20775159746,6817.836373672359,7423.142400883059,8097.851144688617,8850.46979081903,9690.382358051713,10627.932409039067,11674.494349095596,12842.531590751876,14145.637975818714,15598.557354802915,17217.175006185647,19018.47362027505,21020.44593100156,23241.955860567457,25702.54038262588,28422.145354542557,31420.79044632456,34718.161084660955,38333.12903932971,42283.20780439066,46583.95404210384,51248.33171053278,56286.06062569338,61694.09553916739,67402.97374025728,73352.06961620356,79482.48957342161,85734.1097672937,92044.78398886042,98350.7041774088,104587.36369662688,110690.80720617242,116598.9723929757,122252.99654631235,127598.40289509809,132586.11081515113,137173.2363174925,141323.6671262101,145008.41112082987
IH,0.0,6.0616031094766925,7.684114857393478,7.845923976123763,7.696870002070992,7.6304430564785,7.7466764498064995,8.04444493889535,8.49664602108388,9.076545269788559,9.764912367543547,10.550347769436794,11.427707456969248,12.396386238672735,13.458967440353241,14.620292624721372,15.886870319352802,17.266525122515667,18.768206530438583,20.401900257221797,22.178604328668424,24.110346199507248,26.21022640547077,28.492480123249816,30.972551604181334,33.667178595792265,36.594485120353234,39.77408169195954,43.22717243867878,46.97666878275189,51.04730939486739,55.46578612082513,60.260875503753624,65.46357540425461,71.10724605946899,77.22775472116238,83.86362277126113,91.05617392824985,98.84968182621006,107.29151486656211,116.43227580747433,126.32593306470096,137.02994014856674,148.60533905468208,161.11684276255403,174.63289128108437,189.2256749210482,204.9711176844035,221.94881285637146,240.24190209259032,259.93688854144955,281.1233738702349,303.8937085210122,328.342544165449,354.5662772232349,382.66237253083546,412.72855687699155,444.86187324343246,479.7156965719469,518.0601586827759,560.6505075944124,608.2119198479768,661.4614749429638,721.1369470214743,788.0224490557331,862.9688127457777,946.9091674474462,1040.870693517941,1145.9833221831063,1263.485771618797,1394.7289374297377,1541.1763482335432,1704.4011596996193,1886.0789886357202,2087.9757806741104,2311.9298649739058,2559.827386743476,2833.5704358767575,3135.0374197041306,3466.035567436464,3828.24590235535,4223.161561793086,4652.020956044404,5115.737891494198,5614.83138278094,6148.580702546127,6710.029683622469,7290.777959146523,7882.4347981750725,8476.929775922934,9066.514274352237,9643.738431029453,10201.477409452089,10733.007364273744,11232.111111129427,11693.192177453326,12111.380358097093,12482.617311895869,12803.715559553035,13072.388107839071
IN,11.578354294778068,22.05843769508383,28.92952303603917,33.928429888564864,38.01592019934257,41.729315011834224,45.37511150156365,49.13428622213918,53.11994095728604,57.40893204954437,62.059295212207005,67.11991454694723,72.6359575660503,78.65200051698054,85.21389628652999,92.36996107768826,100.17179607324115,108.67491828607022,117.93929718521532,128.02985124355084,139.0169353176523,150.9768370284507,163.9922933020132,178.1530343506483,193.55636020056463,210.307753621136,228.52153255047776,248.3215446014314,269.84190583379274,293.22778561132276,318.63623897426646,346.23708751384015,376.2138492061669,408.7647170244522,444.10358537570147,482.46112247745975,524.0858856752888,569.2454753760699,618.2277217075591,671.3418961818725,728.919938510422,791.3176862616264,858.9160922438087,932.1224113110987,1011.3713347127552,1097.126046127584,1189.8791691483784,1290.1535712256568,1398.5029839847991,1515.5123944606933,1641.798156244752,1778.0077639427534,1924.8192288727657,2082.939988812195,2253.105280105061,2436.075896892048,2632.635260007346,2843.5857176278623,3070.8100521019114,3316.867576726863,3584.791470166687,3878.000418249057,4200.2749276636405,4555.770167217132,4949.049433315497,5385.129195005062,5869.530412271082,6408.332750967849,7008.229193385544,7676.578797210312,8421.455236178846,9251.688410500892,10176.895939109116,11207.50081060902,12354.730940919937,13630.595932067428,15047.836025325056,16619.838177494003,18360.51444939456,20284.138563334553,22405.137627204444,24737.837671835114,27296.16379528998,30093.29828636088,33141.302980935376,36449.22965237786,40012.66379703522,43818.121356164906,47845.288821744,52068.27378533874,56456.44687251249,60975.15837022657,65586.45878710036,70249.87140257529,74923.2217668735,79563.50675669267,84127.77530725127,88573.98959721184,92861.83654890097,96953.46332335891
D,7153.0,7153.0,7153.052592639489,7153.119262771992,7153.18733681836,7153.254117619065,7153.320322075801,7153.387535015086,7153.4573315004245,7153.5310514443045,7153.609802801752,7153.694526678672,7153.786065274437,7153.8852161570685,7153.992771643734,7154.10954646546,7154.236397360404,7154.374237537041,7154.524048092862,7154.686887774393,7154.86390196779,7155.056331482023,7155.265521480564,7155.4929307918255,7155.740141753712,7156.008870703984,7156.3009792030925,7156.618486061998,7156.963580239503,7157.338634669022,7157.746221071672,7158.189125810138,7158.670366835117,7159.193211772904,7159.761197198329,7160.378149131591,7161.04820479001,7161.77583561621,7162.565871592199,7163.423526833889,7164.354426442407,7165.364634566534,7166.460683604352,7167.649604441179,7168.938957584544,7170.336865014967,7171.8520425229935,7173.49383224816,7175.272235073838,7177.197942463243,7179.282367246375,7181.537672785527,7183.97679985915,7186.613490511202,7189.462308017447,7192.538652023506,7195.85876781483,7199.439748589486,7203.299529525209,7207.461714714729,7211.956590190262,7216.820994786321,7222.098059228803,7227.837135882161,7234.093978303531,7240.931143295018,7248.418569779277,7256.634292843446,7265.6652597593165,7275.608221486673,7286.570676547827,7298.671844319171,7312.043642275533,7326.83163715374,7343.195933942153,7361.311959605894,7381.371091112254,7403.581070299859,7428.166142220468,7455.366849660577,7485.4394155745595,7518.654648076822,7555.296310276021,7595.658910172058,7640.0448842763,7688.761172256997,7742.108460493718,7800.327081168392,7863.584481871526,7931.975309206892,8005.524187882475,8084.1885128210615,8167.861041270859,8256.37271284688,8349.496128673827,8446.94994735822,8548.404270506267,8653.48694408009,8761.7906024204,8872.880224155966
R,0.0,8.283688897190242,19.833060317602374,32.67230614690695,46.22927556159194,60.46436592654201,75.51547214540713,91.56376037080442,108.78996738311017,127.36532532956048,147.45411031886087,169.21896666968294,192.82600725420806,218.4489569524801,246.27238676936526,276.49428706624246,309.3282270954578,345.0052927691842,383.77593767185965,425.9118382105454,471.7078134389891,521.4838505757122,575.587265279561,634.395018716961,698.3162095012824,767.7947564863387,843.3122873798288,925.3912477282042,1014.5982447147386,1111.5476402204476,1216.9054075997135,1331.3932665309726,1455.7931100473172,1590.9517373691608,1737.7859053887814,1897.2877105288694,2070.530311142753,2258.67399856407,2462.972622261465,2684.7803712139807,2925.558909491376,3186.884858988842,3470.4576162092862,3778.1074827855587,4111.804080965236,4473.665015419744,4865.964731373399,5291.143506076728,5751.816495995801,6250.78274571253,6791.034046433056,7375.763512245899,8008.373720997708,8692.484244094769,9431.93836603656,10230.808770515898,11093.401946095562,12024.261041568718,13028.828461047118,14113.719898529165,15286.811041154342,16557.282808634216,17935.678700819695,19433.990206010334,21065.7722033333,22846.285911664752,24792.666114473057,26924.109594187743,29262.081961740245,31830.540035265716,34656.16652820389,37768.613062137185,41200.74646261997,44988.89197642607,49173.06552596831,53797.1854673409,58909.25264150841,64561.48592974377,70810.39919821135,77716.80461914818,85345.72707605209,93766.21488148047,103051.03351552977,113276.23163610742,124520.57224797102,136863.90472474237,150379.36720832618,165129.92259601635,181166.95911166552,198529.51957679435,217243.72172681405,237322.29656189418,258764.2831983865,281554.93489855394,305665.87548474484,331055.52267769224,357669.7738010369,385442.93244625523,414298.84253671364,444152.1884366246
G,887836.0,887836.0,887841.4232219916,887850.2703476384,887861.492845909,887874.5643317278,887889.2470708301,887905.4649437254,887923.2345125037,887942.6278166907,887963.752512341,887986.7415080637,888011.7478196425,888038.9423118457,888068.5130585256,888100.6656320362,888135.6239496077,888173.6314772394,888214.9526861758,888259.874708749,888308.709168709,888361.7941767414,888419.496490445,888482.2138427693,888550.3774454825,888624.4546755862,888704.9519531849,888792.4178194258,888887.4462228382,888990.6800217892,889102.8147098132,889224.602369249,889356.8558568724,889500.4532229993,889656.3423627644,889825.5458948892,890009.1662591486,890208.39101883,890424.4983486575,890658.8626818382,890912.9604819567,891188.3760963308,891486.807637051,891810.0728242011,892160.1147126665,892539.0072094814,892948.9602729054,893392.3246674703,893871.5961313066,894389.4187934365,894948.5876598298,895552.0499683984,896202.9051954468,896904.4034802471,897659.94222137,898473.0605893387,899347.4316963741,900294.0436679586,901323.6133089174,902447.2259659679,903676.7659558391,905025.230162338,906506.9789169021,908137.9551977522,909935.8892889281,911920.4975310825,914113.6783751629,916539.7052474554,919225.4129456892,922200.3719558155,925497.0429728352,929150.9019378818,933200.5240828552,937687.6138979038,942656.966763119,948156.3474173441,954236.2707030146,960949.671353411,968351.4521672765,976497.9038571204,985445.9951546015,995252.5382497449,1005973.2420013916,1017661.6730922288,1030358.1320660637,1044027.6136854433,1058636.9476240703,1074147.8159526826,1090513.6132546854,1107678.4086426785,1125577.115666419,1144136.3846445945,1163275.9312511683,1182910.115179857,1202949.636316178,1223303.2482880203,1243879.4122374246,1264587.8322769117,1285340.8303553173,1306054.5327445653
H,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1172779.3692681193,1130698.0821681956,1088616.795068272,1046535.5079683483,1004454.2208684247,962372.9337685012,920291.6466685776,878210.359568654,836129.0724687304,794047.7853688068,751966.4982688832,709885.2111689596,667803.924069036,625722.6369691124,583641.3498691889,541560.0627692653,499478.7756693417,457397.4885694181,415316.2014694945,373234.9143695709,331153.6272696473,289072.3401697237,246991.0530698001,204909.7659698765,162828.47886995287,120747.19177002925,78665.90467010564,36584.61757018202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
