series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11
S,157315.7669718395,157209.45659377798,157129.5257602905,157061.84522616744,156999.25248678398,156938.08505149026,156876.44785140862,156813.3407086405,156748.2171888606,156680.7611070823,156610.77320165394,156538.1136747908,156462.67309782546,156384.3577324364,156303.0821866494,156218.76580834494,156131.33098775696,156040.70243890057,155946.80698641657,155849.57361637516,155748.93366753042,155644.82109944505,155537.17280431383,155425.9289447033,155311.0333071637,155192.43366551638,155070.08214948623,154943.93561521237,154813.95601452893,154680.11076002137,154542.3730828609,154400.72238037531,154255.14455026085,154105.63230830227,153952.18548645594,153794.8113081721,153633.5246378921,153468.3482017567,153299.31277670435,153126.45734532355,152949.8292140506,152769.48409257267,152585.48613260075,152397.90792451805,152206.83045077897,152012.3429953297,151814.54300873564,151613.5359291292,151409.43495952594,151202.3608024907,150992.4413535626,150779.81135526046,159355.76395105923,167914.4567935933,176455.64137958968,184978.14719891717,193480.12099786536,201959.155468921,210412.34438906,218836.2890900501,227227.07218284937,235580.20829179682,243890.57754434148,252152.3451062153,260358.86867958057,268502.59526351327,276574.94840188586,284566.20749141864,292465.381430003,300260.0799243437,307936.3871309603,315478.7439522396,322869.8471983714,330090.575857731,337119.95672738843,343935.18339658546,350511.70372017747,356823.39106743236,362842.8133543541,364108.2776499931,360719.09182856727,357070.0092671905,353156.71614174615,348985.73850067036,344570.82405218336,339931.1907990766,335090.41734028014,330075.5160156583,324916.03763459943,319643.1795311968,314288.91496575566,308885.17512215296,303463.11367574893,298052.47657127265,292681.09041648847,287374.47392447904,282155.56921835267,277044.5840087309,272058.93173724745,267213.2545854861
E,0.0,106.31037806151815,164.81657327623554,199.28176635557688,221.71342423056564,238.19914546240375,251.832278382679,264.18788053795606,276.0698459204019,287.88981112464717,299.8595326444755,312.08862800419274,324.63425448629044,337.52636016978647,350.7805113759332,364.40439750416954,378.4011159624162,392.7708161595034,407.5115067683457,422.6194363428999,438.0892567788312,453.9140769621245,470.0854619068164,486.5934061506196,503.4262966397006,520.5708734178038,538.0121928925417,555.7335966265766,573.7166876479082,591.9413157591238,610.3855730287718,629.025800455291,647.8366066467212,666.7908992277606,685.8599295544138,705.0133511781121,724.2192923526308,743.4444427176605,762.6541541232252,781.8125553809875,800.8826805441956,819.8266101304621,838.605624513933,857.1803685291779,875.5110261518887,893.5575039548545,911.27962188525,928.63730977438,945.5908078767923,962.10086964478,978.1289648790254,993.6374813581732,1008.5899230406073,1037.7887653858254,1078.611446899172,1129.885935487292,1191.3591412471224,1263.3830330671076,1346.737563361735,1442.5379466201039,1552.1933699324031,1677.3970147559965,1820.135334047855,1982.7094143407003,2167.7640697641095,2378.3218104365747,2617.8194778378256,2890.14543691759,3199.67493263914,3551.3006618300965,3950.454850555813,4403.1182272076385,4915.810321369005,5495.554609296432,6149.811323473864,6886.37045003259,7713.197800342461,8638.228328305366,9669.103316710341,10812.851832494402,12022.933003627677,13249.044305967402,14492.26902519325,15742.632260808945,16984.94768557842,18201.61916504913,19374.23610234241,20484.66443126429,21515.886158726462,22452.666388320962,23282.06457288522,23993.790138929726,24580.403871830524,25037.37350606478,25362.99949661387,25558.23270097421,25626.408941129994,25572.926186241435,25404.888826414128,25130.74077022823
I,199.87699536817965,143.5774786671442,116.90112928532538,105.31420402473216,101.45358535700949,101.58487695691558,103.81378488543733,107.18011417590034,111.19806971300417,115.62278015829449,120.33164664278598,125.26402138793728,130.39053277553657,135.6974831307087,141.17891073864558,146.8325486775962,152.6577641871517,158.65450379433676,164.82274843364507,171.16222656957672,177.67225740707238,184.3516594301393,191.1986916489845,198.21101128446804,205.38563992683444,212.7189344208038,220.2065608614486,227.84347115833418,235.62388215988946,243.5412575904519,251.5882931729379,259.7569053582391,268.0382240920745,276.42259003788797,284.8995566486106,293.4578974445907,302.0856188115711,310.7699785821604,319.4975106073716,328.25405546198203,337.02479735926966,345.794307277837,354.5465922266165,363.2651504948231,371.9330326527803,380.5329079885276,389.0471359853453,397.4578423682922,405.74699917504665,413.8965082392505,421.8882874145959,429.70435881637036,437.3269383152512,444.73852548678997,453.84319727310793,465.66913428408765,480.80315208164245,499.63400692639794,522.4865272753096,549.6950363643683,581.6440880717647,618.7923824506319,661.688652956568,710.9842799246209,767.4451171934078,831.9637546543643,905.5727250800163,989.4587345802694,1084.9777004476896,1193.670131301965,1317.2761335882471,1457.7490497961699,1617.2664170402713,1798.2365828098982,2003.2989442370072,2235.315420043701,2497.3504697294406,2792.6368098755397,3124.524025561448,3496.407626917707,3911.636842699419,4366.5913357090385,4852.157261452729,5361.928145015055,5890.010462565659,6430.204374205168,6975.777978601068,7519.511721279437,8053.871557915776,8571.242047864798,9064.180159315827,9525.663782735852,9949.316292142998,10329.593929696744,10661.92760742932,10942.815156330966,11169.863984737452,11341.787351757794,11458.359891470918,11520.339604661505
A,111.21772134875695,91.2535306669836,82.53242350918046,79.5920306858242,79.6625870768973,81.33662411126674,83.89791807939426,86.9816795101389,90.40207967323538,94.06456570358938,97.92121490021445,101.9479634853889,106.13296493503387,110.47061728302448,114.95848183246571,119.59567916117044,124.38204171041485,129.31765515982423,134.402600573601,139.63680099424909,145.0199229960835,150.55130768736458,156.22991796317814,162.0542951645884,168.02252160093076,174.13218712549764,180.3803588788199,186.7635538166214,193.2777139206376,199.91818415244254,206.679693306252,213.55633797391832,220.54156986841605,227.6281867686589,234.80832735257297,242.07347017924238,249.41443706596175,256.82140108303474,264.2838993588008,271.79085085024167,279.3305791912162,286.89084068156734,294.4588574267856,302.0213555804505,309.5646085812508,317.0744852140377,324.5365022612087,331.9358814479149,339.25761032333617,346.48650666178446,353.60728591286164,360.6046311804492,367.4632651670021,374.1680234833986,381.7729458628685,390.95391700835495,402.18105457725505,415.8218530238311,432.2031980278631,451.64949115506033,474.5072505788936,501.1623210327531,532.0532755740821,567.6830800530053,608.6302028300559,655.5598263914914,709.2354937574855,770.5313037848766,840.4445969463834,920.1089112951048,1010.8068153891935,1113.9820282567746,1231.2500102497077,1364.4059538381484,1515.4288288311202,1686.4798605510923,1879.8935719112571,2098.159343324931,2343.8913917305063,2619.785203467834,2928.5588373253877,3269.0892900208178,3636.8309700959226,4028.1322927531714,4439.278485582103,4866.127460574558,5304.012898920781,5747.779673293053,6191.8915150115645,6630.579841334944,7058.013924847937,7468.477351003817,7856.538422437881,8217.204484081441,8546.052551211884,8839.331141063385,9094.030689541552,9307.922203593287,9479.565717069245,9608.291599510667
IH,0.0,18.283885817300007,22.044255214411812,21.436583359364,20.080520664337662,19.066508950661223,18.58435393510164,18.553273044595496,18.846063479992452,19.356296220862742,20.009704737567557,20.758881417236353,21.575174998424615,22.44193588423538,23.349797112741655,24.293648468743474,25.27079218919119,26.27985567326045,27.320165110876506,28.39139038570868,29.493345781095037,30.625878514314948,31.788806048769963,32.98188016945724,34.204765604789685,35.45702651257341,36.73811723082383,38.04737539155493,39.38401642106537,40.74712895011419,42.13567092481026,43.54846635039246,44.984202673368344,46.44142884407742,47.918554118469984,49.41384766368597,50.925439031592745,52.45131956026125,53.989344756709386,55.53723770579856,57.09259354030753,58.65288499616396,60.215469064767795,61.77759474146221,63.336411855674385,64.88898095425877,66.4322841953462,67.96323719577103,69.47870176116504,70.97549941433346,72.4504256248238,73.90026463092306,75.32180473491539,76.7118539435271,78.06725581827888,79.56064886094367,81.37021965876417,83.63648441225118,86.46348355331298,89.93163369750246,94.11070725185104,99.06988419375742,104.88483836040785,111.64264415193841,119.44532157388943,128.4126457146739,138.68463763186924,150.42398635594725,163.81853096208974,179.08384577184376,196.46590712577398,216.24376572911018,238.73209654902536,264.28344391655787,293.2899208271928,326.1840589593902,363.43844281023826,405.5637036377609,453.10440571095404,506.6323407228399,566.7367703119473,634.0112362396837,708.4138202820886,789.090398952806,875.0386899239643,965.2311301977223,1058.5998161074956,1154.0085138169256,1250.2430812911216,1346.0226408041349,1440.026346101773,1530.9296440206992,1617.4446790403963,1698.3605257966735,1772.579936991834,1839.1502234067439,1897.286741409053,1946.3882414806067,1986.044007225602,2016.0332660156982
IN,38.01563088373543,72.68469952395338,93.5939140351069,107.58875324351338,118.14783298504848,127.04311322395199,135.18030214254574,143.02509185004226,150.81955460724694,158.69205689475834,166.7130915999301,174.9236283277867,183.34949516711833,192.00866018992213,200.9149044859165,210.0796620896074,219.512929326056,229.22370218371745,239.2201745529376,249.50981537975855,260.0993844650848,270.99491705241803,282.2016923768444,293.72419380818377,305.56606445457516,317.73006023788804,330.2180015624486,343.0307242925691,356.16803058819886,369.6286400981294,383.4101420142353,397.50894851684313,411.9202501747467,426.6379738957043,441.6547440504133,456.9618474128274,472.5492025710478,488.40533446512313,504.5173547004239,520.8709482674406,537.4503672706649,554.2384322305276,571.2165414732373,588.3646890639841,605.661491669734,623.0842246593177,640.6088676615049,658.210159707222,675.8616639812153,693.5358421026293,711.2041377447014,728.8370692927143,746.4043311282683,763.874903018659,781.2171669845295,798.7644345750224,817.0162304615958,836.5397150124617,857.9260603255788,881.7761776900111,908.7016660938064,939.333424996314,974.3340575255073,1014.4122034800386,1060.338009601563,1112.9594873464646,1173.2197629401667,1242.1753207625768,1321.0153473095795,1411.0822324069825,1513.8931909062105,1631.1628351587035,1764.8263543307514,1917.0627374836545,2090.317210581285,2287.321743848143,2511.1121318456917,2765.039769715529,3052.775872153659,3378.3055471250254,3745.908898178115,4160.126253132629,4624.409678726014,5140.173943232778,5707.490790832882,6325.304730454668,6991.474007841446,7702.765035128604,8454.855757032583,9242.371655524557,10058.962918222795,10897.423086061779,11749.844522308966,12607.802905915156,13462.561123327025,14305.282181453875,15127.240922973511,15920.025217499633,16675.718732870067,17387.05915777495
D,768.0,768.0,768.5277743370042,769.1640937877376,769.7828724589223,770.362507640755,770.912872821383,771.4493203344969,771.9848706807533,772.528872582629,773.0876026308748,773.6651936723549,774.2644101073297,774.8871893017703,775.5349880219518,776.2089926516842,776.9102420656283,777.6396972660431,778.398279634316,779.1868911019393,780.006424071417,780.8577655844406,781.741798272545,782.6593994982466,783.6114394592003,784.5987786752639,785.6222650854725,786.6827308780302,787.7809891215281,788.9178302374096,790.0940183399474,791.3102874639607,792.5673376985382,793.8658312451962,795.2063884201111,796.5895836217647,798.0159412872042,799.485931861971,800.9999678104846,802.5583996952046,804.1615123541933,805.809521207709,807.5025687251542,809.2407210840462,811.0239650526524,812.8522051275123,814.7252609562468,816.6428650748251,818.6046609868141,820.6102016100886,822.6589481140453,824.7502691675617,826.8834406147992,829.0576455925129,831.2719750988313,833.525429019564,835.8219905450397,838.1707863186193,840.5849990604352,843.0808146744356,845.6767403340396,848.3932972312523,851.2530034758605,854.2805615442375,857.5031873628108,860.9510417211145,864.6577427819406,868.660950492282,873.0030209067347,877.7317321572557,882.901085046178,888.5721806170719,894.8141748643217,901.7053070468774,909.3339928080985,917.7999663468364,927.215447124764,937.7062960128322,949.4131135317774,962.4922193469911,977.1164382029659,993.4756042028016,1011.7766843562864,1032.2254356808096,1055.0029604534482,1080.261429525193,1108.1233525806217,1138.6804136824908,1171.9914988841153,1208.0804473667235,1246.934125077333,1288.5012710153828,1332.6923902307792,1379.3808131213718,1428.4049160638774,1479.5714027932747,1532.6594771505909,1587.4256938104238,1643.6092520520804,1700.9374956020783
R,0.0,23.310752925290856,54.93548949240953,88.65466181598768,122.78400988342554,157.1994916039807,192.20795778502304,228.1592513465506,265.3396465049299,303.9618296730871,344.1813246303973,386.11532835447997,429.8573891449811,475.4873410443508,523.077539223133,572.6965825422769,624.4114462423681,678.2886503029239,734.3948579498784,792.797142290893,853.5630604101669,916.7606147643345,982.458146909225,1050.7241886613208,1121.6272845904398,1195.235793533975,1271.617673442404,1350.840252064153,1432.969985052038,1518.0722026311648,1606.2108457923496,1697.4481929462477,1791.844578025497,1889.458101118651,1990.344332839661,2094.5560137678644,2202.142750428097,2313.1507094133044,2427.622311378828,2545.5959267549874,2667.105575129736,2792.1806303432495,2920.845533408941,3053.119515428199,3189.016332697236,3328.544016211979,3471.704637759665,3618.4940947425976,3768.901915809879,3922.911089276625,4080.4979161875376,4241.631889733533,4406.275602557623,4574.3846832911795,4745.907763446221,4920.978369997755,5099.964218890896,5283.447594823501,5472.194659018443,5667.132626608593,5869.338748925529,6080.040074757617,6300.621922110875,6532.643275860266,6777.857914841194,7038.240610147126,7316.018135187393,7613.705089967855,7934.144692242931,8280.554749528073,8656.579012240749,9066.344023984868,9514.521427392874,10006.395445222312,10547.93492637534,11145.86891533261,11807.76416493597,12542.102367750433,13358.35414347938,14267.04601862814,15279.815819783218,16409.45114623317,17669.2248568436,19071.877461582124,20629.20531157619,22351.859349613,24249.15694202208,26328.872634572966,28597.021235234963,31057.655886283148,33712.701426489504,36561.83804277582,39602.44458495558,42829.605702747205,46236.182390569724,49812.941708194536,53548.738463401205,57430.739535581946,61444.68027434654,65575.1419594168
G,53409.0,53409.0,53422.76523642061,53444.10594782198,53469.90926710482,53498.61707303878,53529.45947631365,53562.06711926899,53596.27458519447,53632.02054684928,53669.29697635197,53708.12326438789,53748.532995093345,53790.567153420256,53834.27060204533,53879.69021919727,53926.87387874038,53975.869855596284,54026.72644403229,54079.49168047551,54134.213115609884,54190.937607638305,54249.711122491295,54310.57853392401,54373.58342016848,54438.76785578008,54506.172198394044,54575.83487072553,54647.7921385288,54722.077885489,54798.72338621175,54877.757078628936,54959.204337267394,55043.087248936245,55129.42439248086,55218.230624326585,55309.51687159245,55403.28993459323,55499.55230056538,55598.30197044794,55699.532300521554,55803.231860657455,55909.38431085212,56017.96829762343,56128.95737172003,56242.31992844855,56358.01917175506,56476.01310300864,56596.254535229345,56718.691133282315,56843.26548032743,56969.915170573215,57098.57292813812,57229.16675157521,57363.54128744527,57503.20160888584,57649.50103245954,57803.760104246765,57967.344943818025,58141.7226602199,58328.504762240394,58529.48522244773,58746.67724923157,58982.351260062125,59239.07562074468,59519.76115181423,59827.710033211326,60166.66945256413,60540.890069163666,60955.18905596045,61415.01710005286,61926.52826178883,62496.65099571728,63133.15791542131,63844.73104533296,64641.018372622515,65532.6765442239,66531.39363296557,67649.88514209657,68901.85598028492,70301.9211909378,71858.66963151144,73574.17690882742,75450.65889525585,77489.03989722468,79688.27787141707,82045.05239910976,84553.65922828585,87206.04607926663,89991.95715562803,92899.16402238778,95913.76268198589,99020.51669708018,102203.22638901613,105445.10523420852,108729.14664928669,112038.46716941723,115356.61525728974,118667.83831320496,121957.30362516617
H,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,241718.92111925586,232927.76918207837,224136.61724490087,215345.46530772338,206554.3133705459,197763.1614333684,188972.0094961909,180180.8575590134,171389.70562183592,162598.55368465843,153807.40174748094,145016.24981030344,136225.09787312595,127433.94593594848,118642.793998771,109851.64206159352,101060.49012441604,92269.33818723857,83478.18625006109,74687.03431288361,65895.88237570613,57104.730438528655,48313.57850135118,39522.4265641737,30731.274626996223,21940.122689818745,13148.970752641266,4357.818815463786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
