series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11
S,3831930.7582883066,3831842.966293416,3831766.7577517186,3831696.846030804,3831629.8501267224,3831563.5863940003,3831496.622743529,3831427.997921774,3831357.0446508927,3831283.2781259855,3831206.3256452987,3831125.8821296054,3831041.6819365523,3830953.480930624,3830861.045006523,3830764.1426717867,3830662.5401807623,3830555.998269959,3830444.2698960444,3830327.0985989105,3830204.217251484,3830075.347045679,3829940.1966191423,3829798.4612622582,3829649.82216684,3829493.945691781,3829330.4826296815,3829159.067464003,3828979.3176098005,3828790.832633318,3828593.193447151,3828385.9614786156,3828168.677809546,3827940.862286176,3827702.0125980275,3827451.603324941,3827189.0849515656,3826913.8828487564,3826625.3962214706,3826322.997022886,3826006.028834602,3825673.8057129397,3825325.611001505,3880152.8932883306,3934957.1102691246,3989736.9095916366,4044490.6797296763,4099216.5810206733,4153912.559989967,4208576.352327593,4263205.477962129,4317797.23041484,4372348.6617896175,4426856.564210482,4481317.448160239,4535727.517936381,4590082.644281277,4644378.334135228,4698609.697385231,4752771.410427596,4806857.676321457,4860862.181278103,4914778.047205056,4968597.780002337,5022313.21329068,5075915.447237487,5129394.782136318,5182740.646390581,5235941.518552769,5271632.408321595,5269320.128080897,5266848.897352373,5264206.623600019,5261381.280234093,5258360.642123142,5255132.125061468,5251682.689212221,5247998.782732469,5244066.3115264615,5239870.62693685,5235396.526713585,5230628.266722609,5225549.58212706,5220143.717525396,5214393.465963028,5208281.2169654025,5201789.013841793,5194898.620522256,5187591.598139991,5179849.391472825,5171653.425220062,5162985.209921071,5153826.457125179,5144159.203203932,5133965.940962397,5123229.757962342,5111934.480224664,5100064.819739326,5087606.523987943,5074546.52548611
E,0.0,87.79199489046538,146.3820288877445,186.9171203460444,216.40162343687766,239.23686733586308,258.18934555190344,274.99952317646955,290.76460494461566,306.179130474826,321.6861527841652,337.57218841397156,354.0268175537152,371.18006771615745,389.12584166892896,407.9365844971252,427.67245585832364,448.38706012765095,470.131023944243,492.954230733359,516.9072200464266,542.0420699336262,568.412961446775,596.0765495933456,625.09221816001,655.5222664380649,687.4320574985595,720.8901461850284,755.9683978409233,792.7421043486477,831.2901013109155,871.6948885149201,914.042754785298,958.4239077024484,1004.9326082815987,1053.667310477194,1104.730805235754,1158.2303687304322,1214.277914348689,1272.9901479563587,1334.488725918102,1398.9004153104206,1466.357255715841,1536.9967219335797,1616.5252360737527,1704.5112547198096,1800.8690125439223,1905.7580923857163,2019.5198633448815,2142.6380222786374,2275.7149569570083,2419.458572470946,2574.676125586169,2742.2728488758544,2923.253949828976,3118.729091510398,3329.918799742213,3558.162461590476,3804.927722968424,4071.8211864392565,4360.600371235075,4673.186937260289,5011.681200498434,5378.3779832122145,5775.783851295121,6206.635794621137,6673.921404989103,7180.900600471569,7731.128934463481,8328.48251199384,8969.36397138257,9640.58083311866,10348.137782935726,11096.76851191862,11890.455273618823,12732.740218587935,13626.910273205089,14576.10473418921,15583.375142347604,16651.71520261738,17784.071421944136,18983.340872499863,20252.359931286635,21593.886322594062,23010.575890763655,24504.955012855677,26079.389276947433,27736.04891306642,29476.871416197213,31303.521811150265,33217.35105630125,35219.35315332284,37310.121613030846,39489.80601549402,41758.06948884118,44114.04800951178,46556.312491109784,49082.83467390264,51690.95784714496,54377.37342723855
I,243.0093428735731,183.2376422177102,146.02306544070592,123.20444233901054,109.6253681581386,102.02446274308265,98.3363496004335,97.25120045252315,97.93709074322446,99.86489496063659,102.69777935388257,106.22140259366968,110.29978049208933,114.84733930450292,119.81118792480441,125.15984676405598,130.87606129696667,136.95220393129483,143.38731957322992,150.18521798875037,157.35323531584459,164.90142541022945,172.84202904382457,181.18912417187747,189.95839541400707,199.16698303570504,208.83338578275212,218.97740088220456,229.62009025347325,240.78376565370493,252.49198785974625,264.7695765364,277.6426284562613,291.13854240963855,305.2860495943738,320.11524858157696,335.6576441635173,351.94618953578504,369.0153313677773,386.9010573869027,405.6409461513816,425.2742187199589,445.84179194814124,467.38633315236973,489.9523158876691,514.0838706538325,540.1526777122461,568.4313230707467,599.1396252823906,632.4738801359794,668.62538154282,707.7922719769874,750.1872993876812,796.0431144995387,845.6161420554487,899.1896787456317,957.0766300736283,1019.6221473480706,1087.206331751645,1160.2471141779483,1239.2033839420433,1324.578418090417,1416.9236504715852,1516.8428125496694,1624.9964739591726,1742.1070085974875,1868.964010703642,2006.430184243478,2155.447727552893,2317.045233218021,2492.345120276018,2681.8718497893356,2884.840455067867,3101.1963271771797,3331.321847462547,3575.8616667172814,3835.618816901453,4111.492918180706,4404.443212125477,4715.466044783224,5045.580565286013,5395.818893944486,5767.218508501391,6160.815495546272,6577.637855049017,7018.6983734283785,7484.986781150408,7977.4610366954885,8497.03766121056,9044.581106098434,9620.89218040738,10226.69560274778,10862.626777286814,11529.217927057276,12226.883751093003,12955.906804715345,13716.422834043813,14508.406325507078,15331.65655754377,16185.784463400765
A,302.02488134556864,289.9438860917459,288.1092381029623,292.8636133468422,301.9356101527931,313.9236179727295,327.97155045116097,343.5652188577278,360.4045543702522,378.323508054852,397.2399107849366,417.12415091231907,437.9796639750731,459.83083078371754,482.7155169201443,506.6805160127349,531.7788063643586,558.067937336625,585.6091175125159,614.466737181661,644.7081584212912,676.4036691907297,709.626537388344,744.4531255230393,780.9630420516744,819.2393150012094,859.3685794111905,901.4412737678072,945.5518428143082,991.798945452354,1040.285667231698,1091.1197373716989,1144.4137504984637,1200.2853933970603,1258.857677119261,1320.2591747842682,1384.6242653813092,1452.0933838398546,1522.8132775817849,1596.937269713605,1674.6255289574615,1756.0453463579415,1841.37141873745,1930.7861388060614,2024.479891761583,2123.270042977636,2227.8932724507267,2339.0472552501437,2457.4195062132007,2583.7080023069298,2718.636592023238,2862.967159809455,3017.509838922565,3183.132130104631,3360.767502504771,3551.4238728796176,3756.1922439077043,3976.2557094963777,4212.898989366248,4467.518627333997,4741.633971337231,5036.899044299324,5355.1154107648745,5698.246143088421,6068.4309916329585,6468.002865079216,6899.505728913119,7365.714031907722,7869.653771451228,8414.625308397404,9004.228040196791,9641.517335655864,10327.959249291769,11065.628958105875,11857.045052848385,12705.068236157063,13612.838695431728,14583.73654066213,15621.35579003392,16729.486054506084,17912.098282331186,19173.332256804177,20517.48434535483,21948.994486438645,23472.431699942925,25092.477594139353,26813.907464446624,28641.56866504188,30580.35600127636,32635.18394980134,34810.95557105385,37112.528039436664,39544.67478258177,42112.044293729195,44819.11576077939,47670.15174151804,50669.148205724196,53819.78235959919,57125.358763883036,60588.754351355885
IH,0.0,13.88179221841624,20.82315370220401,23.875531627494627,24.849096988646068,24.799676838064,24.328611419321597,23.76651579595516,23.285204879286713,22.965328982813798,22.836827049503395,22.902792008694348,23.15328703424759,23.573131240759473,24.146111356754034,24.857110932720293,25.6930548689515,26.6432035088478,27.699109365968038,28.85441607182944,30.104599418396386,31.446703428236972,32.87909726936148,34.40126359236034,36.01362065197905,37.717376441858384,39.51441125246186,41.40718450897033,43.39866184510929,45.49225877018352,47.6917977962265,50.00147640820355,52.42584373356218,54.96978417855942,57.63850664395963,60.437538215969,63.37272145708525,66.45021460424366,69.67649412626939,73.05835920636217,76.6029378042463,80.31769402177073,84.21043654924065,88.2893280108871,92.56289505923466,97.04003909175249,101.75848372838843,106.7676027763656,112.11980034926142,117.86672684801067,124.0581266786838,130.74203664886588,137.96561092170623,145.77617954000826,154.22234068897683,163.35499666509045,173.22830367467103,183.90053672401137,195.43488546269623,207.90020234988575,221.37172529427426,235.93179546824894,251.67058869360756,268.6868763602976,287.0888296123744,306.9948786462478,328.5346374312335,351.8499029402702,377.09573700248484,404.441638082883,434.07280958017094,466.1915305354837,500.9786603248588,538.5242788612711,578.8924660834117,622.1528688576564,668.3942689845948,717.7287703384525,770.2913925720434,826.2376563106445,885.7404954424036,948.9871367325279,1016.1762103783425,1087.5151595571074,1163.2179224437991,1243.5028205253627,1328.5905761645224,1418.7023857126317,1514.057984156231,1614.873649218614,1721.3601050519364,1833.7202973155981,1952.1470222980513,2076.820402831106,2207.9052131986,2345.5480641939675,2489.874468034285,2640.9858110325467,2798.9562697395413,2963.829713601517
IN,45.88990843744665,85.97027604618685,109.68928141671259,123.3779191740891,131.02454060542533,135.13884630567804,137.29693607131009,138.4853537381346,139.3184012040611,140.17551065845495,141.28815906655916,142.7949113041248,144.7763140628366,147.2770377690632,150.3199379371092,153.9149886719921,158.06495677475866,162.7690004305042,168.0249440005844,173.83070691643323,180.18519144053852,187.088824163075,194.5438762401434,202.55464285408385,211.12753391099864,220.27110972498593,229.99608366649585,240.31530612665333,251.24373918143536,262.79842808259326,274.9984735526008,287.8650074325107,301.42117327625033,315.6921128422638,330.70495899926846,346.4888352689405,363.07486202942783,380.49616926955474,398.7879156940614,417.9873139212855,438.1336614766906,459.26837726179593,481.43504316355035,504.67945046053626,529.0496506770589,554.5960105322999,581.465274109842,609.8557962185316,639.9922956427171,672.1125529213977,706.4613147235526,743.2884673994993,782.8496795941252,825.408428323088,871.2387688958531,920.6284852196909,973.8824262967687,1031.325937159596,1093.3083534289203,1160.2065641065028,1232.4286671564457,1310.4177531256205,1394.6558573590075,1485.6681236267116,1584.0272225984745,1690.358068389837,1805.342875803453,1929.7266001099015,2064.3228003187405,2210.019965851644,2367.78834524954,2538.6873138810497,2723.7411722789166,2923.6963140544904,3139.1943290087993,3370.86779230508,3619.3909326866506,3885.5042679592825,4170.024452697852,4473.845898445085,4797.937936698561,5143.3396403796805,5511.15344423283,5902.538135084473,6318.701455113345,6760.892377154503,7230.393012078959,7728.510059717727,8256.565696139704,8815.887789370794,9407.799345951584,10033.607108159946,10694.589244097766,11391.982098957596,12126.966004956512,12900.650179186772,13714.056772570426,14568.104168741536,15463.58966841389,16401.171731863677
D,979.0,979.0,979.2965373828957,979.7413533983879,980.2513731100119,980.7821897417836,981.3119506797453,981.8316489035958,982.339339861924,982.8367492458459,983.3273255667382,983.8151568798966,984.3043973105559,984.7989887173817,985.3025486709386,985.8183484002661,986.3493362227576,986.8981811506717,987.4673227799485,988.059020254647,988.6753969365838,989.3184795432238,989.9902316476052,990.6925819855749,991.4274482415652,992.1967570346019,993.0024607883954,993.8465520926813,994.7310760744681,995.6581412114647,996.629928942146,997.6487023599848,998.7168142234759,999.8367144677848,1001.0109573668411,1002.2422084650632,1003.5332513743099,1004.886994512961,1006.3064778492306,1007.7948796991114,1009.355523620072,1010.9918854342516,1012.7076004089964,1014.5064706178221,1016.3924725010108,1018.3697646418412,1020.4426957717417,1022.6164204592658,1024.8971479768084,1027.2922070328177,1029.8100296712823,1032.460110556619,1035.2529704966253,1038.2001375877774,1041.3141509723011,1044.6085879277316,1048.098113086431,1051.7985479443307,1055.7269588451152,1059.9017619648985,1064.3428442789336,1069.0716999650733,1074.1115821408937,1079.4876702243916,1085.2272535491297,1091.3599321580848,1097.9178359534872,1104.9358636001766,1112.4519427741318,1120.5073135211087,1129.1468366463748,1138.4193291973238,1148.3779292266292,1159.0796382337876,1170.5833819699499,1182.9494550367024,1196.2396398045844,1210.5176151660241,1225.8494547322982,1242.3041163513767,1259.9538800416292,1278.8747199670947,1299.1466097562973,1320.853766097875,1344.0848369999903,1368.9330405339147,1395.4962584686143,1423.8770875573139,1454.1828496626554,1486.5255605395976,1521.021855982719,1557.7928731930167,1596.9640846168052,1638.6650811388474,1683.0293013569615,1730.1937037123782,1780.2983784884063,1833.4860971109472,1889.9017967804245,1949.6919992275518
R,0.0,17.89053608252919,43.6013643113183,73.85640992732637,106.74468178892914,141.19036602573397,176.62493366049773,212.78503826460386,249.58857406697723,287.0591726002513,325.2806210586738,364.36968924512064,404.46022398255366,445.6940948075145,488.2162699616275,532.1723538978299,577.7075688148785,624.9665645188695,674.0936877424359,725.2334929060886,778.5313679003058,834.134203615108,892.1910687847475,952.8538709845952,1016.2779956927877,1082.6229215057542,1152.05281288203,1224.7370933972893,1300.8510031534136,1380.576144126962,1464.1010171192092,1551.6215537244339,1643.3416464447293,1739.473679789989,1840.2390649310084,1945.8687802299216,2056.60391975703,2172.6962517148254,2294.4087885255667,2422.0163701945826,2555.8062624340296,2696.078770917889,2843.147872935639,2997.3418676167394,3159.004045808539,3328.493380604542,3506.209986829732,3692.610799953511,3888.217259976169,4093.618947600277,4309.475480955517,4536.517988942152,4775.550886083149,5027.454329161113,5293.187541353431,5573.79308517349,5870.402114408108,6184.24061494061,6516.636641341771,6869.028562391103,7242.974339623165,7640.161875976922,8062.42048526848,8511.733546818996,8990.252422854599,9500.31172916745,10044.446061998775,10625.408296221973,11246.189581708111,11910.041176261593,12620.498264692998,13381.405924370543,14196.912619776285,15071.39720647702,16009.436994786749,17015.806169791405,18095.48962968654,19253.70388995656,20495.92049795103,21827.88955905821,23255.66217359347,24785.611225984634,26424.450292351652,28179.250578208204,30057.455845580876,32066.895284882212,34215.79425787274,36512.78279887474,38966.901720288624,41587.60612991832,44384.76613411138,47368.66447367506,50549.9908198319,53939.83244578172,57549.6609863003,61391.315003741496,65476.97809428728,69819.15229370298,74430.62657747403,79324.4402961248
G,57536.0,57536.0,57543.855400245324,57556.953284933676,57573.67814458464,57593.041201181724,57614.44749623978,57637.549609945236,57662.155854791585,57688.1727183093,57715.56883363446,57744.35247713921,57774.557561953494,57806.23496435143,57839.447195132096,57874.26516727092,57910.76627594186,57949.03329924916,57989.15381167767,58031.21991765275,58075.328185039405,58121.57970385076,58170.08022390894,58220.94034301621,58274.275728318134,58330.20736046763,58388.861794496814,58450.37143395603,58514.87481650542,58582.51691012986,58653.44941973679,58727.83110423913,58805.82810441701,58887.61428195103,58973.37157006236,59063.29033620361,59157.56975723214,59256.41820747288,59360.053660044825,59468.70410178689,59582.60796207652,59702.01455578747,59827.18454058305,59958.39038868634,60095.91687320926,60240.55936312955,60393.07461403812,60554.211707466566,60724.734004005484,60905.43540906809,61097.15310800919,61300.77818628053,61517.265070847316,61747.64041991865,61993.01188956895,62254.57707923438,62533.63287812717,62831.58538494787,63149.960543281544,63490.41561786709,63854.75162807825,64244.92685155618,64663.0715110915,65111.503760307394,65592.74708757755,66109.54926229759,66664.9029526259,67262.06814869458,67904.59652965884,68596.35791637968,69341.56895355364,70144.1244032744,71006.73859874898,71932.6631569065,72925.57325308998,73989.50038437272,75128.79299028213,76348.09361600206,77652.32570285325,79046.68573612174,80536.63807005504,82127.91070470813,83826.49086264806,85638.61955810728,87570.78455934284,89629.71127268246,91822.35115812776,94155.86734237256,96637.61713867076,99275.1312223077,102076.08925067488,105048.29176141912,108199.6282328816,111538.04124921354,115071.4867786032,118807.89064681661,122755.10136903015,126920.83958947206,131312.64446894467,135937.817452656
H,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1472836.8890479628,1417644.6918699981,1362452.4946920334,1307260.2975140687,1252068.100336104,1196875.9031581392,1141683.7059801745,1086491.5088022097,1031299.3116242451,976107.1144462805,920914.9172683159,865722.7200903513,810530.5229123867,755338.3257344221,700146.1285564575,644953.9313784929,589761.7342005282,534569.5370225636,479377.33984459896,424185.1426666343,368992.9454886696,313800.74831070495,258608.55113274028,203416.3539547756,148224.15677681094,93031.95959884627,37839.762420881605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
