series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11
S,1462904.0339033161,1462791.3446348824,1462699.4668952106,1462618.0302636179,1462541.1800468105,1462465.5752777962,1462389.2867108018,1462311.1824144593,1462230.5827222366,1462147.0656769723,1462060.3571228802,1461970.2686012327,1461876.6623109423,1461779.4314176722,1461678.4890763543,1461573.762402877,1461465.1892560269,1461352.7166122205,1461236.2998384875,1461115.9024662054,1460991.4962369706,1460863.0612881228,1460730.5864002788,1460594.069260615,1460453.5167137107,1460308.9449823056,1460160.3798465808,1460007.856774445,1459851.4209978057,1459691.1275315662,1459527.04113341,1459359.2362035273,1459187.7966243802,1459012.8155414574,1458834.3950867474,1458652.6460473773,1458467.687482512,1458279.6462921966,1458088.6567423206,1457894.8599503213,1457698.4033365725,1457499.440046669,1631176.820642957,1804820.8798287173,1978430.7702353206,2152004.072655061,2325536.792351593,2499023.362054018,2672456.6002202113,2845827.602228726,3019125.558106141,3192337.498026544,3365447.9700947725,3538438.656646481,3711287.937266488,3883970.4100013403,4056456.3873417694,4228711.3905477,4400695.674395777,4572363.823525784,4743664.469724355,4914540.184623961,5084927.60200714,5254757.815988998,5423957.0845611645,5592447.842818331,5760149.999379046,5926982.457824169,6092864.778227062,6257718.877322859,6421470.662716579,6576482.517952337,6563974.516770094,6550745.634348128,6536797.349408426,6522181.3396282215,6506971.647075887,6491251.885909272,6475108.74290578,6458628.332410461,6441893.98814728,6424984.870024474,6407975.087700573,6390933.180081092,6373921.852230195,6356997.90238733,6340212.289539828,6323610.303526408,6307231.80794264,6291111.5324961655,6275279.39653045,6259760.849525837,6244577.2176962085,6229746.048471428,6215281.446801609,6201194.3989310125,6187493.080644131,6174183.1480490295,6161268.0097876955,6148749.080195453
E,0.0,112.68926843378746,182.0285423943479,227.05847689668303,258.4957651518891,282.3999772246966,302.2070150374068,319.8682670619147,336.4925686420081,352.70927265997454,368.8740566277139,385.1857635652297,401.7528091678172,418.63095865277387,435.84483462183306,453.4001740666962,471.29082365085037,489.50274310879274,508.016309691535,526.807660958084,545.8494968667128,565.1115817889581,584.5610841088954,604.1628321529896,623.8795313698064,643.6719681612562,663.4992144197739,683.3188401544326,703.0871376035436,722.7593577997243,742.2899590318799,761.6328656719509,780.7417351955977,799.5702308084376,818.0722968267105,836.2024338153728,853.9159704350279,871.1693289774792,887.9202816675154,904.1281949671553,919.7542593299183,934.7617021083172,949.1159816095972,993.9207377791344,1063.9330785336927,1156.5305577577053,1271.1907614408806,1409.068295765474,1572.7011106330067,1765.8426315030638,1993.4009303311868,2261.4622905184087,2577.377774980341,2949.8939633077093,3389.310822505182,3907.6498085101293,4518.813576596789,5238.715406284343,6085.35231804415,7078.791967369301,8241.04122281399,9595.765613866102,11167.835285518178,12982.68588612571,15065.501919703556,17440.253749625066,20128.644012546632,23149.039737613537,26515.477955884922,30236.831554202596,34316.20792396498,38750.628113559826,43508.29321532709,48035.280697203176,52376.248614008335,56516.724211811685,60422.764974929676,64057.64498568322,67388.91108984027,70391.17337261845,73046.9006611764,75346.24192818042,77286.36665497282,78870.58119501367,80107.36445446617,81009.40633692665,81592.69794847135,81875.70123572137,81878.61189885525,81622.72027626148,81129.86888719493,80422.00149155468,79520.79624454299,78447.37433660252,77222.07508512911,75864.28853942709,74392.33709339728,72823.39823907969,71173.4613428906,69457.31211778682
I,162.2669904090252,119.39127057572175,96.47319089475396,84.92004788552578,79.867525509854,78.55718001516904,79.42341074156279,81.57738169161668,84.51453124532223,87.94852129619984,91.71686222105984,95.7272331521476,99.92693251526156,104.28548542929798,108.7847393145652,113.41322338916076,118.16293707090149,123.02752260647097,128.00122708586733,133.0783151744949,138.25273983621727,143.5179614771704,148.86685331629576,154.29165776286663,159.78397391689293,165.33476500172728,170.93437944010577,176.57258202267957,182.2385931216729,187.9211347034282,193.60848229685647,199.28852225501348,204.94881370483182,210.57665457366886,216.15915104467302,221.68328974587956,227.13601193213077,232.504288881253,237.77519770038646,242.9359967270643,247.97419971346866,252.87764800129392,257.6345799282005,262.23369675387704,269.0482893674659,279.4231072925242,294.1467770382228,313.75954553936435,338.74731871112715,369.66194250756763,407.1968485237701,452.2380541228468,505.90349119375594,569.5785716052986,644.9523657571877,734.0563098466238,839.3055570595483,963.5416315765468,1110.0737221924503,1282.7146634876297,1485.806406193255,1724.2286945625924,2003.3839690626428,2329.1514919834704,2707.8046576281463,3145.8876209126547,3650.0507877456243,4226.849100663192,4882.511855762867,5622.697200348434,6452.247629002523,7374.964039367181,8393.414921762016,9507.055254903447,10673.070207357294,11863.377352677384,13056.206290842249,14232.940026206155,15377.068620199572,16473.959610053593,17510.9027562709,18477.203878082844,19364.24021969394,20165.450678773817,20876.26095686198,21493.954649351195,22017.50477105604,22447.380134735595,22785.339309343046,23034.222581862326,23197.7499519266,23280.33096627842,23286.89027209802,23222.71117495248,23093.29822391854,22904.25888454825,22661.203659893185,22369.663537586228,22035.023335079255,21662.469347391518
A,261.5843922423329,228.8451630676264,214.1133455518591,209.784251002426,211.5552663911846,216.98510283830979,224.68598283928864,233.86793175490573,244.08071671220267,255.06732444923472,266.680593297843,278.83568319007026,291.4829167062178,304.5922162680161,318.1441521358673,332.1247656490456,346.52255332519826,361.32669188816186,376.5259796082364,392.10819459192345,408.05969913458074,424.3651925978017,441.00755718236485,457.96776492244396,475.22482791100714,492.7557815625593,510.5356951306842,528.5377061563826,546.7330768505523,565.0912710832282,583.5800509375705,602.1655918484277,620.8126152788581,639.4845377510256,658.1436348765234,676.7512188488281,695.2678276830595,713.6534243265351,731.8676036256679,749.8698050261563,767.619528807975,785.0765536167819,802.2011530499915,818.9543090888571,839.1411798554925,865.4435207723103,899.8837427595965,944.1666525684007,999.9262070942926,1068.9051344597635,1153.0913532971645,1254.8298096808392,1376.9232255875881,1522.7309235103794,1696.2714200420419,1902.3316659606426,2146.5833637987407,2435.704441335594,2777.501297405505,3181.0247729313746,3656.6699895854003,4216.2474707671245,4873.010731176255,5641.624368029816,6538.0572567860245,7579.3883109146445,8783.517684363225,10168.784069275654,11753.498077364033,13555.411278988333,15591.148732709453,17875.638309905036,20421.571839673692,23236.127561004163,26257.211608992904,29436.014015489403,32728.047290974995,36090.20217486428,39480.2315693565,42857.170043970465,46182.04527971832,49418.598663990284,52533.89365250195,55498.76656763686,58288.11190392575,60881.01289419594,63260.73704436073,65414.61992608565,67333.86101754098,69013.25411351357,70450.87258718497,71647.72708525235,72607.41040302385,73335.74152430185,73840.4182481488,74130.6855303303,74217.02467180163,74110.86679436846,73824.33264204273,73369.99961284515
IH,0.0,10.423835213733012,16.26830704861883,19.617257586519756,21.63769018030156,22.979803180528727,24.00275450901628,24.90224587867915,25.782616409187714,26.697524358961093,27.67283910435157,28.71946249096777,29.840457011087494,31.034963468734304,32.30031543255153,33.63314722912876,35.02994560186826,36.48729847232903,38.0019827585771,39.570970138739824,41.19139408005597,42.860501488360754,44.57560120513919,46.3340154431981,48.133036923070044,49.969892711320874,51.84171486776437,53.74551758587008,55.678180337819526,57.63643648968335,59.61686686572429,61.615897777898056,63.629803078777506,65.65470983461222,67.6866072465741,69.7213584717368,71.75471501169447,73.78233334727582,75.79979350409386,77.8026192372143,79.78629952542337,81.74631106763356,83.67814147688505,85.57731287196358,87.43940557344105,89.4132310671021,91.70793095149173,94.54668924407696,98.14831813149718,102.72453261932995,108.48542906523012,115.64886387362922,124.45146628853352,135.16024942029674,148.08447301323443,163.58775326212276,182.10053886413687,204.1330590256543,230.2887444819564,261.27795132180427,297.93159333441025,341.21402369388477,392.23421865085487,452.25403327121296,522.6920647862033,605.121527626387,701.2605752801962,812.9537487710843,942.14371538,1090.8331688709727,1261.0376297210196,1454.730802783938,1673.7849877384358,1919.9096654694326,2194.4799973173153,2495.8799986328763,2820.9726417081065,3165.771647725281,3525.792750547158,3896.276242666693,4272.355808210171,4649.200669984252,5022.138876286238,5386.762558445866,5739.014131420372,6075.252593530596,6392.299936945542,6687.468609696465,6958.5717314372405,7203.918284684111,7422.295783887274,7612.943002342923,7775.5152582666515,7910.044572584099,8016.896752930017,8096.727164319607,8150.436642618804,8179.128710892226,8184.068983516701,8166.647396289181
IN,32.451884619570436,59.486927505880274,73.43455933434694,80.47066181733445,84.02178304900583,85.9696967122086,87.33040936089758,88.63723104594007,90.1566932363987,92.0099305710599,94.24059304439467,96.85254822080935,99.83055478158386,103.15137565301636,106.78955778254141,110.72026637344104,114.92051798332695,119.36956550518481,124.04885343057445,128.94177299283052,134.03334073345326,139.30986486961325,144.75863118176562,150.3676224076332,156.12527575062583,162.02027836495134,168.04139846463454,174.17734883869048,180.41667938164784,186.74769540515422,193.15839878702053,199.63644933682363,206.16914406211183,212.74341228484658,219.3458247776978,225.96261526574148,232.57971277625765,239.1827834244191,245.7572803026796,252.28850020322548,258.76164595187544,265.1618931734163,271.47446034682366,277.684681047567,283.7780773158856,290.2172238832579,297.6564202519209,306.79846873882457,318.3369048276857,332.94667628403806,351.3004331945274,374.0972273012087,402.096620416428,436.1549648740543,477.26274083688816,526.5828966643829,585.4905306301987,655.6142188528587,738.8789752057589,837.5502987333144,954.2780646075062,1092.138182677762,1254.6690378034812,1445.898828275541,1670.359166480839,1933.0798721643955,2239.559961666506,2595.710579222749,3007.7671131325483,3482.169946957856,4025.4160174518784,4643.886251810529,5343.656622218602,6130.302578718102,7008.35992266928,7973.044776268376,9014.755559272146,10121.13950231612,11278.18252459005,12470.907930332776,13683.912565372391,14901.822427937124,16109.6909955028,17293.342135984967,18439.65382626804,19536.779543451376,20574.3069208507,21543.356227956123,22436.623689707474,23248.376368523695,23974.406294927372,24611.951855455245,25159.59427109938,25617.13646777402,25985.47087867285,26266.44183125366,26462.707240170446,26577.603411443273,26615.01590359058,26579.25861418369
D,1072.0,1072.0,1072.1880989892486,1072.4816619677383,1072.8356570423143,1073.2261109941599,1073.640783488761,1074.0739152267204,1074.5232783626252,1074.9885278593135,1075.470286947441,1075.9696456727506,1076.4878908057124,1077.026364379729,1077.5863929239395,1078.1692548515023,1078.7761678417146,1079.4082861768609,1080.0667025679809,1080.752451565328,1081.4665130728313,1082.2098152675926,1082.983236646897,1083.787607145846,1084.6237083786448,1085.4922731064107,1086.3939840524429,1087.3294721878167,1088.2993146044757,1089.304032084175,1090.3440864619836,1091.4198778736547,1092.5317419674382,1093.679947152938,1094.8646919523403,1096.0861025126273,1097.3442303310999,1098.6390502405452,1099.9704586945793,1101.338272388006,1102.7422272414108,1104.1819777736182,1105.6570968801025,1107.1670760299323,1108.7113258884312,1110.289177367433,1111.9026466946352,1113.5575240755943,1115.2636270903636,1117.034721803436,1118.8883946945107,1120.846023449854,1122.9329169930018,1125.1786542422374,1127.6176323900352,1130.2898292471475,1133.2417841093568,1136.5278037556416,1140.211402094222,1144.3669819920417,1149.0817647518284,1154.4579655860073,1160.6152015417038,1167.6931012364075,1175.8540635691413,1185.2860861461095,1196.2055553611551,1208.859861833334,1223.5296810806879,1240.5307442168723,1260.214921134127,1282.9704519623983,1309.2211925028762,1339.4247843630221,1374.0697168776455,1413.6692942844088,1458.7076602411175,1509.6123504749053,1566.7389679740331,1630.3621967645338,1700.6708315473652,1777.765853941406,1861.661073781952,1952.285995140146,2049.4905817236645,2153.051577774442,2262.680025350748,2378.02961909039,2498.705556528284,2624.2735727582894,2754.2688883205556,2888.204844350797,3025.5810455843884,3165.890876944713,3308.6283011754695,3453.2938820501063,3599.400009459275,3746.475328953123,3894.068399248957,4041.7506171827017
R,0.0,38.15607090796709,78.36423116329898,119.97454981304111,162.74343645203123,206.64402182589274,251.76010380857113,298.2277834682143,346.2040437428942,395.8503924203478,447.32481646432433,500.7782330627505,556.3532986574041,614.1843890637133,674.398102021855,737.1139361516049,802.4449690868639,870.4984506092375,941.3762769573616,1015.1753389608448,1091.98774989323,1171.9009649754985,1254.9978066676179,1341.3564101379272,1431.0501026269915,1524.1472293739153,1620.7109376315047,1720.7989291970146,1824.463190882509,1931.7497114562602,2042.6981927966651,2157.3417622965844,2275.7066929198554,2397.8121367247822,2523.6698771157007,2653.2841045501887,2786.6512199062104,2923.7596691934423,3064.589812771943,3209.1138317173354,3357.2956734449035,3509.0910381773274,3664.4474073153856,3823.3041142520065,3985.5924576624284,4151.716869292999,4322.518004741368,4499.231698497965,4683.459514725098,4877.157646498195,5082.6463121304705,5302.639804863605,5540.2968030991415,5799.290712867328,6083.900258252073,6399.121007430051,6750.798872410026,7145.786749683443,7592.125295989571,8099.2482825478455,8678.211971501472,9341.946455004074,10105.524872201147,10986.443918150962,12004.90621892882,13184.092216302975,14550.406538990097,16133.681866427529,17967.322455284564,20088.370157483194,22537.478096340532,25358.781129396517,28599.65750180614,32310.382161333346,36543.32757547355,41344.067773737406,46751.01555726829,52794.92045458096,59498.448622836295,66875.93524425583,74933.34100154752,83668.41360453269,93071.03787781099,103123.7478390367,113802.36896626324,125076.75706856359,136911.60086426127,149267.2577714311,162100.59590507208,175365.81935735574,189015.25812723293,203000.10828005325,217271.11186030143,231779.1696265371,246475.8827595407,261314.02228818354,276247.9270896533,291233.8329797725,306230.1366570606,321197.5991499924
G,118692.0,118692.0,118700.62861169997,118714.56652817118,118731.9523844959,118751.74539242453,118773.36874468708,118796.50872085345,118821.00101821219,118846.76623751914,118873.77316904918,118902.01783728662,118931.51149211598,118962.2736848062,118994.32823656614,119027.70085395605,119062.41768281734,119098.50439783077,119135.98559861464,119174.88438227437,119215.22201876942,119257.01768769643,119300.28825351145,119345.04806675535,119391.30878487567,119439.07920967802,119488.36514038473,119539.16924235497,119591.49093208561,119645.32627937236,119700.66792758473,119757.50503296565,119815.82322374952,119875.60457972594,119936.82763267844,119999.46738790914,120063.49536683067,120128.87967037343,120195.58506272483,120263.57307469366,120332.80212578071,120403.22766384171,120474.8023210526,120547.47608473361,120623.58054637435,120705.04584947739,120793.60133697621,120890.93635058937,120998.82864017363,121119.25028628392,121254.46076907663,121407.09537953458,121580.25543505902,121777.6051235744,122003.47835817098,122262.99771990221,122562.20627210698,122908.2116037496,123309.33978281864,123775.29490826836,124317.31765843973,124948.33377650843,125683.08107407035,126538.20166849106,127532.28528347037,128685.8500189325,130021.24938433741,131562.49865895844,133335.01948458044,135365.30831776085,137680.541011563,140308.13135185558,143275.2650263299,146606.6928818935,150284.75194462194,154295.1987056354,158622.68147800278,163249.24959804898,168154.14030040207,173314.10588327874,178703.95454037885,184297.1521043666,190066.4101152313,195984.22338028892,202023.33987417608,208157.1568009541,214360.04302997395,220607.59186878635,226876.81025528003,233146.25151110563,239396.09915806924,245608.20919859392,251766.11786771085,257855.02129572086,263861.7328614303,269774.6233241708,275583.5481383883,281279.7657033218,286855.8496979246,292305.59810614435
H,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5208791.7798805395,5034913.087587563,4861034.395294587,4687155.703001611,4513277.010708635,4339398.318415659,4165519.626122682,3991640.933829705,3817762.2415367286,3643883.549243752,3470004.8569507753,3296126.1646577986,3122247.472364822,2948368.7800718453,2774490.0877788686,2600611.395485892,2426732.7031929153,2252854.0108999386,2078975.318606962,1905096.6263139853,1731217.9340210087,1557339.241728032,1383460.5494350553,1209581.8571420787,1035703.164849102,861824.4725561254,687945.7802631487,514067.08797017206,340188.3956771954,166309.70338421877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
