series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11
S,2531257.49060096,2530774.51407861,2530391.2082150267,2530055.952947271,2529740.1950496156,2529427.9296522345,2529109.9775223495,2528780.8656073697,2528437.1243892144,2528076.357458119,2527696.732329647,2527296.701164286,2526874.84700393,2526429.7985549057,2525960.182418142,2525464.595788392,2524941.5903545823,2524389.6623441414,2523807.2459545997,2523192.7086731563,2522544.347672744,2521860.386850006,2521138.974277622,2520378.1799577614,2519575.9938271176,2518730.3240000666,2517838.9952574577,2516899.747801292,2515910.236303765,2514868.0292848526,2513770.6088569323,2512615.37087833,2511399.625560551,2510120.5985763217,2508775.432717517,2507361.1901535247,2505874.8553415705,2504313.3386408854,2502673.480682282,2500952.0575435935,2499145.7867794447,2497251.3343508164,2495265.322495803,2493184.338577678,2491004.944939848,2488723.689789395,2486337.119121639,2483841.789687499,2481234.2829933334,2564644.644232057,2647829.898593855,2730777.193650725,2813467.208347271,2895875.53155473,2977973.332958822,3059727.592285723,3141101.0497980556,3222051.9766887873,3302533.8246775484,3382494.7906634333,3461877.3188498146,3540617.5556395045,3618644.769524619,3695880.7477840674,3772239.183226879,3847625.066984722,3921934.107143928,3995052.197575404,4066854.9664347754,4137207.4391832687,4205963.856255515,4272967.690197028,4338051.910615142,4401039.546926371,4461744.597859818,4519973.332200362,4575526.0166243,4628199.093202447,4677768.378832921,4637936.642202131,4595601.332503626,4550702.644073815,4503268.926029777,4453387.255298123,4401188.127322251,4346836.338172068,4290524.430395641,4232467.101680654,4172895.9361694846,4112054.2698398437,4050192.2048345646,3987561.86780201,3924413.025522464,3860989.1586878304,3797524.0684543825,3734239.059666732,3671340.7147681764,3609019.2462824867,3547447.394775113,3486779.8237924343
E,0.0,482.97652234984446,768.6611954943317,948.5515180073546,1072.5843025454562,1168.0545730097567,1249.914734365732,1326.3887701328736,1402.034864129181,1479.4167730974182,1560.0161314500285,1644.7304546690145,1734.1449673282914,1828.680941583068,1928.6766057373766,2034.4312301805667,2146.2291013736863,2264.352506134597,2389.088704211114,2520.7336035683115,2659.5936163082406,2805.9864975561545,2960.241600433462,3122.699778373343,3293.7130555935487,3473.6441260547767,3662.865708057419,3861.759763401861,4070.716580014031,4290.133711444939,4520.414763695856,4761.968018323181,5015.204880165359,5280.538138010472,5558.380026940506,5849.140081882818,6153.222773052229,6471.024915483719,6802.932846753074,7149.319369282799,7510.540456354872,7886.931724118333,8278.804675499767,8686.442726000792,9110.09702588954,9549.982098239925,10006.271317604323,10479.09225976537,10968.521958924666,11474.582114753228,12103.462198640065,12843.18977230195,13690.680943050082,14648.565220569875,15723.359812808738,16924.45460252768,18263.581014525113,19754.56833968394,21413.270109379526,23257.59029490783,25307.566739367336,27585.484955600627,30116.003928124956,32926.27967984034,36046.0738170889,39507.834085953626,43346.73280667777,47600.647341681615,52310.064841227366,57517.891721541324,63269.14700507799,69610.51817442708,76589.75898539207,84254.91120012419,92653.33687069069,101830.55498167111,111828.88614286098,122685.92155475757,134432.84725594905,147092.4668667087,159696.84544197857,172316.95418941896,184921.2645452049,197425.89281827305,209720.49171555944,221682.7171637714,233187.20729602833,244111.78375919347,254342.0769339741,263775.0822210544,272321.8485669776,279909.3795635595,286481.79300332733,292000.7879075637,296445.48438368086,299811.71918005653,302110.89293983136,303368.47188104433,303622.2468438882,302920.44724841457
I,1319.9376228814197,993.9910091882904,825.1510145785418,743.3241600326045,710.2406359270847,705.0027493785728,716.2032537549873,737.62379569925,765.8862007731118,799.1695923046667,836.5094445678897,877.4144520327998,921.6570101292562,969.1585563681205,1019.9267571328647,1074.0210405669782,1131.5336343818808,1192.5790893233907,1257.288449487294,1325.8059683178737,1398.2872185906094,1474.897963531627,1555.8134397808117,1641.2178578683458,1731.3040105478551,1826.2729255735237,1926.3335247379277,2031.7022647237268,2142.6027427751333,2259.2652542173814,2381.92629101008,2510.8279716760694,2646.217393580181,2788.345898911779,2937.468246006957,3093.841677924857,3257.7248805283843,3429.3768227553933,3609.055472335157,3797.0163809342394,3993.511133629934,4198.785658729943,4413.07839530307,4636.618317373688,4869.622815575161,5112.295439162366,5364.823503653352,5627.375572000659,5900.098820071603,6183.116300322625,6476.524120854063,6797.240041373334,7156.104884648019,7560.793216840602,8017.501572379393,8531.930166144626,9109.861162326883,9757.50988870323,10481.75066616045,11290.275192059386,12191.715968415967,13195.752485843981,14313.209238692687,15556.149492846365,16937.965500442464,18473.463655947784,20178.941402776683,22072.251245568637,24172.845856755503,26501.79693378404,29081.77917624842,31937.009572705672,35093.131222870885,38577.03032084319,42416.57487216765,46640.264418488194,51276.78171012051,56354.440089612624,61900.52446300129,67940.52917893707,74497.27044423901,81434.38168798646,88660.42935547188,96101.55703927885,103688.8395979191,111352.86736652874,119021.96269427078,126622.26127468995,134078.75713770476,141316.8233128811,148263.9211307628,154851.3139225104,161015.65911819568,166700.3911371472,171856.8368731509,176445.03031645433,180434.21426248513,183803.0352620684,186539.45274423435,188640.39440399245
A,361.85334003898316,342.0065555692319,344.25244813510466,358.79927759533035,380.3714848313331,406.1545606305318,434.67539602131535,465.19194249751985,497.3605033112691,531.0544631579397,566.2656462965681,603.0507600904714,641.5024336221271,681.733666278174,723.8695803731952,768.0431447486759,814.3930501721516,863.0627438684389,914.2000816770785,967.9573025177982,1024.491164090771,1083.9631518459892,1146.53971297343,1212.3924886479235,1281.6985292877598,1354.640483676096,1431.4067559197501,1512.1916257312907,1597.1953281560652,1686.6240890307668,1780.6901123771609,1879.6115157275703,1983.6122091179147,2092.9217132110066,2207.774911753654,2328.411733344334,2455.0767573084095,2588.018738358064,2727.490044666863,2873.746004026683,3027.044152890536,3187.643383351634,3355.802983480001,3531.7815669460315,3715.8358885178304,3908.219542837279,4109.181544868127,4318.964791575439,4537.804405743927,4765.925964374112,5003.543615806471,5255.477828583521,5525.764011710251,5818.082126552698,6136.024651999885,6483.270454476617,6863.704979328329,7281.510751605549,7741.242315893536,8247.893863975005,8806.964292663282,9424.522321732627,10107.272989236753,10862.625970709674,11698.765525005905,12624.72132428744,13650.438902463145,14786.847911172352,16045.925782667195,17440.753758430703,18985.561559168844,20695.756268459496,22587.930316767648,24679.84283909607,26990.368209136293,29539.40531125234,32347.741195517337,35436.86327008877,38828.715211337934,42545.39338504525,46608.77392941083,50997.438681029045,55694.230672559344,60681.562811733085,65939.16460458383,71443.07846002535,77165.34019120214,83074.0675270283,89133.81345725749,95306.10134326637,101550.08533835299,107823.29150666643,114082.40097031319,120284.0405305473,126385.55023583828,132345.70188624837,138125.34749401317,143687.98204593026,149000.2102392687,154032.11190617824
IH,0.0,205.71955501528763,334.2171544637944,419.8966532700167,481.8188276070325,530.6318417092403,572.3592531757407,610.4731079225055,647.0303585768864,683.2972680669374,720.0936744796551,757.9837941909609,797.382806352926,838.6170935842742,881.9588754915535,927.6466042849191,975.8973690145253,1026.9147513194332,1080.8940394060012,1138.0258637858801,1198.498854232015,1262.5016609216245,1330.2245400535105,1401.8606240640906,1477.6069508510593,1557.6652997663296,1642.242866122484,1731.5527959288506,1825.814595974059,1925.2544297817913,2030.1053065927285,2140.607167921576,2257.0068741484915,2379.558091881706,2508.521081385942,2644.1623821582407,2786.754393719016,2936.5748478549167,3093.906167893498,3259.034710106129,3432.2498820277133,3613.8431323559994,3804.1068071582104,4003.3328673791502,4211.8114631246535,4429.8293608994745,4657.668220921464,4895.602722824886,5143.898539513761,5402.810160636843,5672.578569130913,5953.4287765149675,6248.19362129936,6561.031711292006,6896.7636712387775,7260.556757966794,7657.802986912775,8094.10303773452,8575.306965669673,9107.58488094924,9697.513235493952,10352.169264430191,11079.229847460021,11887.072949272615,12784.880645789503,13782.742978801376,14891.761744185604,16124.152936511451,17493.34601294438,19014.077438400316,20702.47515532653,22576.12970744111,24654.146766283717,26957.174804621663,29507.40069147742,32328.505130517944,35445.569229324705,38884.92319404216,42673.92832845456,46840.68431852378,51413.65533079607,56421.20579754556,61866.803712596746,67739.22123801091,74017.16164339164,80671.32105868668,87665.34134727552,94956.36263530664,102495.51755328312,110228.52486800255,118096.44387574494,126036.59830978457,133983.64867632906,141870.77500339365,149630.92321562706,157198.06528678938,164508.42450917597,171501.62159089555,178121.70393939206,184318.02858628717
IN,120.22705867784165,221.73165742682974,277.7403863515224,309.6482487907472,329.1339999481922,342.5718897666413,353.4400578397531,363.6359738159251,374.19522102420046,385.68441330635903,398.4160727896404,412.5661996093452,428.23863536622684,445.5003193849018,464.4006109108243,484.9818809750726,507.28531538101504,531.3540868369637,557.2350788464554,584.9798101450742,614.6449160539537,646.2923827211,679.989642060741,715.8095865965664,753.8305364941939,794.1361760523953,836.815468457342,881.9625527551391,929.6766241552268,980.061797056061,1033.2269490977133,1089.2855438250397,1148.3554290416118,1210.5586075671984,1276.0209768359498,1344.8720335654184,1417.2445395771363,1493.2741447539206,1573.098963078096,1656.859097712031,1744.6961111633404,1836.752436728711,1933.1707276403658,2034.0931406560273,2139.6605512453807,2250.0116980418206,2365.2822548554554,2485.603829288731,2611.102887864936,2741.8996085756694,2878.106662876978,3019.827930413221,3168.69207515168,3327.0615767715194,3497.6300568153374,3683.2360842181815,3886.7953957836344,4111.296343538998,4359.8280415510335,4635.624699329681,4942.1174777887445,5282.989512399825,5662.232039627186,6084.200710775222,6553.671677193032,7075.897158807816,7656.660115677689,8302.327410841706,9019.900524924815,9817.062481718393,10702.219183853096,11684.532851989792,12773.944726579084,13981.183652267302,15317.75665533087,16795.917189384272,18428.606421078515,20229.362823046402,22212.19551026793,24391.417273333947,26781.43419465354,29396.487180862103,32236.178456488142,35291.84392722278,38549.44148103588,41990.83765088893,45594.40061142813,49335.3383833475,53185.99177860147,57116.176910000955,61093.612873451,65084.43852142327,69053.80485447752,72966.5201790396,76787.72075857442,80483.53863146662,84021.73963257822,87372.30775670594,90507.95627866777,93404.55100119727
D,12217.0,12217.0,12217.514502374725,12218.350375851278,12219.400532824593,12220.605556483977,12221.932660961935,12223.364125243164,12224.890911861523,12226.509127767067,12228.218046819695,12230.018993285465,12231.914702529468,12233.908948275348,12236.00632052614,12238.212090103158,12240.532124194107,12242.972832924052,12245.541135573525,12248.244439836746,12251.090630172775,12254.088062801688,12257.245565755602,12260.57244289533,12264.07848110381,12267.773960053622,12271.669664065317,12275.776895652674,12280.10749040533,12284.673832897015,12289.488873333981,12294.56614467606,12299.919779974212,12305.564529674524,12311.515778640522,12317.789562643826,12324.402584068448,12331.372226566646,12338.716568394859,12346.454394147206,12354.605204591733,12363.18922430159,12372.227406759957,12381.741436604356,12391.753728663463,12402.287423428223,12413.366378589493,12425.015156267284,12437.259005552385,12450.12383998064,12463.636209563743,12477.823267009095,12492.712727775466,12508.33939222,12524.748461332838,12541.997192434304,12560.155766097974,12579.307848269516,12599.551112133648,12620.997861799757,12643.77583275596,12668.029208125266,12693.919871118936,12721.628904741057,12751.358345194494,12783.333192954351,12817.803683580756,12855.047818104858,12895.374149627663,12939.124818176813,12986.678819518796,13038.455485229148,13094.918140642356,13156.577894170105,13223.997495830405,13297.795184759929,13378.64842527825,13467.297409282834,13564.548180230991,13671.275211903887,13788.42325509235,13917.008249158864,14058.117072603232,14212.845277340182,14382.260334583594,14567.37645265573,14769.13455121784,14988.384618626027,15225.869451156988,15482.209628326591,15757.889972875499,16053.247897483967,16368.464062169302,16703.555713583864,17058.372982355184,17432.59829759597,17825.748953041817,18237.182737574414,18666.10643212164,19111.586880784565
R,0.0,38.56924439860481,117.7637061334595,221.98544173977598,342.7637892587814,475.5577993446459,618.005744088779,768.9652998766767,927.9861736668447,1095.0195267382896,1270.2572765067957,1454.042804393133,1646.8210632991793,1849.1105421774716,2061.487454243278,2284.5768433058556,2519.047673457141,2765.6102680086365,3025.0151787555546,3298.0529612287382,3585.5545503640947,3888.392053172428,4207.479843876724,4543.775886349255,4898.2832315603255,5272.051651312733,5666.179377738215,6081.814923070346,6520.158957311481,6982.466223275608,7470.047469516161,7984.271382076428,8526.566495977177,9098.423066977253,9701.394883474937,10337.100997511101,11007.227352731048,11713.528285896964,12457.827877151776,13242.02112275251,14068.0749024523,14938.028712152603,15853.995130910895,16818.15998991709,17832.78220969083,18900.193270551164,20022.796280423627,21203.06460333382,22443.540011550598,23746.830324347746,25115.60649681314,26552.599123112213,28060.847701619918,29644.223436041706,31307.69097211415,33057.4385365129,34900.94889946666,36847.051026666384,38905.9739591458,41089.4143135205,43410.62329616728,45884.51622732289,48527.80609857302,51359.16196769259,54399.39264484439,57671.655923456354,61201.693428133636,65018.09091063109,69152.56346948605,73640.26465958077,78520.11776268529,83835.1665826053,89632.9419886995,95965.83904737636,102891.49795291142,110473.1801134184,118780.12870386669,127887.90083156167,137878.6562677805,148841.3856133591,160872.05895014683,174073.67419012685,188553.84420524197,204419.61563996144,221774.30735061815,240715.2577253177,261331.97696287837,283704.4941710961,307901.8315684794,333980.60592656606,361983.7874572122,391939.6565265036,423860.9978426658,457744.56489083613,493570.83714633284,531304.0807845991,570892.7114906402,612269.9464932368,655354.7227972567,700052.850230654
G,939387.0,939387.0,939463.6170617465,939585.5537596026,939736.0273889859,939906.1769799776,940091.4715133603,940289.7519471893,940500.1638525273,940722.5758886923,940957.263416984,941204.736838026,941465.6489299608,941740.7453081299,942030.8384164538,942336.7943537566,942659.5266936711,942999.9941076606,943359.200047805,943738.1935356826,944138.0705342817,944559.9756143255,945005.103753675,945474.702177179,945970.0721810281,946492.5709048333,947043.6130242234,947624.6723410572,948237.283249768,948883.0420581796,949563.6081400904,950280.7048954043,951036.1204918387,951831.7083603865,952669.3874148596,953551.141964051,954479.0212833959,955455.13881153,956481.6709359086,957560.8553307132,958694.9888097005,959886.4246565083,961137.5693952985,962450.8789655524,963828.8542664167,965274.0360383034,966788.999052528,968376.3455837074,970038.6981444644,971778.6914677549,973598.9637288661,975518.9984877149,977556.3800544606,979728.2035254274,982051.9811296504,984546.2589545419,987231.0726531433,990128.3188950394,993262.0881616968,996658.985862195,1000348.4576051073,1004363.1277056123,1008739.1557449618,1013516.6130865584,1018739.8789940585,1024458.0539685397,1030725.3858647295,1037601.7021042851,1045152.8387906132,1053451.0547130029,1062575.4151272879,1072612.1268894908,1083654.8031322767,1095804.6324133838,1109170.4244035585,1123868.5020606315,1140022.4092541987,1157762.4033908988,1177224.7051637757,1198550.4824683429,1221884.5206562458,1247218.056556541,1274553.5855277332,1303888.6013893085,1335207.2910573315,1368476.3364864977,1403643.0115588857,1440634.703355765,1479359.4171748336,1519707.015270023,1561551.0197433503,1604750.8419315277,1649154.3133737936,1694600.4007260175,1740921.9947618775,1787948.6739697831,1835509.3564000241,1883434.7686458295,1931559.6771382045,1979724.8432644357
H,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2583983.28542739,2497849.8615048975,2411716.437582405,2325583.013659912,2239449.5897374195,2153316.165814927,2067182.7418924342,1981049.3179699415,1894915.8940474489,1808782.4701249562,1722649.0462024636,1636515.622279971,1550382.1983574782,1464248.7744349856,1378115.350512493,1291981.9265900003,1205848.5026675076,1119715.078745015,1033581.6548225224,947448.2309000299,861314.8069775373,775181.3830550448,689047.9591325523,602914.5352100597,516781.1112875672,430647.68736507464,344514.2634425821,258380.83952008956,172247.41559759702,86113.99167510448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
