series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11
S,2408694.235987167,2406283.991088084,2404242.5960698673,2402425.890095356,2400744.796610223,2399143.9633863457,2397588.9335913854,2396058.299641007,2394538.847527536,2393022.5281747435,2391504.5581644024,2389982.224038657,2388454.127236346,2386919.70600994,2385378.931922617,2383832.1166140684,2382279.788337035,2380722.612711021,2379161.3415437886,2377596.7795011792,2376029.7621511123,2374461.141276282,2372891.774849855,2371322.520019062,2369754.228044597,2368187.7405266142,2366623.8864913196,2365063.480066735,2363507.318574477,2361956.18092683,2360410.826258041,2358871.9927439033,2357340.3965795883,2355816.7310956814,2354301.665998645,2352795.846725795,2351299.8939072522,2349814.402928747,2348339.9435899616,2346877.0598535766,2345426.269680397,2343988.064946062,2342562.9114348656,2935784.867979445,3528576.795680818,4120940.6478248513,4712859.452611732,5304291.024836623,5895164.635811508,6485378.291080016,7074795.083500173,7663237.671035806,8250480.267397146,8836237.682039673,9420150.975693397,10001769.280482404,10580527.338069921,11155718.404006314,11726462.427284755,12291669.925706526,12850002.824815804,13399834.76807748,13939215.01549958,14465841.848766202,14977052.987464504,15469841.246872112,15868551.32159722,15720629.952917198,15552630.013044508,15363356.431784406,15152906.326592518,14922248.316326607,14672996.184641896,14407240.090028565,14127397.3096759,13836076.710720563,13535959.56731313,13229699.73638205,12919844.470119724,12608775.353704255,12298667.593803568,11991465.18377076,11688869.21002008,11392336.597042622,11103086.797921762,10822114.238084905,10550204.655557122,10287953.815317027,10035787.387336334,9793981.056272328,9562680.17085756,9341918.442233594,9131635.364785526,8931692.163867142,8741886.176270261,8561963.645691298,8391630.970969742,8230564.483393167,8078418.854343025,7934834.248998685
E,0.0,2410.244899083074,3969.5909374829725,4992.378724497947,5674.996464730924,6140.8303956621485,6467.694111489837,6704.789239570035,6883.283505127218,7022.946156894434,7136.326935856873,7231.395674430989,7313.213341855789,7384.991899890608,7448.767607235314,7505.829394336726,7556.991792502761,7602.769060016101,7643.486415245321,7679.351174805464,7710.498289911132,7737.019506759496,7758.982031834434,7776.440456260664,7789.444339473612,7798.042989561392,7802.288426943632,7802.237166139606,7797.951225169632,7789.498627782705,7776.953571015371,7760.396370949957,7739.913261075004,7715.596092766658,7687.541971249682,7655.852849850103,7620.635098422614,7581.999057243546,7540.058584580174,7494.930604049134,7446.734656418586,7395.592459469911,7341.62747877238,7284.96451164641,7669.662981151916,8405.497314096205,9439.21213760326,10753.416558399742,12362.741345042457,14310.156880733044,16664.952157636384,19522.99326368374,23009.417322814155,27283.738288932713,32547.316050629353,39053.16712470452,47118.095185455124,57137.02928518076,69599.2192229123,85105.49602976689,104385.1167877441,128309.76924172744,157901.1870444902,194327.73544217853,238884.66872864918,292953.0946485202,357934.57128611073,434269.0257089117,515415.16043981886,601605.7096119563,691734.6728814532,784045.7485710735,876488.7305415698,966947.079046587,1053400.4435899346,1134040.953827285,1207349.9064692622,1272139.7561064882,1327567.0711475166,1373122.773333483,1408605.9785674738,1434087.192886786,1449865.7280601088,1456425.1954255453,1454389.9554612963,1444484.5242058942,1427497.2018924989,1404248.6017540947,1375565.3093839693,1342258.5785711808,1305107.7482717116,1264847.9272413356,1222161.419241137,1177672.3363112942,1131943.8566459161,1085477.6158956955,1038714.7674381114,992038.3015270643,945776.2702717937,900205.6215617753
I,1661.7677516206911,1263.5931183209307,1018.134780339768,868.5681238423701,779.158519588415,727.4033363157134,699.1256162943816,685.3955565168238,680.5929165240157,681.1852127721966,684.9564437661938,690.5199858451563,697.0109671116477,703.8920849470215,710.8311523253759,717.6239947611771,724.1460076083963,730.3218102924138,736.1063119789205,741.4729589460621,746.4064894935216,750.8985075901136,754.944810481936,758.5438004475494,761.6955606445442,764.4013327137573,766.6632332197165,768.4841085039448,769.8674666830468,770.8174499418999,771.3388254074556,771.4369821934242,771.1179278633356,770.3882809465608,769.255258125705,767.7266558380126,765.810826637511,763.5166509592032,760.8535050414232,757.8312257765338,754.4600732209468,750.7506914309773,746.7140682173127,742.3614943366929,737.7045225692435,743.3106418695559,765.0699198376814,806.1948210362455,868.7145592141185,954.5200158725727,1066.0707363088381,1206.884468158827,1381.9155482799556,1597.9066803609758,1863.7778273759288,2191.0995198835526,2594.6860309265808,3093.3348567258536,3710.7299407557707,4476.513565483259,5427.511823473289,6609.066985263239,8076.383617032578,9895.733229147267,12145.289095491866,14915.291610515776,18307.19829380257,22431.482326796686,27382.606960643097,33076.86429454344,39456.13747886233,46449.936862628776,53962.90196986473,61873.772407735036,70040.01646215828,78305.21505693458,86507.44157748992,94487.4572497015,102095.94127612544,109199.296628162,115683.83263600298,121458.32338759738,126455.07799749287,130629.74187110682,133960.08733445735,136444.05851166995,138097.31944629195,138950.5248881756,139046.49671248754,138437.45057496263,137182.38052204883,135344.67596618744,132990.0168245419,130184.56911284065,126993.48480743975,123479.69595266483,119702.98323756424,115719.29296089371,111580.27280149434,107332.99550482832
A,12315.773550821554,10723.131275289385,9761.184098877744,9198.424881479128,8888.678185900908,8739.279568553937,8691.29110780494,8707.109065283246,8762.662940353748,8842.487412677683,8936.600877811296,9038.524069628435,9144.020065374789,9250.291705325235,9355.469570170542,9458.284823037946,9557.85984789094,9653.574058201502,9744.977743786292,9831.736660491779,9913.596321521758,9990.358931034722,10061.868439335814,10128.000819933775,10188.657705279693,10243.762181926562,10293.255971850274,10337.097500540856,10375.260528910192,10407.733139996755,10434.51694521065,10455.62642275249,10471.088332027535,10480.941168252804,10485.234634811046,10484.029119686664,10477.39516810578,10465.412947320334,10448.171701990814,10425.769200269038,10398.31117174645,10365.910739102945,10328.687845691122,10286.768681504718,10240.285110064266,10267.605122945708,10421.062617070367,10736.839027232541,11243.37224016989,11968.00090052969,12942.100634407816,14205.199924152417,15808.609280596887,17819.05583301944,20322.747658673183,23430.228747233803,27282.334997616053,32057.51767148546,37980.746512153106,45334.11552179286,54469.118911166006,65820.30798997176,79919.64991052364,97410.37155393802,119058.41148427059,145758.91189001597,178534.63961746095,218523.08590395126,266792.1696866583,323118.98694016534,387350.47192833223,459158.4510160436,537947.6895380188,622838.634878315,712692.4942310305,806161.7095277552,901754.3981370559,997903.9742120252,1093037.1665153513,1185635.523489994,1274287.2446463797,1357727.6994261916,1434868.2205860731,1504813.669777294,1566869.8886135453,1620542.5116294068,1665528.779249117,1701704.00003359,1729104.2176658984,1747906.477586442,1758407.8912238549,1761004.4852827608,1756170.6159414737,1744439.5340794076,1726385.5144949448,1702607.8129005046,1673716.5902892337,1640320.8443675153,1603018.3103476586,1562387.2360558156
IH,0.0,67.64737362508934,97.04755480533234,106.87756117040416,107.41656125838301,104.14027177773626,99.82448292894802,95.76356689100294,92.46669810716041,90.04838217417925,88.44202025461217,87.51250102021191,87.11228313776806,87.1066842479139,87.38302646460912,87.85181758502934,88.44440876585861,89.1094432761713,89.80922686325118,90.51650980609219,91.21183888966608,91.88147712344409,92.5158209889874,93.10822453116899,93.65414188441152,94.15051152756573,94.59531987147453,94.98729547850243,95.32569699106463,95.61016738090653,95.84063455339118,96.01724396156852,96.14031305303394,96.21030041317891,96.22778465634369,96.19344967226681,96.10807392999806,95.97252230414779,95.78773941456805,95.55474383002367,95.27462272933982,94.94852677570437,94.57766506653073,94.16330009024428,93.7067426648264,93.20934685940443,93.10220779206017,93.91575107453389,96.1383726905435,100.1819636060393,106.4012024541764,115.13534347011017,126.7563188605069,141.71657371069037,160.595637351336,184.14735369693176,213.35099228208912,249.4698552749192,294.1208942441852,349.35841558389114,417.77415090695825,502.6146129236546,607.9144570745087,738.6411942655795,900.8417977897047,1101.7755323058877,1350.0102409525011,1655.4526622117037,2029.2792527562642,2482.870803144808,3020.4928642016744,3642.6555235592327,4346.833193387551,5127.441134004335,5975.777733307405,6880.174011742261,7826.395008100709,8798.251527752853,9778.346212709463,10748.870880765051,11692.38044888865,12592.484991838095,13434.42048833806,14205.477197258964,14895.280386580263,15495.930374889307,16002.017360658523,16410.531609145073,16720.691797719348,16933.71434056326,17052.544965593173,17081.571271177374,17026.33191821893,16893.234877239684,16689.294011463484,16421.890408542837,16098.562376437152,15726.825938312792,15314.026001853428,14867.217116970382
IN,330.5272596746712,647.3665357420648,871.8873519477688,1038.2882761950495,1168.0491535193828,1274.6526400278835,1366.5472446205877,1449.0117907207843,1525.3303453963592,1597.5331026337403,1666.8635663741932,1734.0729789608629,1799.6056710338414,1863.715548477877,1926.5391322566393,1988.1412173196356,2048.5433047825495,2107.741221356476,2165.7159733078197,2222.4403848705047,2277.883124135092,2332.011121159686,2384.791005534747,2436.189952873257,2486.1761803420704,2534.719237857004,2581.790183313745,2627.3616941617215,2671.4081454875895,2713.905671339431,2754.832218000452,2794.167593241265,2831.893512944697,2867.9936450962396,2902.453650464175,2935.2612190465893,2966.406101349523,2995.8801336682227,3023.677256705298,3049.7935270375788,3074.227121116867,3096.9783316482153,3118.0495563284035,3137.445279045903,3155.17204374259,3171.2384212183474,3187.754511404579,3207.9145698772227,3235.419532275117,3274.220681611436,3328.4817663235513,3402.6833093285513,3501.8199670759495,3631.6649769821984,3799.0936223337467,4012.470652772974,4282.115802197558,4620.868011444614,5044.773368508899,5573.924211555426,6233.476682852692,7054.869890603924,8077.259591448709,9349.160244630444,10930.25867027342,12893.318645803758,15326.039517816906,18332.668779112104,22035.10999152985,26569.007211668762,32047.73754222419,38568.42334934346,46210.14445055746,55029.73847125956,65057.57043182675,76294.39815928816,88709.83618717472,102242.55002450825,116802.07244861698,132271.98266188742,148514.1085693015,165373.38695015994,182683.03122569987,200269.69809370657,217958.4006707684,235576.97762372927,252959.9883471075,269951.95915009273,286409.9521673881,302205.46627178043,317225.70764400373,331374.2875213927,344571.41706498194,356753.6754976564,367873.42894611607,377897.9749711606,386808.4826719244,394598.7914221094,401274.12349729467,406849.757679925
D,8658.0,8658.0,8659.24664310003,8661.035088949286,8663.004687575827,8664.98421919318,8666.903373541529,8668.742994153366,8670.507777965382,8672.211805261648,8673.871266498509,8675.501124812214,8677.113853432957,8678.719206617892,8680.324456623399,8681.934799215642,8683.55378094913,8685.183683279638,8686.825841232783,8688.480895183711,8690.148983334686,8691.829885393397,8693.523127914701,8695.22806047452,8696.943910173446,8698.669820338362,8700.404877876746,8702.148132588547,8703.898610842958,8705.655325347028,8707.417282228293,8709.183486285683,8710.952944998626,8712.724671696642,8714.497688160322,8716.271026833274,8718.043732762208,8719.81486533989,8721.583499897471,8723.34872917408,8725.109664679589,8726.865437959003,8728.615201762383,8730.358131121704,8732.093424334773,8733.820303855873,8735.538017092822,8737.253755911963,8738.98448715528,8740.756178095227,8742.602386558088,8744.563206583556,8746.684984175427,8749.020919509272,8751.632550668162,8754.592095621209,8757.985664588829,8761.917414310365,8766.514782354061,8771.935004363215,8778.37317387204,8786.072146273918,8795.334605488495,8806.537588290468,8820.14967548446,8836.750884833064,8857.055011830564,8881.933744908669,8912.441339338135,8949.838016295667,8995.593728441436,9051.257036358105,9118.38590080448,9198.491739614294,9292.983051959147,9403.107978904996,9529.899619128619,9674.12874159289,9836.267771855772,10016.46852736979,10214.554646586856,10430.02828035005,10662.089536923151,10909.666445045405,11171.452811338724,11445.951251143013,11731.518800113441,12026.412799099811,12328.835123900606,12636.973251670088,12949.037076313762,13263.290777235365,13578.079390920564,13891.850023352014,14203.167870126317,14510.727382178817,14813.359033197838,15110.032216967194,15399.854836689736,15682.070151576881
R,0.0,1606.3302591394472,3040.6171128628885,4368.841797793888,5634.204366486798,6865.050731407449,8079.985021217942,9291.192695141071,10506.612838273637,11731.3643021263,12968.685274319829,14220.554175929126,15488.101130991203,16771.881409837424,18072.057681590923,19388.521888959123,20720.977069749024,22068.99256184025,23432.041493080604,24809.526464000584,26200.797350885103,27605.16384394069,29021.904463337763,30450.273215700567,31889.504666888803,33338.817948744436,34797.42004488801,36264.50858513512,37739.27430072176,39220.90324066451,40708.57881482683,42201.48370599571,43698.80167773291,45199.71929442971,46703.42756317088,48209.123502561604,49716.01164082341,51223.30544370115,52730.228671692086,54236.01666557044,55739.917558974324,57241.19341683439,58739.12129857946,60232.994245300426,61722.12219035327,63205.832793210466,64693.588819581084,66201.84059516674,67752.01264047425,69369.51036127273,71083.56475108184,72927.74565696812,74941.02446240961,77169.3290423786,79667.59438734535,82502.3665246651,85755.06483120337,89526.04954666429,93939.67771492564,99150.56033874548,105351.25152120652,112781.59799598984,121739.94128780389,132596.27706799807,145807.31724339552,161933.15314896096,181654.87796027598,205792.1114823812,235318.9328102183,271356.0048632897,315004.2805094371,367350.92483985645,429444.84328937135,502260.46581939014,586659.1183493538,683353.4442429976,792878.2692141298,915569.8592813514,1051554.378033571,1200745.444299555,1362850.02020727,1537381.4138317874,1723677.9356107546,1920925.6676728919,2128183.8503257222,2344411.5218438334,2568494.232872562,2799269.867974247,3035552.823337775,3276155.9966565445,3519910.232964385,3765681.033231788,4012382.4683586718,4258988.34975654,4504540.790479205,4748156.350323427,4989029.99750926,5226437.141699441,5459734.001425661,5688356.566455894
G,600299.0,600299.0,600356.3100398724,600450.6977159923,600569.4049161893,600704.3431848246,600850.3579051374,601004.1446873655,601163.5690424598,601327.2375776705,601494.2269671828,601663.912288949,601835.8581250723,602009.7493957795,602185.3473943069,602362.4618314055,602540.933065606,602720.6208231067,602901.3970579765,603083.1414572233,603265.7386373645,603449.0764237441,603633.0448232186,603817.5354406587,604002.4411789855,604187.656119529,604373.0755160511,604558.5958592388,604744.1149835632,604929.5321981406,605114.7484295344,605299.6663685414,605484.190615689,605668.2278219372,605851.6868222586,606034.4787605635,606216.517204976,606397.7182528486,606578.0006251703,606757.2857502159,606935.4978364327,607112.5639346705,607288.4139899464,607462.9808830022,607636.2004619712,607818.567279312,608018.4305323786,608242.8731291353,608498.564462394,608792.5218107472,609132.7841889508,609529.0381434717,609993.2496942546,610540.3603321456,611189.1044202676,611963.0041934028,612891.5980329381,614011.9571776942,615370.5433644212,617025.4515566425,619049.0630878528,621531.0993354827,624582.0083920925,628336.5328094494,632957.1961581152,638637.3201550373,645603.0660597099,654113.9209358748,664439.8322937574,676695.2107438378,691000.0007751053,707447.8487506494,726090.6402485083,746931.5116944534,769923.2731024871,794970.6952323695,821935.5618753759,850643.5455769489,880892.0818038889,912458.5511737345,945108.2296024129,978601.616447416,1012700.887536461,1047175.335637707,1081805.7526765484,1116387.7764240918,1150734.2719643496,1184676.8483346193,1218066.6268537594,1250774.3831310815,1282690.1825115646,1313722.6212150622,1343797.7746446095,1372857.9418059834,1400860.2616433923,1427775.2641737824,1453585.4071477316,1478283.6379211117,1501872.0104707559,1524360.3790926558
H,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,14198855.408976188,13604221.78990298,13009588.170829771,12414954.551756563,11820320.932683354,11225687.313610146,10631053.694536937,10036420.075463729,9441786.45639052,8847152.837317312,8252519.218244105,7657885.599170897,7063251.98009769,6468618.361024482,5873984.741951275,5279351.122878067,4684717.50380486,4090083.8847316517,3495450.265658444,2900816.646585236,2306183.027512028,1711549.40843882,1116915.789365612,522282.17029240413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
