series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,2962.7820006292504,2962.7468048146607,2962.7142555351847,2962.6817884316542,2962.647919573076,2962.611725587614,2962.5725671433893,2962.5299412317754,2962.483401575021,2962.4325150047066,2962.3768367656207,2962.315895702396,2962.2491845251693,2962.1761525954394,2962.096199861718,2962.0086712031616,2961.912850771335,2961.8079560950096,2961.693131804317,2961.5674428778543,2961.429867340217,2961.2792883489615,2961.114485615039,2960.9341261024197,2960.7367539527113,2960.520779579956,2960.284467880091,2960.0259254991415,2959.7430871043784,2959.4337006036835,2959.0953112604852,2958.725244655169,2958.3205884491344,2957.878172915058,2957.3945502068336,2956.865972355606,2956.2883679947845,2955.6573178375547,2954.9680289558214,2954.2153079403934,2953.3935330593313,2952.4966255754,2951.518020435261,2950.4506366030637,2949.286847379978,2948.018451129387,2946.6366429149853,2945.131987655736,2943.4943955067424,2941.713100287329,2939.776641894836,3189.8905363194885,3439.619810359243,3688.9152493171637,3937.706411665122,4185.900653517716,4433.380600548394,4680.000083061047,4925.578511959856,5169.893614152838,5412.672393739212,5653.580158302115,5892.207463602772,6128.054903421776,6360.515827703898,6336.640001044242,6308.987676027698,6276.9261586879265,6239.893298604808,6197.37327171613,6148.900804172113,6094.078019463243,6032.595809725406,5964.25485737732,5888.982911274829,5806.845923467648,5718.051631965805,5622.945197306195,5406.994800995401,5188.812296721858,4969.290805776121,4749.495626580105,4530.517669236809,4313.392578871106,4099.054365500638,4003.3123895773474,3907.9429107678493,3813.644538252425,3720.9059199524063,3630.084060161345,3541.446768599941,3455.1966510654343,3371.485541106598,3290.423916858217,3212.087623548487,3136.523086018283,3063.7516147323245,2993.7731124361617,2926.569338524583,2862.1068133096137,2800.339408026147,2741.2106495678345,2684.6557617330423,2630.6034620813575,2578.977532757606,2529.698183547642,2482.6832253892503,2437.849072326861,2395.1115894021277,2354.3868032286805,2315.591491058171
E,0.0,0.03519581458977072,0.05718634991647621,0.07249754884253967,0.08461714323749359,0.09542598627611035,0.10595663523572701,0.11679555696506017,0.12829654738625218,0.14069415431576376,0.15416414801802775,0.16885596783544998,0.18491035580528334,0.20246917999110872,0.22168116102601906,0.2427054727102146,0.2657142642955518,0.29089466305291317,0.318450556713014,0.34860431822383803,0.3815985626518594,0.4176979875827517,0.45719132793538747,0.500393445134933,0.547647564543322,0.5993276714819747,0.6558410737835199,0.7176311368452424,0.7851801952018891,0.8590126424207135,0.9396981984554035,1.0278553503201624,1.1241549579144805,1.2293240118962356,1.3441495245123642,1.4694825270904621,1.6062421393009032,1.7554196651416,1.9180826586998538,2.0953788889387357,2.288540116887927,2.498885580572518,2.7278250627211866,2.9768613937665194,3.247592217999332,3.5417108242210373,3.8610058142909334,4.20735935425521,4.58274372421729,4.989215856041473,5.428909524030076,5.904024834954291,6.621225940576335,7.557101800989348,8.716491519301588,10.124984824992106,11.82522497001268,13.875857600561613,16.352354069069875,19.349228318888557,22.983362919777377,27.39827218740335,32.769167965576216,39.30866052673016,47.272820898767144,56.96714558097385,67.52932729212256,79.33204688155067,92.56529341392755,107.31573287784273,123.59348125344178,141.3382223866208,160.4189663237226,180.6342298135018,201.71590814165762,223.33812481257377,245.13098031689438,266.69812246880826,287.6364211780968,304.52533837293686,317.6865671908848,327.173115698953,332.9964778633127,335.2199644384805,333.9895280602616,329.5346477282576,326.0437343532146,322.528988674005,318.50891246039225,313.77810057587396,308.2819639964186,302.04749432831204,295.1443579445952,287.6626767208356,279.70016887710483,271.35465755540565,262.71973333192784,253.8823173297813,244.92139768646706,235.90750518151052,226.9026604381678,217.960622234362,209.12732481027254,200.4414283731014,191.93493048290233,183.63380179088995,175.55862060115493,167.7251886200459,160.1451160448874,152.82636844190506,145.77377106948634
I,0.08614955233155659,0.07925758560642401,0.07870463740216889,0.0818120869556547,0.08718874064092537,0.09412822905917845,0.10228998315242904,0.11153047491234733,0.12181409820435321,0.1331662742026028,0.14564895983754206,0.1593480594514189,0.17436717910200833,0.1908247802248591,0.20885317636836223,0.2285985518727672,0.25022157114340854,0.27389835395091555,0.2998217020130385,0.3282025205575597,0.35927140978224326,0.39328041790583473,0.430504956613624,0.471245884720321,0.5158317686870986,0.5646213302241645,0.6180060920911996,0.6764132336241464,0.7403086675767172,0.8102003495985884,0.8866418310629582,0.9702360649571588,1.0616394730923386,1.1615662808843499,1.2707931233032255,1.3901639221615276,1.5205950305739577,1.6630806350165872,1.8186983987720513,1.988615322479912,2.174093787819189,2.3764977388239434,2.597298941761187,2.838083248677643,3.100556771460309,3.3865518524014835,3.6980326937123307,4.03710048217054,4.405997816208624,4.807112211489712,5.242978427807647,5.716279325656379,6.229844925996174,6.820263060667543,7.517344781756151,8.349312006835854,9.346336918875853,10.543190255854283,11.98150488777057,13.711993694285365,15.796854560458561,18.312529911819286,21.352946521335703,25.033329157775277,29.49464660807667,34.90869891737335,41.48377849792734,49.26971505343809,58.37363619704254,68.9253414619799,81.05849792093807,94.89774276622461,110.54782371777945,128.08356845900374,147.5406862000751,168.90794180767483,192.12141126162845,217.06145754644248,243.55283776843672,271.36803705724583,299.7352625077453,327.99736444913873,355.55848194241327,381.8723130290284,406.44667085383674,428.85274422994536,448.733762803958,466.4502474378235,482.17144188497986,495.9738719869809,507.89416433782037,517.9570386888154,526.1896757571428,532.628537861383,537.3219901315549,540.3305974399553,541.7261656749625,541.5901464489324,540.0117687035295,537.0861120091987,532.9122477720321,527.5915204618977,521.2260071750516,513.9171723434059,505.7647205930579,496.865641911519,487.31343774350734,477.1975133475323,466.6027200188695,455.6090301477178,444.2913282022713
A,0.0710177532171747,0.06610237933137794,0.0662982979194328,0.0694616549036985,0.07448162486620308,0.08079705713700495,0.088140605314515,0.09640339858848873,0.10556360187996358,0.1156488513455331,0.12671666524431974,0.13884440791638036,0.15212434679590886,0.1666614419272373,0.1825726201094177,0.19998687555985561,0.2190458517014036,0.2399047245985319,0.26273329671249257,0.28771725657862957,0.31505958510235715,0.3449821026831983,0.37772715873875123,0.4135594692822798,0.45276811052013016,0.4956686777678359,0.5426056197411466,0.5939547586580807,0.6501260066754384,0.7115662889994747,0.7787626835391778,0.8522457861705409,0.9325933094915195,1.02043392129455,1.1164513267763887,1.221388595638903,1.3360527315898656,1.4613194771955353,1.5981383414180201,1.747537830327707,1.910630853240281,2.0886202667064935,2.282804507194901,2.4945832497711407,2.7254630144236307,2.9770626237736955,3.2511183956412824,3.5494889312848628,3.874159335157491,4.227244674906019,4.610992461432957,5.027783898686861,5.480133622237529,5.998397252949318,6.607655838948499,7.331910466328624,8.196969925576738,9.232637340094534,10.474602961811268,11.966317566879274,13.761036704466633,15.92417432788418,18.536071424143103,21.69525972608644,25.522272336310486,30.164012403626394,35.7986279954309,42.475044092072345,50.28931937917306,59.35661858847163,69.79588380932117,81.71919605978125,95.22270250694864,110.37813888468796,127.22496314143737,145.76355840342856,165.9501060307357,187.69367728501925,210.85590809681875,235.25336342102227,260.2516221911578,285.3037818837501,309.907978591126,333.59864217064205,355.95100842636384,376.58949758348325,395.19563275967903,412.04075358187896,427.24351501984023,440.84908848058865,452.87167454683834,463.3170909391685,472.194411649468,479.52152648047996,485.32730378654213,489.65186035887075,492.5457971070271,494.0688996591363,494.288598557685,493.27836474800426,491.11614503730533,487.88289868353263,483.66126893234514,478.53440578207613,472.5849448544933,465.89413981969085,458.54114104830285,450.6024102106639,442.1512588634115,433.25749828564284,423.98718768488703
IH,0.0,0.0034459846318703117,0.006569266842721832,0.009627811123956154,0.012768916900819507,0.016082225779843543,0.019627901330726356,0.023451663364978025,0.027592866681739492,0.03208890480221143,0.03697767782719741,0.04229904695569936,0.04809576562115269,0.054414148093437864,0.06130461510362421,0.0688221918925483,0.07702700021023426,0.08598476797248794,0.09576737097480736,0.10645341627743034,0.11812887449212865,0.13088776709932712,0.14483291450825608,0.1600767505270317,0.17674220906513832,0.1949636891568091,0.21488810471997266,0.23667602582239355,0.2605029185953689,0.2865604913014424,0.31505815441304325,0.3462246028802501,0.3803095290428302,0.41758547485656544,0.4583498322356532,0.5029270003367571,0.5516707084966612,0.6049665132498935,0.6632344773548344,0.7269320380000872,0.7965570702937882,0.8726511506963398,0.9558030231734836,1.0466522684459096,1.1458931737107199,1.2542787965196796,1.3726252120249844,1.5018159274482594,1.6428064412962309,1.7966289174454753,1.9643969356682276,2.14731027040908,2.3466596386137906,2.5638313451603314,2.801656291905846,3.0641191934761927,3.356279267029258,3.684333580378117,4.055785467334859,4.479701188023287,4.967051802002569,5.531146576126076,6.18817085964565,6.957846211902233,7.86423406802928,8.936706278943218,10.211105897196687,11.731118567392585,13.541826993974258,15.691983795157721,18.23486830114108,21.228379484754168,24.734611726812968,28.81900198653652,33.54908738672545,38.992911815065874,45.217141233745124,52.28497492545338,60.25396427787812,69.17386561752754,79.08465569971935,89.99489402216616,101.8867372743661,114.71875117866293,128.42821477081668,142.93357548165162,158.13724113978196,173.92868048182302,190.21329138764932,206.90453242298076,223.92010412489185,241.18029514523252,258.6074706594243,276.1261424691418,293.6633109740035,311.1489073252299,328.5162414229625,345.7024054511802,362.6486080942902,379.30042945719117,395.6079954386464,411.52607537339566,427.01410959092715,442.036174980645,456.5608972152616,470.56131828628776,484.0147276537809,496.9024647440154,509.20969983649445,520.9251996298606,532.0410830091863
IN,0.0034459820932622636,0.006700446041037891,0.009498357222682236,0.012118650317930782,0.014717612758648057,0.017387198208836233,0.020185995026448657,0.02315571262837005,0.026330001217222558,0.029739216565134768,0.033413044201418225,0.037381998093059435,0.04167833249891925,0.04633665331774914,0.051394381605666825,0.056892151202016614,0.06287418500344567,0.06938867469663786,0.07648817839856178,0.08423004526024773,0.09267687333477838,0.1018970056566422,0.11196506887240959,0.12296255855362954,0.13497847532617094,0.1481100160659376,0.16246332458394186,0.17815430642239724,0.19530951258777146,0.21406709724206302,0.23457785454737556,0.25700633999864325,0.2815320816714118,0.3083508868402084,0.3376762493699148,0.3697408631262032,0.40479824636634343,0.4431244816292501,0.48502007500962674,0.5308119378366073,0.5808554926381994,0.6355369038093546,0.6952754315583057,0.7605259054221997,0.8317813108534484,0.9095754790131938,0.9944858658960987,1.0871364021796177,1.1882003896724413,1.2984034138698848,1.4185262348605436,1.5494076106403634,1.6919469977775043,1.847107064372378,2.0172604893708783,2.205840526874624,2.417218496929244,2.6567296610317994,2.93080359113368,3.247177836175701,3.6151884287342573,4.0461404459417905,4.5537683570598935,5.15480037848744,5.869644009414035,6.723211308194439,7.745901791747599,8.974757152485317,10.4467535962429,12.201097398219295,14.280007838699285,16.72870445014945,19.594879076292056,22.927762888994682,26.77684403521156,31.190288616090676,36.213136388880116,41.88536696499336,48.23995251909438,55.30102300790655,63.08226671714111,71.56573945927676,80.7082083482292,90.44500882448384,100.6932181273961,111.35483463960324,122.32015095486922,133.47128608676584,144.71133138224735,155.95553385307676,167.12691188115002,178.15422733735454,188.97119010064327,199.51628150007798,209.73286039489685,219.56936820734686,228.9795344375926,237.92253240762744,246.36306253768515,254.27135625859225,261.6231026386616,268.39930473673473,274.58607518784976,280.1743815321962,285.1597518863524,289.541951086842,293.32463663942417,296.51500283360144,299.1234203305217,301.16307747050547,302.6496285180346
D,62.0,62.0,62.000012563702604,62.00003651456826,62.00007161656917,62.00011817071601,62.00017680484341,62.00024836613618,62.00033386846878,62.00043446919921,62.00055146201838,62.00068627879701,62.00084049673564,62.00101584890938,62.00121423725038,62.001437747519525,62.00168866609404,62.00196949854881,62.00228299009589,62.00263214799902,62.00302026611514,62.00345095174113,62.00392815496642,62.00445620075299,62.005039823984845,62.00568420775026,62.006395025142446,62.00717848488754,62.00804138113348,62.00899114775954,62.010035917593406,62.011184586951664,62.012446885948954,62.0138334550523,62.01535592838842,62.01702702434413,62.01886064403191,62.02087197822473,62.02307762339471,62.025495707519205,62.02814602634413,62.03105019081642,62.034231786414615,62.037716545116695,62.04153253074562,62.04571033842348,62.050283308842104,62.055287758018686,62.06076322314613,62.06675272506581,62.07330304778156,62.08046503529356,62.08829390585522,62.096849583540056,62.106197046745436,62.116411595043296,62.12758305586188,62.13981970201052,62.15325240016515,62.168039373378654,62.18437189934811,62.20248125511602,62.222647241931604,62.24520867114898,62.27057625688242,62.299248438743426,62.33183074306597,62.36905937623657,62.4118298179716,62.46120191485259,62.51841326045124,62.584895699251895,62.662292169389495,62.752471998672,62.85754309127463,62.97985958471847,63.12202369748271,63.286880705231155,63.477506301658295,63.697186006849826,63.94938674729797,64.2377212005991,64.5658332513906,64.93730172945017,65.35555439947609,65.8237903520354,66.34491134548526,66.92146332724661,67.55558925921665,68.24908719377314,69.00343966219917,69.81982914047077,70.69914748525498,71.64200350469945,72.64873078480915,73.71939676261638,74.85381341139725,76.05154955923976,77.31194467885847,78.63412389592818,80.01701392682973,81.45935965214295,82.95974104613275,84.51659020671151,86.1282082598558,87.79278194399846,89.5083997114691,91.27306721432382,93.0847220701021,94.9412478287204,96.84048708464336
R,0.0,0.0051068920312833934,0.01008890870139875,0.01527121852614044,0.020848688843163717,0.026949462101362367,0.03366884859959336,0.041087512521349366,0.04928135803284892,0.058327041755287315,0.06830519412477412,0.07930245544716379,0.09141291516429495,0.10473926898943864,0.11939386371087903,0.1354997229739026,0.1531916071094811,0.17261713906263165,0.19393801766737997,0.21733133414102399,0.24299100519698863,0.2711293352619859,0.3019787202186416,0.335793505501874,0.37285201205487484,0.41345874448990183,0.4579467967397828,0.5066804714920199,0.5600581307442757,0.6185152958879991,0.6825280167967297,0.7526165304459389,0.8293492305972039,0.9133469710110478,1.0052877254736705,1.1059116285892818,1.2160264217494128,1.336513328881031,1.4683333864228627,1.6125342513977983,1.7702575103385016,1.942746510068235,2.131354728808258,2.3375547026292045,2.5629475177220398,2.8092728731539087,3.0784197115002336,3.3724374058000017,3.6935474804524158,4.04415583074558,4.426865390475802,4.84448917939404,5.300063641854223,5.796862164941264,6.3403265142640794,6.93779457377822,7.598496079996069,8.333740619328102,9.157259040795738,10.08568480509856,11.139179439199319,12.342219044424132,13.724568635996146,15.322479072184402,17.18014784234357,19.35148973768566,21.90226546459341,24.9126138986805,28.46855570664324,32.66526595712845,37.60855715367725,43.41535339975668,50.213428463431185,58.14048230106578,67.34257043857117,77.97190520258158,90.18408281461049,104.13483650763985,119.97645998450398,137.85407832864738,157.90195911603305,180.21162006421645,204.83581426266414,231.789977940562,261.053315455732,292.57039600219673,326.25353146968314,361.98591775255255,399.66187424778826,439.17760091990124,480.42684844526076,523.2992489497321,567.6800808913938,613.4507901996852,660.4898870971218,708.6740019268127,757.8789754763261,807.9809123024611,858.8571568114216,910.3871707344813,962.45330231673,1014.9414448846196,1067.7415871188987,1120.748260295026,1173.8608895449906,1226.9840572076496,1280.0276868076303,1332.907156297476,1385.5433490281052,1437.862650561487,1489.7968989678398
G,4994.0,4994.0,4994.00578766098,4994.015191483844,4994.027113106897,4994.041027697135,4994.056719712327,4994.074143405754,4994.093349470325,4994.114446777769,4994.137582769265,4994.162933789958,4994.19070075906,4994.221107739649,4994.254402123834,4994.290855759602,4994.330766669758,4994.374461185631,4994.42229641008,4994.474662973621,4994.531988074162,4994.594738805655,4994.663425789384,4994.738607126706,4994.820892695337,4994.910948813569,4995.009503298492,4995.117350945603,4995.235359458177,4995.36447585542,4995.505733388727,4995.660258995234,4995.829281317156,4996.014139314078,4996.216291493197,4996.437325779367,4996.678970042517,4996.943103294214,4997.231767557778,4997.54718040698,4997.891748156718,4998.268079674813,4998.679000766885,4999.1275690656785,4999.617089331987,5000.15112904601,5000.733534135306,5001.368444648233,5002.060310139807,5002.813904490219,5003.634339825109,5004.52707915168,5005.497947266516,5006.586753178845,5007.829456145763,5009.262811174901,5010.927781293521,5012.872341859422,5015.154112022487,5017.843121573088,5021.024942338861,5024.804366520552,5029.309786062638,5034.698405050001,5041.162389570593,5048.936014477668,5058.303791000283,5069.408431058049,5082.453930857781,5097.675528738605,5115.322714545576,5135.646641613125,5158.888544782373,5185.268118678583,5214.971925670671,5248.142440521926,5284.8685502977805,5325.1783151448535,5369.034618366812,5416.334051853978,5466.410728265582,5518.651660040031,5572.452576354484,5627.211096473896,5682.335250593832,5737.257069615196,5791.446320364803,5845.061519246027,5898.098747233311,5950.474906894476,6002.0731236193615,6052.767546083731,6102.436761510039,6150.970813180321,6198.2745641746105,6244.268946527047,6288.890978479418,6332.093068470676,6373.8419184004715,6414.117219115195,6452.910259665326,6490.222527880522,6526.064351777407,6560.45361287897,6593.414550059925,6624.97666392943,6655.173725755706,6684.042890739099,6711.623912540034,6737.958454019987,6763.089487911996
H,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3531.0478997928867,3278.8302172352564,3026.612534677626,2774.394852119996,2522.1771695623656,2269.9594870047354,2017.7418044471049,1765.5241218894744,1513.3064393318439,1261.0887567742134,1008.871074216583,756.6533916589526,504.43570910132223,252.21802654369182,0.0003439860614093959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
