series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,361437.02600027615,360361.8858309902,359515.6985994439,358811.10818565736,358196.8541863913,357642.35821542033,357129.17354501475,356646.07366071356,356186.168649117,355745.18836142024,355320.4509116338,354910.23917979375,354513.42240575014,354129.22592076135,353757.0908104877,353396.58835016354,353047.3678794874,352709.1251299811,352381.58307667304,352064.48046339967,351757.5650282021,351460.5896030429,351173.3099652847,350895.48375004693,350626.8699980146,350367.22907678003,350116.32281466725,349873.9147483035,349639.77042374323,349413.6577148101,349195.34713709913,348984.6121452315,348781.2294066092,348584.9790484013,348395.6448766248,348213.01456747146,348036.8798317941,347867.0365540993,347703.2849076206,347545.42944714904,347393.27918131644,347246.6476260017,347105.35284047393,346969.2174478132,346838.0686410668,478206.15929582657,609523.2908367201,740792.6329308507,872014.3185805563,1003184.4801393739,1134294.9642684232,1265333.1276638217,1396281.373068558,1527116.2380679266,1657806.9136417697,1788313.0682970472,1918581.8082498019,2048543.52902034,2178106.3162835557,2209646.0525801713,2206652.5659622895,2203024.4118093243,2198615.4323547124,2193267.9409957565,2186806.86167331,2179038.7620133427,2169754.0351787983,2158731.868659953,2145747.9969457765,2130585.118888145,2113045.4914704063,2092964.7346309416,2070225.4479098616,2044769.0046670358,2016603.9672986218,1985809.9775419356,1952536.6284538426,1916997.550114416,1879419.6473469394,1840154.5149462179,1799539.494338692,1757925.8957086145,1715666.0383092545,1673102.0251995218,1630556.6397383595,1588367.408057149,1546757.6276533299,1505959.6191401994,1466171.1075293506,1427555.6367033368,1390244.010503508,1354336.4788497593,1319905.4160319956,1286998.276897746,1255640.657950229,1225839.330106734,1197585.145662438,1170855.7527142756,1145618.0755920592,1121830.5399026836,1099445.0361014314,1078408.6266959254,1058665.0099453686,1040155.7579047886,1022821.3494885766,1006602.0204199845,991438.4519395862,977272.3193295843,964046.7199598473,951706.4988967272,940198.4883017063
E,0.0,1075.1401692859629,1705.8632955981536,2068.5891608003158,2268.286318678053,2368.205020534901,2406.7881549384497,2407.554227234097,2384.9719016509557,2347.9904765608917,2302.1774980561986,2251.0199788168034,2196.719754858106,2140.6813105306014,2083.8119092610905,2026.706804235471,1969.7638921067596,1913.2549369891215,1857.3699964411123,1802.2452706153192,1747.9806701869331,1694.650989251315,1642.3130873488667,1591.0105712929853,1540.7769032820033,1491.6375125953446,1443.6112716108523,1396.7115622729943,1350.9470752824288,1306.3224319056937,1262.8386855102335,1220.4937393366233,1179.2827040469128,1139.1982103867597,1100.2306870937168,1062.3686108651088,1025.5987330714947,989.9062865292938,955.2751747539133,921.688145528994,889.1269502381256,857.5724901425618,827.0049506073917,797.4039241506408,768.7485230964683,741.0174825430752,769.8030115353264,840.6092062281579,944.8818877754657,1079.7818314327071,1247.3245013968385,1453.6114165651927,1708.4752704397308,2025.6433874262539,2423.4386647680103,2926.034461468523,3565.3219510562003,4383.5118331931635,5436.665392575942,6799.427404228137,8430.270728138847,10368.951460604385,12699.935029192033,15502.288353342266,18856.622355917552,22845.749394710434,27552.060230711882,33052.63972810778,39412.57751432638,46676.95452838135,54862.25910541291,63948.31227091551,73871.99942804438,84524.08067852356,95750.01937459092,107355.16953615556,119113.94200701381,130781.91993680721,142109.4800577177,152854.16338699745,162795.4402683898,171743.00766478313,179543.69126341434,186085.22993515333,191297.18000920495,195149.38652663975,197650.13802785217,198837.95304606078,198778.22638662416,197557.4284990686,195277.44071224512,192050.28068814045,187993.39275254172,183225.60417363356,177863.78691453935,172020.21672901468,165800.5873037021,159302.61491733638,152615.1567268038,145817.76114051967,138980.56977239973,132164.49541215444,125421.6078340552,118795.66794245924,112322.75985228854,106031.97941108709,99946.14597844002,94082.51174497108,88453.44937811262,83067.104297036,77928.00243820788
I,2353.713759518531,1738.465416359053,1359.2531836353894,1123.288442593314,974.3788054255926,878.363549379814,814.4361739337793,769.918232139864,737.0906371850442,711.2642132697453,689.601575301687,670.3965037745302,652.632716448738,635.7136154547563,619.2968037870394,603.1928545203241,587.3034979781116,571.5839872635997,556.0202838498831,540.615314639198,525.3807695936893,510.3322724195028,495.486595229514,480.8601037105032,466.467936241458,452.32361501980574,438.438906564853,424.82382194244485,411.4866915376794,398.4342761912326,385.67189278509534,373.2035420866847,361.0320324012176,349.1590959149712,337.5854964998948,326.31112878025976,315.3351087907817,304.65585679735307,294.27117293403995,284.17830630852444,274.3740181861108,264.8546398041148,255.61612530700864,246.65410023464142,237.96390594402556,229.54064030036795,221.37919493499365,217.3648538528929,219.35322024908697,228.1164288479182,244.02615915252372,267.4979311789297,299.26549338475434,340.55866074124566,393.2461017641879,459.98983747459636,544.4471432514495,651.5503087656998,787.8952777523464,962.2757212359479,1186.4086060877605,1466.043037100444,1808.2065455983586,2223.998640477113,2727.1487520327782,3333.4367980508,4060.3112027104894,4926.423264233973,5950.941546020009,7152.577517012353,8548.305288513908,10151.815501156405,11971.808476487648,14010.295018166273,16261.118234774975,18708.919713244497,21328.7388245634,24086.358004479145,26939.405340872967,29839.121852534732,32732.532226259784,35565.08105085396,38283.1604061389,40836.459603236326,43179.965464089684,45275.50299871537,47092.76641123746,48609.95152109309,49813.64828144949,50698.52677692924,51266.699506080644,51526.85407061044,51493.243584314914,51184.61151004661,50623.11465251625,49833.29414173549,48841.130646546415,47673.20762594668,46355.99568842024,44915.26233400903,43375.604532216734,41760.096622585916,40090.042702449384,38384.82072919002,36661.80474049663,34936.351624207426,33221.83951329626,31529.745938474225,29869.75517385261,28249.885628564032,26676.629570000776
A,4388.97484586668,3681.448327561752,3228.229577996778,2930.3491718489504,2727.805826405327,2583.9638044745006,2476.344162622542,2391.106510559809,2319.7095628568904,2256.876354325455,2199.3480196887217,2145.1173196797604,2092.955469223361,2042.1189967496648,1992.1674955222754,1942.8499061112218,1894.0332912442075,1845.6580489673797,1797.709636766208,1750.2006492239962,1703.1594177449138,1656.6227397772661,1610.6312376155686,1565.226402274837,1520.4487246468295,1476.3365333732568,1432.9252955281925,1390.2472225788406,1348.3310789869774,1307.2021259181352,1266.88215513945,1227.389582877597,1188.7395830441694,1150.9442456261324,1114.012750329251,1077.951548482039,1042.7645482237965,1008.453299413814,975.0171757054355,942.4535519566266,910.7579756828829,879.9243316556208,849.9449990481561,820.8110007585333,792.5121447123034,765.0371570819947,738.3738074629143,719.7637697106045,713.3903484915579,721.6465953981,746.1694159028498,788.5947521796478,851.0907590084049,936.7587351809675,1049.9907452581092,1196.8610277420257,1385.6180047882413,1627.34057106962,1936.8279752764427,2333.8068700213626,2844.5611802109242,3485.7205573233314,4276.419994917771,5243.7282290702715,6420.664547617658,7845.440942256164,9560.91219092707,11613.77241876188,14053.244027059069,16929.105358159883,20288.99096689768,24175.007342106965,28619.840857103438,33642.67544624491,39245.3522845799,45409.256631481,52093.383223888566,59233.90925201138,66745.41662280163,74523.69406608153,82449.7012683263,90394.82004740092,98226.34138071326,105812.96826551459,113029.92516619229,119763.36175246298,125913.84730809185,131399.06111637983,136154.97769950717,140136.42350229603,143316.7871510262,145687.03745876197,147254.2116757271,148039.5330715594,148076.30447521078,147407.70591750887,146084.6028030735,144163.44836418668,141704.34223003587,138769.28694665403,135420.66690207043,131719.95966698695,127726.678290315,123497.53443066173,119085.80607415501,114540.88963367074,109908.0140689137,105228.09394260576,100537.69869456955,95869.1165715086,91250.49333939193
IH,0.0,156.61009209004564,191.90005667914687,183.844971052078,164.22381949306987,144.76552688267174,128.90595960196535,116.93304964278158,108.14335105924641,101.68086648515975,96.81694954852895,93.00815299366066,89.87643661403885,87.1701756325162,84.72720032771426,82.44579541853032,80.26384892288434,78.14459038939933,76.06714514874619,74.02041876076589,71.99920596406412,70.00175101578047,68.02823890255289,66.07987563662935,64.1583371527081,62.26544644947664,60.40299056966565,58.57262223678969,56.77581199363006,55.013829881726984,53.28774391894402,51.5984277146047,49.94657268243724,48.33270221250807,46.757186310326745,45.220255895197894,43.72201635131638,42.262460155667426,40.84147853509906,39.45887217287499,38.114361017987136,36.80759326375605,35.538153564817236,34.3055705587538,33.10932375339169,31.94884983477315,30.82354844492113,29.73278747310438,28.93477610935105,28.67865990757257,29.13708164713384,30.418802555515704,32.604407752461896,35.78194227385511,40.076089126121886,45.67187183891196,52.836471202191866,61.94327818525408,73.50221575274009,88.20035653420098,106.95722857656037,131.00001185400822,161.30854385196304,198.8273359845656,244.75464433581539,300.5872186749047,368.10352914729464,449.3301861373436,546.4946137829068,661.9563960391449,798.1090292697579,957.246916732397,1141.3977562415898,1352.127388690879,1590.3317514017085,1856.037261202439,2148.2348664727374,2464.7726139258816,2802.326331606158,3156.458722732702,3521.7657187244877,3892.092149074346,4260.812122868305,4621.133678520257,4966.403412004869,5290.387842399792,5587.512873991627,5853.048950453946,6083.243254848457,6275.37690393837,6427.771893536147,6539.752046927861,6611.566298613967,6644.284178506804,6639.673402232764,6600.068629211601,6528.239114991947,6427.26142984131,6300.401831798659,6151.0113970718485,5982.435702479421,5797.939764008186,5600.648074273745,5393.498941397162,5179.2118912756,4960.266625985757,4738.891901881914,4517.0626709236,4296.503889344804,4078.6995139578275,3864.9053572474804
IN,458.6382510694323,865.8477261321973,1107.5097049270676,1248.1809840700935,1327.098834189655,1368.1512123742914,1385.8909667864875,1389.18478375909,1383.434608189007,1371.9325250073623,1356.6877456607542,1338.9312962757326,1319.4236942549298,1298.6421474286278,1276.8941011410348,1254.3858072234414,1231.2634785241673,1207.6377839513527,1183.5982634473519,1159.2216810058521,1134.5767631227927,1109.726807616215,1084.7310588823088,1059.645386195762,1034.5225829793333,1009.4124725604689,984.3619262941622,959.4148524717103,934.6121865169498,909.9918968518308,885.5890117599847,861.435667709277,837.5611771671316,813.9921129060406,790.7524055259213,767.8634510474498,745.3442257444191,723.2114057649233,701.479489477204,680.1609208348316,659.2662123741981,638.8040667317166,618.7814958004099,599.2039368398343,580.0753650144593,561.3984019686158,543.1744201554851,525.4036427272758,508.8433436700452,494.5274588656407,483.5244412720394,476.8553587845365,475.50775033815995,480.5013947591856,492.98135775825125,514.3284283174036,546.2872766897907,591.1195836214945,651.7945118951092,732.233548893275,837.6319621283919,974.8855911064705,1151.2372746546955,1374.4870513360754,1653.7231330719392,1999.6899168953269,2425.0018232939447,2944.258724285939,3574.0576962740865,4332.8698591337825,5240.741164718838,6318.777268444273,7588.384892719916,9070.265667230935,10783.191692318831,12742.630369316366,14959.321985030881,17437.938718657635,20175.96129958441,23162.896476816295,26379.92660352894,29800.021498897997,33388.55145583105,37104.32402901971,40900.96242816519,44728.51911597409,48535.20867971126,52269.14728858695,55880.02033133081,59320.542111927876,62547.69067873235,65523.679923798896,68216.65367536529,70601.105233054,72658.04035572532,74374.91211022086,75745.36251439151,76768.80905211491,77449.91450732143,77797.97679966874,77826.27222411057,77551.38125480623,76992.5213399567,76170.90626373535,75109.14696748767,73830.70440308112,72359.40116180756,70718.99534765641,68932.81746233134,67023.4689247548,65012.57921986174
D,1501.0,1501.0,1503.2253411456659,1505.9521327992854,1508.5644662258612,1510.8979941469497,1512.9550306964256,1514.7867117330402,1516.4482644668747,1517.9849205375701,1519.4297483446203,1520.8054626332264,1522.1270560693645,1523.4041495807332,1524.6427886487597,1525.8467144145268,1527.0182227022974,1528.1587267600748,1529.2691173484716,1530.3499886108134,1531.4017770446842,1532.424845183837,1533.4195306139084,1534.3861735490902,1535.3251313403298,1536.236785152661,1537.1215420549022,1537.9798345087413,1538.8121184601366,1539.6188707506299,1540.400586268338,1541.1577750773092,1541.8909596550882,1542.600672303819,1543.2874527627237,1543.9518460285938,1544.5944003794543,1545.21566559078,1545.816191331148,1546.3965257235302,1546.95721405872,1547.4987976481436,1548.021812804253,1548.526789937676,1549.0142527612472,1549.4847175918997,1549.9386927421929,1550.376677993938,1550.7991641470092,1551.2103110083478,1551.6178186028021,1552.0318401118166,1552.4640741525816,1552.9273644114232,1553.4358056450064,1554.0052642852481,1554.6542358441454,1555.4050123221416,1556.2851913949169,1557.3296164560945,1558.5828938141406,1560.1026957528366,1561.9641320917785,1564.2562355890093,1567.0814599774556,1570.5592855336793,1574.830460504919,1580.0610041968628,1586.4457329065954,1594.21111337286,1603.6171406925787,1614.9578201970662,1628.5597593948394,1644.7783782375816,1663.9913463935904,1686.5890642955658,1712.9623077444498,1743.4875144863456,1778.510544223958,1818.3300220499511,1863.1815215705221,1913.2238276229784,1968.5282635406754,2029.072002481327,2094.735707656349,2165.3055011557085,2240.4789308185564,2319.8743397254266,2403.0428666269568,2489.4823248601188,2578.6518939634084,2669.986909981513,2762.9131008690965,2856.8597317997805,2951.2712653644703,3045.6172823968654,3139.400537925244,3232.163136538522,3323.490899155212,3413.0160583797488,3500.418463720868,3585.425503448384,3667.8109598691726,3747.3930125692636,3824.031592837104,3897.6252748914585,3968.1078681200806,4035.4448512824274,4099.62976609225,4160.680664919226,4218.636686323002
R,0.0,758.9552943115949,1527.6730973047584,2268.0398079094434,2972.1405999220124,3642.647533517369,4284.858863136431,4903.7956809486,5503.385882205828,6086.435139124431,6654.8404084965605,7209.834962763417,7752.195323512213,8282.39654059264,8800.72174755529,9307.336624643824,9802.338745765068,10285.789652428906,10757.735337056107,11218.21907047533,11667.289224871796,12105.003848424083,12531.433142853473,12946.6605940242,13350.783243073656,13743.911414799837,14126.168109440994,14497.688192415862,14858.617470209818,15209.111710421479,15549.335644249639,15879.461976697226,16199.670421124676,16510.146768979303,16811.0820015842,17102.671448160727,17385.11399237544,17658.611328379728,17923.367266373418,18179.5870870564,18427.476943856353,18667.243311483217,18899.092479124818,19123.23008643753,19339.860700382123,19549.187430894923,19751.411583357596,19946.732345828223,20136.51601297744,20323.0170284534,20509.115886201667,20698.162926713077,20893.94098758751,21100.73337781356,21323.481643755145,21568.02598098209,21841.432955833432,22152.427800281435,22511.96167888703,22933.95890012717,23436.306436421553,24042.16983460195,24778.781122648674,25677.75815611165,26776.42843140441,28119.05942820342,29758.030381573695,31754.931011990648,34181.52692152207,37120.49133742343,40665.77083175581,44922.43324717357,50005.8459178145,56040.05775353795,63155.313014986066,71484.7048800366,81160.07332911124,92307.34884288406,105041.62327537045,119462.27716713534,135648.5005165231,153655.48633621613,173511.59090315198,195216.58721291475,218741.07382213834,244027.01395331442,270989.3058627784,299518.23034531175,329482.6193980735,360733.46892545396,393107.8334087193,426432.8157998307,460529.4886283836,495216.6109514653,530314.0367319933,565645.7408309889,601042.4171647427,636343.6285075712,671399.508272217,706072.0311688248,740235.8820493824,773778.960827896,806602.5666015237,838621.3065230101,869762.7751406943,899967.0483549035,929186.0333157659,957382.7119223139,984530.3114236612,1010611.4312503439,1035617.1508350725
G,259563.0,259563.0,259638.2134436057,259757.55030446145,259902.2623323755,260060.94454887646,260226.61676525086,260394.98813703447,260563.4131008399,260730.25827577664,260894.5163458782,261055.56948328947,261213.0438006564,261366.71944418602,261516.47481341785,261662.25177720314,261804.0338464443,261941.83236764916,262075.67769909292,262205.6134948832,262331.6929372643,262453.9761979188,262572.52868089045,262687.41976793844,262798.72189141833,262906.50982459635,263010.8601196916,263111.85064917576,263209.56022167945,263304.0682538075,263395.4544854542,263483.798730204,263569.1806549587,263651.6795845773,263731.3743283887,263808.34302614647,263882.6630114697,263954.410691145,264023.6614388928,264090.4895023741,264154.96792233846,264217.1684629196,264277.161552163,264335.01623194444,264390.80011649587,264444.579358813,264496.41862426535,264550.2716352956,264609.07802625117,264675.1790078817,264750.71716765384,264837.97608860565,264939.6661969541,265059.1857834005,265200.8934593277,265370.4296487024,265575.12586808205,265824.54464078037,266131.20141864015,266511.5335256427,266987.20020076906,267576.95557416644,268302.33498813666,269190.7827221179,270275.27432994044,271594.4246534772,273192.64182814606,275120.09778931626,277432.35708836274,280189.53774341923,283454.91149411653,287292.9035524425,291766.52747244085,296934.381508359,302847.4218328226,309545.7937179129,317056.0256117241,325388.86445054103,334537.9585322422,344479.49329161824,355172.69249134784,366561.35232909257,378575.9559972347,391136.2710923075,404154.2117733616,417536.76418055996,431188.80490745255,445015.79038795177,458925.87169208244,472831.77470592165,486652.27451774804,500313.27351495984,513748.51049023843,526899.9402739753,539717.8304805964,552160.6247215363,564194.6210688055,575793.5115941613,586937.8242946016,597614.3033359078,607815.2578417162,617537.903823596,626783.7185613719,635557.821973422,643868.3953541252,651726.1443296829,659143.8099807897,666135.729759166,672717.4480258302,678905.374694917,684716.4895086106
H,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1874913.9321409361,1743419.5110216248,1611925.0899023134,1480430.668783002,1348936.2476636907,1217441.8265443793,1085947.405425068,954452.9843057566,822958.5631864453,691464.1420671339,559969.7209478226,428475.2998285112,296980.87870919984,165486.45758988845,33992.03647057706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
