series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,3216543.0620148997,3215324.503523735,3214279.7115765135,3213314.517266446,3212372.2703849063,3211418.1894778265,3210430.2280705636,3209393.7261891356,3208298.2714607124,3207135.8538274453,3205899.779067542,3204584.0280572386,3203182.8782436573,3201690.679663125,3200101.72234056,3198410.15803614,3196609.954660628,3194694.8707095273,3192658.442378198,3190493.979146967,3188194.5654664426,3185753.0672568763,3183162.1425715596,3180414.2561447253,3177501.6977558704,3174416.604457091,3171150.986764213,3167696.758927289,3164045.773383586,3160189.8594635376,3156120.866371441,3151830.710400571,3147311.4262686786,3142555.2223762386,3137554.5396979596,3132302.113919972,3126791.04033305,3121014.8408889356,3114967.5327253956,3108643.697369464,3102038.5497410954,3095148.0060048453,3087968.7492589834,3080498.292012978,3072735.0343886423,3064678.316989756,3338014.115225504,3610126.6655175714,3880946.298593761,4150353.2739977953,4418179.190761225,4684207.1294987425,4948170.09220349,5209747.69290132,5468561.253356058,5724167.563054404,5976051.632558795,6223618.841942867,6466186.982401982,6702978.817281742,6651430.297790266,6595147.977877387,6533627.754666092,6466589.834393255,6393911.46510034,6315596.15665267,6231758.748874779,6142616.188028618,6048479.141712856,5949742.326879353,5846872.89914249,5740397.046814511,5630885.338783611,5518937.541469253,5405167.633993328,5290189.6703557735,5174605.004828312,5058991.243093322,4943893.12903488,4829815.440037494,4717217.850291207,4606511.635119918,4498058.029402136,4392168.017151361,4289103.313464427,4189078.3000844135,4092262.6875950578,3998784.6970038717,3908734.577988426,3822168.3078072607,3739111.341856152,3659562.3126758146,3583496.5979529396,3510869.6991506796,3441620.390603595,3375673.614183552,3312943.1071105073,3253333.76036995,3196743.7127895826,3143066.191429661,3092191.112864225,3044006.4624698283,2998399.4702654425,2955257.602402803,2914469.3872990496,2875925.0948092667,2839517.285901052,2805141.2491343273,2772695.338960496,2742081.229507689,2713204.096167406
E,0.0,1218.5584911648343,2019.618337192147,2580.855164297419,3006.8878003720492,3359.5408014853315,3675.5377979054133,3976.8705783043492,4276.884604246259,4583.853706552583,4903.080975290043,5238.133695690993,5591.569065327209,5965.360210234356,6361.145609612362,6780.374284128198,7224.389275467873,7694.474409754037,8191.8790265308135,8717.829291548089,9273.531146596011,9860.167855269927,10478.89387559451,11130.826073719169,11817.03287859835,12538.521742907262,13296.22514818867,14090.98532983629,14923.537874848262,15794.494347341606,16704.324114505427,17653.33557325535,18641.657011483345,19669.21737463155,20735.727246009283,21840.660385688578,22983.236205894267,24162.4035885074,25376.8264706089,26624.871634964868,27904.599142215262,29213.755828751204,30549.772267697797,31909.76354937811,33290.534182008545,34688.5873437001,36100.13863433415,38452.6039761822,41627.45407698279,45579.93867160566,50322.9188093956,55915.20153134811,62453.910107170115,70070.12949373484,78927.0177237405,89219.63076863435,101175.7890639111,115057.37563225032,131161.48138522875,149820.80192751667,171402.65250559038,193401.57203325984,216238.24261441777,240024.893774588,264694.2654504858,290066.2888937883,315885.58216161915,341845.73753824685,367607.91264471615,392816.9898980848,417116.4425154004,440162.02234194777,461633.95604193234,481247.2327695831,498759.6359179396,513977.32137894497,526757.9168400049,537011.2754242002,544698.1429376728,549827.0831821584,552450.0502501237,552657.0054117924,550569.9566224613,546336.7590685367,540124.9633401928,532115.9404579359,522499.4553607234,511468.8063986143,499216.60034510033,485931.1918130914,471793.78320195817,456976.1562522928,441638.9883343619,425930.69487761124,409986.7328691933,393929.2980934967,377867.3497839542,361896.8997374185,346101.50794158276,330552.93275495863,315311.89014908526,300428.8830820807,285945.0684324228,271893.1348810199,258298.17055987095,245178.5041165661,232546.50704977865,220409.3487589796,208769.69875222468,197626.37291453252,186974.9227103766
I,665.4598468485302,502.6585512736852,416.3128040868378,375.16910637274134,360.96048482434344,363.03348688789106,375.19927536992293,393.88690755639976,417.06007575338054,443.58177815431253,472.8418668057165,504.5388619348721,538.5522635937682,574.8679149801735,613.5344302964335,654.6377794373733,698.2864544277325,744.6027740163828,793.7177211568578,845.7677867676921,900.8929256865977,959.2351013550559,1020.9371127696216,1086.1415242387166,1154.9895928728204,1227.620132473327,1304.168278469148,1384.7641343521627,1469.5312901234465,1558.585210180247,1652.0314933610885,1749.9640123918873,1852.4629442234584,1959.5927069700451,2071.399823452707,2187.910735727931,2309.129599382261,2435.0360906919477,2565.583263841088,2700.6954990949184,2840.266585952012,2984.1579876570017,3132.1973348524443,3284.177196405091,3439.8541744020695,3598.9483678551514,3761.143245700795,3926.0859642197265,4121.38598405786,4364.335537632911,4666.651312779521,5037.570143973855,5485.836726086038,6020.975711214601,6654.121706164323,7398.589448051871,8270.299225194192,9288.12426673722,10474.192163802643,11854.146974643638,13457.359134154136,15317.054401737678,17383.021647412028,19629.978366868934,22042.20064979106,24605.789676534045,27304.834450360406,30119.640325242282,33026.12093900013,35995.897712705104,38996.86072413252,41994.03920421995,44950.67049562547,47829.37408548029,50593.347640784195,53207.511855791425,55639.54288805796,57860.74537207578,59846.73450734144,61577.9112176522,63039.72864713636,64222.76037282075,65122.59012539121,65739.54933053776,66078.33251816312,66147.52190999418,65959.05172621793,65527.64043828932,64870.215822503844,64005.35367784591,62952.74683565979,61732.71690444581,60365.7772795261,58872.252451641514,57271.95565582493,55583.92444657612,53826.21186291567,52015.72942480035,50168.137229761254,48297.775834245396,46417.63434274348,44539.34912481593,42673.22777504747,40828.293269352405,39012.34370577903,37232.023509553284,35492.90249863685,33799.55972266086,32155.66948615229,30564.087433370827,29026.934998273886
A,3762.7945756234576,3301.699695117076,3104.212674705007,3067.0731914081557,3129.8720787719044,3257.383658906481,3429.2064703794663,3633.6805712019996,3864.312538501128,4117.672838929002,4392.158408438773,4687.263931471209,5003.152306520142,5340.401089281501,5699.852412091939,6082.523686305814,6489.553923317262,6922.17082153862,7381.669834424365,7869.400006425497,8386.753467323795,8935.156715287108,9516.062550984298,10130.9419586951,10781.275489001207,11468.543854186772,12194.217544952775,12959.74534095286,13766.541633126988,14615.972511852931,15509.34060691213,16447.868696330595,17432.682133101294,18464.790172541692,19545.066318912104,20674.227847802806,21852.81470022711,23081.167984577613,24359.408362602568,25687.414634109104,27064.802870790943,28490.906480872014,29964.757611544806,31485.07031385552,33050.22590322019,34658.26094678861,36306.858295304504,37993.341551182195,39872.985013723875,42061.890459709735,44654.32677888159,47735.196952031154,51388.9946916645,55706.366783814155,60789.1311831927,66754.35920166419,73737.92769700334,81897.78324834179,91417.02696556745,102506.81593890485,115408.97658376071,130398.13032649826,147289.420547923,165992.14178983448,186445.77811350234,208585.79777952703,232324.9724892127,257543.3584741617,284083.6331756978,311750.1630974556,340310.93233016756,369501.7613659047,399032.3353068338,428593.5662270064,457865.80182916974,486527.3932767351,514263.1611947767,540772.3509961945,565775.7414458855,589021.6556242508,610290.7127330246,629399.2450837336,646201.381457774,660589.8621307414,672495.7003699283,681886.8398533671,688765.9781045615,693167.7343598938,695155.3383998771,694817.0070579201,692262.1596001888,687617.6039846167,681023.8049149971,672631.3230477282,662597.4938005046,651083.394764858,638251.1332767205,624261.4705593565,609271.7861427063,593434.3759602503,576895.0695019746,559792.1454622449,542255.5212243159,524406.1890090909,506355.87032251956,488206.8602119404,470052.0335538602,451974.98693540326,434050.29147706425,416343.8340209931,398913.2263490429
IH,0.0,29.71757898417871,38.02345848842489,38.52093070187849,36.94431242352299,35.483428521312476,34.810297332232864,35.00077342917084,35.93514679081386,37.45973695485172,39.443218729196204,41.78951200451714,44.434794239797824,47.340232385122285,50.484840335991024,53.859789439090335,57.464291431745956,61.302778105992545,65.38303474904106,69.71499126363202,74.30994759867248,79.18007648613822,84.33809781595599,89.79705557822336,95.57015315593773,101.67061910026041,108.11158604259674,114.9059720732573,122.06635812101905,129.60485752096213,137.53297565746863,145.8614586961695,154.60013121137328,163.75772312070222,173.34168684428562,183.3580060626433,193.81099788225566,204.70311064225402,216.03472001096992,227.80392642160592,240.0063572715946,252.634977646572,265.67991361148506,279.1282923213341,292.96410332557025,307.1680854574303,321.71764359879757,336.5867993819877,351.7461795257233,368.4133497934849,387.9987062503088,411.76472651384984,440.7856151027873,476.01491775243403,518.3777689821734,568.8563079784913,628.5599108089018,698.7809999469273,781.0398096505662,877.1213098529656,989.1062642840934,1119.3968832044782,1270.7360274455355,1442.3190474114394,1632.5951491118253,1840.0493155850163,2063.2667854461356,2300.7954869185323,2550.9948251938335,2811.929271478884,3081.3170322710803,3356.5281919857616,3634.622613377127,3912.4175393175738,4186.5754545262635,4453.703548896141,4710.45697575317,4953.63907920953,5180.292913542021,5387.779672181799,5573.841014664558,5736.643635560991,5874.8056709573675,5987.405614348892,6073.975269132933,6134.478879987464,6169.280964230487,6179.105528422981,6164.989338210797,6128.231749741675,6070.343349079385,5992.995319591357,5897.971099326727,5787.121528012751,5662.324337248081,5525.448522447121,5378.323860325582,5222.715605851716,5060.304218599439,4892.669828569701,4721.281052138397,4547.487705012263,4372.516925513593,4197.472212628714,4023.3348937093688,3850.9675616092322,3681.1190560383784,3514.4306053306327,3351.442789593769,3192.603031922589,3038.2733691415087
IN,133.0837165906663,259.9587438980509,348.356492739257,415.36218619850644,471.0136666475821,521.2273178055024,569.5129508560094,617.9789447979839,667.9211732027895,720.1678176030883,775.2810365245049,833.6747403631255,895.6832373408589,961.601140867082,1031.7064887115657,1106.274069722105,1185.583046070104,1269.9212533707305,1359.5875612183547,1454.893091157218,1556.1617466219234,1663.7303093710593,1777.9482403769168,1899.1772554090114,2027.7907063823297,2164.172777078571,2308.717489180872,2461.8275076821424,2623.912731327978,2795.3886525265625,2976.6744713702806,3168.190949673551,3370.3579930374767,3583.5919518091737,3808.30263537141,4044.890038458298,4293.740783129399,4555.22428562094,4829.688663482168,5117.456405124262,5418.819831055757,5734.0363835169355,6063.323788788659,6406.8551439406865,6764.7539869760085,7137.089415975775,7523.871328695865,7925.045858849799,8340.49108878049,8775.612338322639,9239.020987610687,9741.26986655107,10294.266741401792,10911.112681774233,11606.202371810694,12395.48573079608,13296.831356561677,14330.45809224405,15519.415932989372,16890.104777644687,18472.82139716182,20302.322864851587,22418.389489177578,24848.904124108405,27615.39263119985,30735.232049496637,34222.209144012406,38086.2854905568,42333.019247474476,46962.89229735196,51970.68867789862,57345.0141783215,63068.01243623061,69115.30805779077,75456.18718345165,82054.00882207986,88866.8259506009,95848.18411219005,102948.0573497541,110113.87688492269,117291.6068325501,124426.82302633782,131465.75515620256,138356.25823284106,145048.6862425596,151496.64813052485,157657.63343891758,163493.5016254675,168970.8350116532,174061.1602828278,178741.04740533858,182992.09773743412,186800.8350498417,190158.5142378609,193060.86282395845,195507.770053688,197502.93761437945,199053.5048842785,200169.66026598425,200864.2486728478,201152.38370422806,201051.07153196633,200578.85207692167,199755.46171721487,198601.5205626926,197138.24626624232,195387.1954266532,193370.03286781345,191108.32844835886,188623.38055423961,185936.06504170143
D,3701.0,3701.0,3702.135546554919,3703.5884713478717,3705.0604051879095,3706.4720944348273,3707.82796144659,3709.1581072580093,3710.4955314037707,3711.8686591461264,3713.300043421067,3714.807219061677,3716.4040495576523,3718.101959658082,3719.9108902517423,3721.83998032162,3723.8980314966093,3726.0938152850845,3728.436272539839,3730.9346415994105,3733.5985402365704,3736.4380180095354,3739.4635896121194,3742.6862557813365,3746.117515681681,3749.7693729957346,3753.654336885871,3757.785418329043,3762.176121918891,3766.840432982375,3771.79279971242,3777.0481099373474,3782.6216621101576,3788.5291300933536,3794.786521330713,3801.410128032481,3808.416471052959,3815.822236208587,3823.6442028699635,3831.8991647624516,3840.6038430265476,3849.774791720032,3859.428296087646,3869.58026407849,3880.2461117538587,3891.440643395332,3903.177927290767,3915.4711683397722,3928.332578775427,3941.773248440311,3955.8507919160757,3970.6767168149454,3986.410771627385,4003.2537515671174,4021.442888045285,4041.2507630416912,4062.9874873257577,4087.005562339856,4113.706874635694,4143.551400852842,4177.067323606175,4214.862334143703,4257.635915228048,4306.192357828766,4361.305206229184,4423.688746898456,4493.999375577411,4572.839428171872,4660.755755075052,4758.232517462321,4865.679917487889,4983.42096706909,5111.678185698103,5250.561746477039,5400.060205303143,5560.034587362591,5730.216274244728,5910.208836685955,6099.493697128473,6297.439289351078,6503.313214971574,6716.2967815413695,6935.50124367568,7159.9850532089995,7388.771450038223,7620.865783671547,7855.2720373607635,8091.008123028796,8327.119617811693,8562.691714981731,8796.859257865046,9028.814811205846,9257.814797793995,9483.183787859418,9704.317074576096,9920.681701634738,10131.816129422039,10337.328736424251,10536.895353769001,10730.256025085235,10917.211172782414,11097.617336972828,11271.382635946662,11438.462078512845,11598.852839582494,11752.589591835105,11899.739968722108,12040.400217814318,12174.69108883415,12302.753987758666,12424.747417171424
R,0.0,467.3035697896635,897.0292636821381,1310.3138371900154,1722.3910208287355,2144.069888094574,2583.0773301089116,3045.0980822788074,3534.5196233515653,4054.9417891769845,4609.515537211222,5201.164136197498,5832.726193725899,6507.047943431524,7227.043142102885,7995.732528468788,8816.270471123293,9691.963592364624,10626.284325145707,11622.881198233968,12685.586913456425,13818.4248213075,15025.61411524935,16311.57388581541,17680.926062399427,19138.49719812895,20689.319006029047,22338.627523447496,24091.860760909436,25954.654678019768,27932.837321002113,30032.420953106135,32259.592010116376,34620.69871855701,37122.23622408184,39770.82909221707,42573.21106334366,45536.20196877729,48666.68174515056,51971.56152002026,55457.75178255395,59132.12769895227,63001.49168239483,67072.53338100381,71351.78730363237,75845.58836103253,80560.0256577811,85500.8949267323,90673.6500511013,96102.75376765727,101827.68102714737,107900.47754348037,114384.637927162,121355.0363467768,128898.68339420918,137116.14292188152,146123.4987011017,156054.80406022278,167064.9760753426,179333.10980229042,193066.18841462603,208503.15269236657,225919.26850575343,245570.20555955387,267701.4671127901,292551.46629894973,320350.85613244283,351319.6246415339,385662.89111343643,423566.03773955733,465189.6490736014,510664.63634948974,560087.8555501407,613518.467518541,670975.2271889469,732434.8255878651,797831.3444616981,867056.8224995709,939962.8775272451,1016363.2835054381,1096037.3664297708,1178734.0599817447,1264176.4497348517,1352066.632831874,1442090.7267590081,1533923.8743135557,1627235.1101863806,1721691.9759358617,1816964.792889867,1912730.5253097808,2008676.1879072082,2104501.7717280486,2199922.6799846627,2294671.6803320562,2388500.3922485495,2481180.3376471973,2572503.589775225,2662283.06009537,2750352.465471464,2836566.0189078315,2920797.886626272,3002941.4527005283,3082908.430077839,3160627.853842827,3236044.9892302463,3309120.183346437,3379827.685958709,3448154.461171121,3514099.008410726,3577670.2079629437,3638886.203360336
G,305367.0,305367.0,305403.62705690745,305464.3321246609,305541.9066766073,305632.286786694,305733.26683238824,305843.745018758,305963.28057330154,306091.8338573024,306229.61392430996,306376.9892265264,306534.4354405178,306702.5051063095,306881.8100715433,307073.0114327658,307276.8138407415,307493.9623149697,307725.2404638008,307971.4694478497,308233.507283445,308512.2482347429,308808.6221320737,309123.5935061123,309458.1604579534,309813.3532032011,310190.23223916255,310589.8860913888,311013.4286010838,311461.9957194994,311936.74178009405,312438.8352244208,312969.4537637328,313529.77896532096,314120.9902607403,314744.2583823477,315400.73824494204,316091.5613006545,316817.82740743057,317580.5962642469,318380.87847933813,319219.6263508373,320097.7244519776,321015.9801249484,321975.1139982098,322975.7506511115,324018.4095566044,325103.496437303,326259.29299880355,327510.5182296357,328880.5460286029,330393.13686798,332073.8188240205,333951.03927439207,336057.1857081399,338429.5497683501,341111.2860305966,344152.39682713983,347610.75608971145,351553.1676174264,356056.43527171406,361208.40356287936,367021.6086213272,373521.23131094954,380735.82585625077,388691.9247994087,397410.6482314633,406905.4400514433,417180.53424935613,428229.97999504127,440037.15244308684,452574.7103755286,465804.9652690866,479680.61695175624,494145.79848305765,509137.3624501238,524586.3349334175,540419.4626301519,556560.7826303979,572933.1521337228,589459.6857478161,606065.0597005237,622676.6542479247,639225.5169237497,655647.1394475162,671882.049722926,687876.2272481162,703581.3554174821,718954.9277278632,733960.2269913469,748566.1975251317,762747.230172489,776482.8791394945,789757.5282232754,802560.0222463588,814883.2775557926,826723.8834219854,838081.704178523,848959.4900520958,859362.5028898427,869298.161429606,878775.7093912545,887805.9084970624,896400.7575501183,904573.2378998424,912337.0849870224,919706.5851693064,926696.3966630499,933321.3931802165,939596.528672023,945536.7214979215
H,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3943599.0692594894,3661913.4214552403,3380227.7736509913,3098542.125846742,2816856.478042493,2535170.830238244,2253485.182433995,1971799.5346297456,1690113.8868254963,1408428.239021247,1126742.5912169977,845056.9434127484,563371.2956084991,281685.64780424983,5.820766091346741e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
