series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
S,288035.3161848594,287985.5333535196,287951.5976077908,287923.66352664435,287897.4825914482,287871.187219886,287843.92331953085,287815.26698622486,287784.97525577195,287752.8794363931,287718.83935290866,287682.72362651606,287644.40108812536,287603.7369562178,287560.59105716087,287514.8169251323,287466.2612856855,287414.7637123843,287360.15636821446,287302.26379601116,287240.90274483466,287175.8820291659,287107.0024222688,287034.0565872006,286956.8290500791,286875.0962208914,286788.6264676002,286697.18024965207,286600.5103172607,286498.36198302254,286390.4734725237,286276.57636059396,286156.39609974675,286029.6526470914,285896.06119559886,285755.3330150269,285607.1764070494,285451.29777817166,285287.40283283696,285115.1978877392,284934.3913067381,284744.69505394396,284545.8263605052,284337.5094984111,284119.4776522519,283891.47487739,283653.25813044386,283404.59935542307,283145.2876063518,282875.1311848436,282593.9597689297,282301.626507569,281998.01005376794,281683.01650818135,281356.58124452655,290097.962995863,298814.90167834016,307506.505060956,316170.86613233096,324805.4572911566,333407.3036550269,341973.049482522,350498.9732469542,358980.97820510576,367414.5714507723,375794.8378848869,384116.4125206586,392373.4532349457,400559.61558446696,408668.03119737585,416691.2913179271,424621.4372182658,432449.95933689026,440167.80711766303,447765.41157337767,455232.7225537029,462559.2625309679,469734.19840492995,476746.4323527789,483584.71210763475,490237.76024699764,496694.4211391803,502943.8231770065,508975.5528883315,514779.8365305595,511268.4315290167,507601.2427044728,503779.17415050266,499812.2416500646,495714.81515404966,491503.5708090029,487196.46207983355,482812.08708840085,478369.2248452313,473886.4599360322,469381.86895128066,464872.7605454786,460375.4664414471,455905.1813745165,451475.8491593163,447100.0910084398,442789.1713893631,438552.99620102317,434400.1378797611,430337.8821506685,426372.2914549367,422508.28053859656,418749.700223919,415099.4259540544,411559.4482681105,408130.9629022555
E,0.0,49.78283133975458,73.76106072858096,86.94152204873043,95.7324936143138,102.8795394629584,109.56556853824058,116.3066971508878,123.33486853799748,130.76136044566923,138.64667634778942,147.0304214916144,155.94406960664492,165.41641150449328,175.4758713988304,186.15148030788532,197.4732711164205,209.4724215489134,222.18128376772574,235.63335903612403,249.86324150019576,264.9065403958511,280.79978364945254,297.5803031114456,315.2861004893973,333.955692554634,353.6279340136608,374.3418164061808,396.13624145286894,419.0497674049507,443.12032713794406,468.38491698468584,494.8792556217214,522.6374127127352,551.691407476902,582.0707778915962,613.8021218587974,646.9086123613869,681.4094894051365,717.3195323769654,754.6485173386666,793.4006647022929,833.5740836789615,875.1602208327603,918.1433209772861,962.499909491828,1008.1983058719063,1055.19817892724,1103.45015446081,1152.8954864678353,1203.4658028480792,1255.0829362983409,1307.6588504203667,1361.095670127374,1415.2858241551633,1470.112305888569,1538.4155138077917,1618.3920764834415,1709.6141115655628,1812.359911269028,1927.2993851521287,2055.349307090753,2197.6088639573636,2355.332600802697,2529.9202927118113,2722.913925901618,2935.9969476418028,3170.99321997137,3429.864117854075,3714.7026323944765,4027.7235004316653,4371.248441279858,4747.685619728607,5159.5025162872535,5609.19149934197,6099.227579161352,6632.018094065874,7209.844441341438,7834.7964178452185,8508.700265250409,9233.042097662808,10008.888987192997,10836.810546654087,11716.804320394296,12648.228614390213,13629.746510062107,14570.725917987415,15478.37121579054,16349.33407869684,17176.581742854392,17952.18193574326,18668.51167236549,19318.828053252128,19897.55599884465,20400.429976712014,20824.545637544423,21168.347493296842,21431.568114899546,21615.13055169102,21721.024146227388,21752.16293662425,21712.23484287887,21605.548699146893,21436.884953117184,21211.354582958884,20934.269557567808,20611.02704584597,20247.00860367324,19847.49475217089,19417.594711503232,18962.190563235366
I,99.9324780985854,65.45478272968936,51.827714369999576,47.215585911871436,46.56573307869337,47.72150206529883,49.76420810346554,52.304916378614024,55.18172309096795,58.330307343590206,61.7285574449821,65.37287448324145,69.26802583195843,73.42279591241807,77.84811763970781,82.55626522341329,87.56050056636622,92.8749127273995,98.51433849062312,104.49431566352962,110.83104792982297,117.54137171524579,124.64272049076885,132.15308405016054,140.09096119176814,148.47530460812175,157.32545694324713,166.66107704701255,176.50205549603197,186.86841848801163,197.78021926408644,209.2574162791442,221.3197374284756,233.98652975432722,247.27659420150007,261.2080051699875,275.7979148272107,291.0623423944659,307.0159489126443,323.6717983209781,341.041106048016,359.13297671326217,377.95413296615425,397.5086379396538,417.79761425994184,438.81896302072494,460.56708658756185,483.03261952959315,506.20217236663456,530.0580931510797,554.5782521580842,579.735855115717,605.4992904516517,631.8320159487469,658.6924899754307,686.0341520787449,713.805457193295,744.2825151840213,778.6317452697522,817.5401683197204,861.5078384427975,910.9827967854528,966.4234251737955,1028.3276929223105,1097.2474462869789,1173.7959459541007,1258.6522609475614,1352.5640116621119,1456.3489783060659,1570.8956323997736,1697.162424123838,1836.1755399425829,1989.0247780930135,2156.8571526507367,2340.8678238592584,2542.287964328481,2762.3692118432655,3002.3644351047815,3263.5046534008966,3546.972107688798,3853.869678412332,4185.1870797973115,4541.764521459272,4924.254800554365,5333.085051000526,5768.419606338672,6230.125603867381,6701.812127937146,7174.039293520755,7640.021736187347,8094.049978973348,8530.957427082007,8945.988706178901,9334.816106671275,9693.602115356787,10019.065868476231,10308.535966651969,10559.982851558809,10772.029074541442,10943.938468597014,11075.586716340156,11167.416600175757,11220.381561591134,11235.881215544028,11215.692255195829,11161.897815633409,11076.817904778758,10962.943006622569,10822.872456649699,10659.258711757018,10474.758207349354
A,11.18152573604201,10.39804455486255,10.671497256062827,11.40842655599055,12.359017976645998,13.419948095635625,14.550396390913033,15.736212364178115,16.97462549482562,18.267727977169663,19.61970522139373,21.03566719167058,22.521162980862336,24.081986368749465,25.724104674846195,27.453639219664883,29.276866747829573,31.20022870333692,33.2303427326911,35.3740139777788,37.63824506747456,40.03024427757606,42.55743155315037,45.22744216855847,48.04812782099075,51.02755494886037,54.1740000523226,57.49594177641252,61.002049501102015,64.70116816875455,68.602299069197,72.71457629691778,77.04723859467825,81.60959630403786,86.41099315691329,91.46076266430104,96.76817888966036,102.34240143610045,108.19241452927113,114.3269601424059,120.75446518679487,127.48296288029789,134.52000850823842,141.87258990465523,149.5470331064803,157.5489037673068,165.882905059007,174.55277293598368,183.5611697851386,192.90957763101645,202.59819220583114,212.62581932358722,222.98977511136945,233.6857917440411,244.7079303960685,256.0485031612306,267.69800569330823,279.90605298309646,292.86847116718036,306.75875251353807,321.74383432158277,337.9924407537495,355.6799265515776,374.9914840708188,396.12458103873746,419.29102363884374,444.718814271916,472.65386404739326,503.36156422202794,537.1281891202608,574.2620820617004,615.0945595186004,659.980454762701,709.2982100474774,763.4494162596507,822.8576918584358,887.9667900332714,959.2378257676306,1037.1455243519113,1122.1734111585708,1214.8078901505444,1315.5311960442978,1424.813251908693,1543.1025189011775,1670.8159854121666,1808.3285056571458,1955.961758407765,2112.1906270031864,2275.7418693130035,2445.364062775382,2619.7519146001587,2797.531930976678,2977.273421251924,3157.5102201578966,3336.766679537416,3513.584691554725,3686.549857746506,3854.315576410896,4015.6242183739246,4169.324854870176,4314.387243626802,4449.91198485516,4575.136930020428,4689.4400625973285,4792.339171829133,4883.488709606294,4962.674260186583,5029.805066765665,5084.9050525262755,5128.102751454872,5159.620530370404
IH,0.0,19.84304989037562,26.999827377979962,29.344362937302456,30.083047452194165,30.47528395405981,30.981571846872438,31.744457704404027,32.787304994542545,34.094452470245486,35.64207646471707,37.40897451469213,39.37946986774078,41.5434463982085,43.895509642118455,46.43402372839697,49.160271480144324,52.07779150294079,55.19187850488364,58.50921491073315,62.037601626358594,65.78576106584121,69.76319157253691,73.98005759893523,78.44710412284465,83.17558685695806,88.17721205622665,93.46408134442702,99.04863813614631,104.94361305333904,111.16196632375176,117.71682557301563,124.6214177347661,131.88899404125755,139.5327472478506,147.56572040837546,156.00070666935537,164.85013970022305,174.12597453196338,183.83955874388056,194.00149412149008,204.62148911045324,215.7082026132345,227.26907991668847,239.3101817986963,251.83600813756405,264.8493176351077,278.35094555775436,292.33962169281324,306.8117910012643,321.76143971478496,337.1799298631479,353.05584541778217,369.37485338709826,386.11958328817036,403.26952843720755,420.80097243876446,438.6869441033965,457.3603652098807,477.3583491610319,499.1963436863999,523.3373825268513,550.1971840331493,580.1601303649459,613.5963510582734,650.8766159219068,692.3843413219008,738.5249352404475,789.7329365581984,846.4773724766063,909.2656446758775,978.6461301881731,1055.2095715230305,1139.5892386680994,1232.4597734037577,1334.534572844752,1446.5615337169925,1569.3169620610322,1703.5974561944927,1850.2095957521747,2009.957318327766,2183.6269388951737,2371.969865711334,2575.6831877720315,2795.3884486285415,3031.609072263255,3284.747058880891,3555.059709814182,3839.4739420712112,4133.946718347843,4434.277618565968,4736.368794043091,5036.302575756769,5330.3700975276515,5615.094760053956,5887.26120556128,6143.9489598306045,6382.566659851375,6600.882636422104,6797.048534637274,6969.613832311543,7117.5302411693565,7240.145926942303,7337.190223487302,7408.75004130065,7455.239499626343,7477.36447060598,7476.083744868234,7452.568442849859,7408.161135754286,7344.335932044887
IN,14.63464547852043,26.72103954387204,31.653797655245256,33.732020736076805,34.77294939930636,35.53745888477689,36.33810546085493,37.298484567847105,38.46371295246638,39.84734137051848,41.45114156276597,43.2733386122421,45.31193961477325,47.56599683941077,50.03601401599343,52.72400823705571,55.63344287051816,58.76912037067227,62.13707024347601,65.74444488758533,69.59942673274706,73.71114640054023,78.08961026299832,82.74563538742423,87.69078984530142,92.93733648535807,98.49817842646192,104.38680467743318,110.6172344260773,117.20395865729644,124.16187786269742,131.50623469579517,139.25254051221228,147.4164948176608,156.01389673223554,165.06054767167728,174.572144548545,184.56416291212753,195.05172957855117,206.04948445460548,217.57143143253262,229.63077843001903,242.23976687078303,255.40949114651534,269.1497088695548,283.46864301551597,298.3727773628451,313.86664695736226,329.95262565828216,346.63071315065054,363.89832412893026,381.75008265778735,400.1776249881441,419.169414337793,438.7105713244957,458.78272385385685,479.3638803033499,500.42832979786147,522.2881640347316,545.3719485334987,570.1342360281135,597.0236610439788,626.4763533476613,658.9196296770199,694.7793257091712,734.48794397644,778.4924868600073,827.2615691341073,881.2916937459283,941.1126703769443,1007.2921683350344,1080.43937231167,1161.2076731963507,1250.2962863387093,1348.4506513766937,1456.4614342338507,1575.16192595475,1705.4236176533873,1848.1497292043136,2004.2664847410083,2174.711963689989,2360.4224144958025,2562.316000774992,2781.2740560759685,3018.120051218084,3273.5966222856223,3548.341160051728,3842.8606127693984,4155.173283369318,4482.260109792238,4820.634037890718,5166.579069055449,5516.269627634322,5865.849862307735,6211.501547333712,6549.5093179860405,6876.324278639241,7188.624269624306,7483.368381556335,7757.843481169229,8009.701050146554,8236.98329922238,8438.138181771874,8612.02352768832,8757.901013833349,8875.421065700304,8964.60004371544,9025.791213895805,9059.651049732096,9067.10237711019,9049.295775196853
D,979.0,979.0,979.1763371589435,979.4162737048929,979.6770451901211,979.9443810658755,980.2152025887838,980.4905232874296,980.7726234441456,981.063990962954,981.3669745727091,981.6837112909735,982.0161497175941,982.3660991394593,982.7352789455401,983.1253605863882,983.5380009752304,983.9748684252237,984.4376626956818,984.9281305978476,985.4480783269705,985.9993814017951,986.583992853632,987.2039501217281,987.8613809727083,988.5585086594696,989.2976564598754,990.0812516805423,990.9118291703229,991.7920343576627,992.7246258028955,993.7124772386575,994.7585790574842,995.8660391943213,997.0380833424555,998.2780544338551,999.5894113088325,1000.975726495219,1002.4406830138373,1003.9880701250357,1005.62177793051,1007.345790745736,1009.1641791612197,1011.0810907156313,1013.1007391108938,1015.2273919086122,1017.46535665899,1019.818965427698,1022.2925577030819,1024.890461685621,1027.6169739836005,1030.4763377633788,1033.4727194291665,1036.6101839355458,1039.892668865599,1043.3239574379522,1046.9076506366268,1050.6471386876296,1054.5455721349151,1058.609948723193,1062.85203930675,1067.288195315375,1071.938882972441,1076.8282628221673,1081.9839112575655,1087.4366938631363,1093.2207711047147,1099.37371071431,1105.9366831207037,1112.9547203239624,1120.4770223791961,1128.5572984150306,1137.2541307649876,1146.631351452348,1156.7584201146499,1167.7107916580774,1179.5702606604434,1192.4252679552808,1206.3711530939308,1221.510334674803,1237.952399043304,1255.8140768130863,1275.2190862609543,1296.297823124988,1319.1868778912385,1344.028364451916,1370.9690481564667,1400.1592667675682,1431.751644580778,1465.8714966459993,1502.608209175801,1542.0138409483595,1584.1040348179663,1628.8596188987935,1676.2284621113122,1726.127538244093,1778.4452475016028,1833.0440370150964,1889.763325520819,1948.422699813411,2008.8253211050262,2070.761460403814,2134.0120730039953,2198.352321612278,2263.554963634827,2329.3935288162365,2395.645227011334,2462.093540875183,2528.5304734473843,2594.758435041206,2660.5917668572056
R,0.0,3.3317325943482814,14.376991834944153,28.343115633322032,43.391956013104455,58.899500757963864,74.72646171258998,90.91655649433045,107.5747198856442,124.82021720928066,142.77034964952756,161.5362200720227,181.22292842760046,201.93114179199543,223.758880694634,246.80313173745833,271.1611947305007,296.93177850974877,324.21588952296696,353.1175590877559,383.74444815431355,416.20835974976,450.6256815211831,487.1177745336238,525.8113196503795,566.8386291676915,610.337928620531,656.4536115884332,705.3364687292869,757.1438910199888,812.0400461882615,870.1960265103456,931.7899654764121,997.0071202567359,1066.0399164157834,1139.0879509058525,1216.3579490206823,1298.063670701328,1384.425761364145,1475.6715422693937,1572.0347353763875,1673.7551176464733,1781.07809986869,1894.2542253054494,2013.538583797704,2139.190137440879,2271.470954553189,2410.645349413787,2556.978926153949,2710.737526241419,2872.186080203504,3041.5873655815517,3219.20067458605,3405.2803965105336,3600.0745216409937,3803.8230751372084,4016.7564911297545,4239.093939032927,4471.059903200702,4713.070502922429,4965.781948319653,5230.088421931463,5507.106212664756,5798.15849757455,6104.765552190728,6428.6412845679515,6771.695583589716,7136.041588366031,7524.006983492832,7938.148534984241,8381.269197203006,8856.437204901036,9367.006607549078,9916.638707085665,10509.323830144967,11149.402807776072,11841.587456006708,12590.979256121007,13403.085331750171,14283.83071940466,15239.565839706112,16277.068009256831,17403.535799585297,18626.575061892105,19954.175505631465,21394.676854656354,22956.72381290735,24649.20935414711,26481.08130311528,28459.976044078903,30591.76256077959,32880.41225042715,35327.98355743889,37934.650315092455,40698.75358759435,43616.87385408427,46683.92471558634,49893.269113924616,53236.85750210955,56705.38572010092,60288.46895613757,63974.82724666319,67752.47749123187,71608.92688092412,75531.3628853105,79506.83543284453,83522.42757399102,87565.41166411192,91623.38888330101,95684.41067400029,99737.08138742209
G,57536.0,57536.0,57544.95548040054,57558.224427061476,57573.86441931877,57591.08582772776,57609.59292494344,57629.30277822441,57650.22529947832,57672.41212510012,57695.934909343276,57720.87619048814,57747.32563144027,57775.378556944066,57805.13547095013,57836.70199066763,57870.18895572292,57905.7126083863,57943.394799518246,57983.363199840205,58025.7515066474,58070.69964040858,58118.35392737145,58168.86726482679,58222.39926572711,58279.11637918786,58339.19198314275,58402.80644513524,58470.14714693357,58541.40846837312,58616.79172556941,58696.50505841865,58780.76326212217,58869.787557347685,58963.80529358677,59063.04958029848,59167.75884055645,59278.17628215593,59394.54928150187,59517.128676101995,59646.16796214183,59781.92239443189,59924.64798699656,60074.60041372446,60232.033809818546,60397.19947626647,60570.34449118426,60751.71023365217,60941.53082753467,61140.031514725415,61347.42696924398,61563.91956558843,61789.69761666709,62024.93359843768,62269.78238001645,62524.379479423624,62788.839366249274,63065.58638145539,63356.720455819624,63664.26454796086,63990.29167874653,64336.995379705215,64706.7341016812,65102.06402928012,65525.76702839797,65980.87677178868,66470.70432155854,66998.86357672817,67569.29653257753,68186.29801797548,68854.53937193124,69579.09034454919,70365.43834220705,71219.50397831388,72147.65174367066,73156.69448357399,74253.89027524785,75446.93025427328,76743.91595893701,78153.32486304996,79683.96296475705,81344.9036006689,83145.41206400272,85094.85611616101,87202.60307679672,89477.90483062078,91929.77276280212,94550.91436661278,97335.3331375986,100276.43023800928,103366.34169958379,106595.7766100892,109954.07275134424,113429.35491863366,117008.74500093148,120678.59755656666,124424.74467773637,128232.73863842883,132088.08360456515,135976.449790281,139883.86527441745,143796.88234487575,147702.71671295766,151589.359210198,155445.66062736712,159261.39117391032,163027.27663435874,166735.0136950388,170377.2671354309,173947.65165293164,177440.70104736325
H,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,272378.77223055845,263299.47982287314,254220.18741518786,245140.89500750258,236061.6025998173,226982.31019213202,217903.01778444674,208823.72537676146,199744.43296907618,190665.1405613909,181585.84815370562,172506.55574602034,163427.26333833506,154347.97093064978,145268.6785229645,136189.38611527922,127110.09370759394,118030.80129990866,108951.50889222338,99872.2164845381,90792.92407685283,81713.63166916755,72634.33926148227,63555.04685379699,54475.75444611171,45396.46203842643,36317.16963074115,27237.877223055868,18158.58481537059,9079.292407685307,2.546585164964199e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
