state,state full,beta,gammaE,alpha,gamma,gamma2,gamma3,a1,a2,a3,eta,c1,E_initial,I_initial,h1,Hiding_init1,reopen1,h2,Hiding_init2,reopen2,metric1,metric2,r1,r2
kl,Kerala,1.8132095732815192,0.20022632650647398,0.8259941694082379,0.04,0.05822680785101592,0.11212776270127456,0.07728598692897214,0.001,0.19104157267893213,0.13739155135580747,0.9400000000000002,0.03785307472817988,0.026076088079068936,0.033859903788330065,3.4977291676075466,2021-03-21,0.046545271132906484,3.229381129906025,2021-06-18,0.009119397469796654,0.08192497752181284,0.9991846368525784,0.9597094916617424
dl,Delhi,9.388970866652064,0.2,0.6930491967082686,0.040031867509571335,0.10406177186623798,0.1536939074800981,0.3199950381367001,0.021589617789801747,0.055839646724606416,0.03718537597116119,0.8400000000000001,0.0017496589106374973,8.599996084795582e-06,0.03333333333333333,3.8660371825209774,2021-03-22,0.03333333333333333,1.3440236166227584,2021-06-18,0.004926624702793692,0.005849515195037357,0.999701889530514,0.99972476317488
tg,Telangana,21.363794789398074,0.2519175295233507,0.10667576195402978,0.19881803333335632,0.19359681692860195,0.05013924665751375,0.4971308877911338,0.006140823968687864,0.018611601759684973,0.014688660187396566,0.9800000000000002,9.17472468311097e-07,0.004324750037486161,0.07051824167644012,3.621301102627225,2021-03-21,0.05882352922885385,1.0115540346059475,2021-07-04,0.004072782368781595,0.01093791217505698,0.9997872893144728,0.9986881600884362
rj,Rajesthan,49.99999952322458,0.20432007800780194,0.5076727571555757,0.2,0.13037990532086413,0.2,0.17248004201873646,0.002824556381209244,0.1721208255289592,0.008167864465757462,0.91,1.4798865493356958e-05,0.001371425250873997,0.03333333333333333,3.2642042449839943,2021-03-22,0.05078935239246735,2.3618461363338943,2021-07-25,0.01682495594921379,0.017320625108278753,0.9979749803157982,0.9982159539620048
hr,Haryana,5.355277478661963,0.2501574814061927,0.8093419671809843,0.04004232933106296,0.08518615115880157,0.2,0.357178658871156,0.01408853529368861,0.02966552484716808,0.047094372432717815,0.8200000000000001,0.0,0.0036907981344261984,0.033436717749627594,2.5404120932474314,2021-03-19,0.04058560823214708,1.1987989966184205,2021-07-20,0.01721455088945386,0.021718736808609338,0.9978021069060742,0.9971786222248304
jk,Jammu and Kashmir,16.79586946762018,0.20000404404598907,0.23595585643800324,0.10510459599268787,0.1745894934205987,0.19961414897458146,0.2911857754058489,0.010614693606141527,0.03634011941813603,0.01901748329859052,0.8300000000000001,0.002459250904900622,0.00011311630149284312,0.03333333333333333,1.5604329298007116,2021-03-17,0.03333333333333333,1.0078188529618797,2021-06-30,0.007427018820144223,0.02511088740198432,0.9995287871727446,0.9924167405462536
ka,Karnataka,10.308736454163872,0.20404233875310293,0.10049456680515696,0.07031228292541329,0.12069127762085376,0.1476392669398298,0.11255756836837848,0.004221238878191945,0.04061943364833196,0.028437601410432608,0.8,0.0009426147320551619,0.00021511669577100372,0.03688146885794955,1.3002828915571456,2021-03-20,0.03333333333333333,0.9360382866710388,2021-06-26,0.002878227874130699,0.025805627585029932,0.999960509523668,0.993656461390068
la,Lakshdweep,1.0,0.2,0.6559465224205325,0.04,0.04000000033114655,0.04,0.13006214299571633,0.0025165441663853065,0.05432625230761851,0.3058632335214982,0.9900000000000002,6.606889262087505e-05,0.0008596662471524321,0.03333333333333333,4.027852484365721,2021-03-16,0.05876691145367041,0.0,2021-06-18,0.03801033848572885,0.071634576634853,0.9762339419719744,0.8171220879015009
mh,Maharastra,1.30834664784744,0.2921838210560645,0.6922964116463355,0.08604963580437043,0.08141203198484674,0.12534264186478222,0.024140633192413916,0.0010538647618496457,0.13137297589436786,0.2131678790312231,0.8600000000000001,0.0011702038178451875,0.00037411229727722883,0.054769912902263566,0.5079921626151234,2021-03-17,0.07142857142857142,0.5645222821711559,2021-06-18,0.004914990732974912,0.02818387188998428,0.9998241069630679,0.9905732006711188
pb,Punjab,23.49472949679012,0.2,0.1,0.19999645224501147,0.19897578501175506,0.2,0.11979463129022765,0.006435401442280175,0.09761615417624682,0.026318055205248526,0.8500000000000001,0.0,0.0012684079083214216,0.03333333333333333,0.8381877592417721,2021-03-22,0.07139260778782036,1.75302956754098,2021-07-31,0.02054769292338775,0.025597397512586908,0.9971809681183454,0.9946651193436776
