series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
S,4859324.521888198,4859322.140468886,4859314.784642159,4859303.858474913,4859290.113934092,4859273.912539371,4859255.378141512,4859234.4856752,4859211.112227372,4859185.06588125,4859156.101402238,4859123.928075457,4859088.212798129,4859048.58023346,4859004.611070525,4858955.838985958,4858901.74663849,4858841.760870343,4858775.247195681,4858701.5035993,4858619.7536333315,4858529.1387768015,4858428.710007207,4858317.418521684,4858194.10553618,4858057.491083095,4857906.161720748,4857738.557061311,4857552.955017511,4857347.45566238,4857119.963590757,4856868.168666284,4856589.525033477,4856281.228271515,4855940.1905649025,4855563.013766745,4855145.960233568,4854684.921317033,4854175.383408462,4853612.391447698,4852990.509829631,4852303.780670882,4851545.6794373,4850709.067981486,4849786.145100365,4848768.394797797,4847646.532528271,4846410.449806739,4845049.157698801,4843550.729855905,4841902.245933735,4840089.736428559,4838098.130186043,4835911.206077645,4833511.550598311,4830880.523409457,4827998.233125385,4824843.525907529,4821393.989674508,4817625.976938313,4813514.64941579,4809034.047614543,4804157.188525735,4798856.194344233,4793102.454751793,4786866.824717916,4780119.858979268,4772832.083346861,4764974.3017693935,4756517.936678321,4747435.398601819,4737700.479428085,4727288.762109068,4716178.038123913,4704348.722775101,4691784.2574757375,4678471.487698314,4664401.005265462,4649567.444212038,4633969.720536637,4617611.207749923,4600499.842137186,4582648.153971123,4564073.223401695,4544796.5622668695,4524843.925467171,4504245.057699679,4483033.383149997,4461245.647121882,4438921.519506458,4416103.170452279,4392834.8286195425,4369162.332035467,4345132.680878364,4320793.600579262,4296193.12251827,4271379.188381143,4246399.282995278,4221300.099238986,4196127.237457709,4170924.9407583317,4145735.86660994,4120600.8943682266,4095558.967665564,4070646.9700670284,4045899.6319772573,4021349.466483368,3997026.731622582,3972959.416456053,3949173.2482987414,3925691.71848561,3902536.1241342705,3879725.6234820536,3857277.302521133,3835206.2508199583,3813525.6445954046,3792246.8352814903,3771379.442022269,3750931.4466945524,3730909.29023749,3711317.9692284833,3692161.1317968685,3673441.1721074223,3655159.322774336,3653513.4930892214,3652188.278314324,3651188.027528467,3650514.4350797767,3650167.2892224253,3650144.999468109
E,80.62978052660081,66.21998759596491,59.78545226148071,58.26125425195954,59.872845195634575,63.605675018887105,68.89414336966357,75.43935267517992,83.10249875210467,91.84268720589075,101.68085775339152,112.67906967694329,124.92884626925984,138.54488504385816,153.6619718019655,170.4338355393852,189.0332089822511,209.65266964114178,232.50601867398976,257.8300623558478,285.88672454323785,316.9654563570476,351.3859320373702,389.501033780082,431.7001369903709,478.41271290077697,530.1122691197096,587.320651087084,650.6127289834354,720.6214955387743,798.0436004643921,883.6453468473892,978.2691737039615,1082.840646831802,1198.3759769353005,1325.990079473413,1466.905184504247,1622.4599966261644,1794.1193945415296,1983.484646338654,2192.304099785188,2422.48428618265,2676.10135102855,2955.412694215227,3262.8686660917238,3601.12412276959,3973.0495939650586,4381.741758955166,4830.532860596027,5322.99861381774,5862.964084005935,6454.506923217518,7101.957260026426,7809.893444681329,8583.13275907715,9426.716116072099,10345.885701755471,11346.05446590333,12432.766350254851,13611.646173153636,14888.338175455572,16268.432389865562,17757.378237028446,19360.38508795046,21082.30997132854,22927.533148252347,24899.82291998659,27002.191761890346,29236.74666138024,31604.53734140907,34105.40682261826,36737.8494566928,39498.882083959536,42383.93426278769,45386.76352610672,48499.401294666495,51712.134392438216,55013.526069437474,58390.47907522027,61828.34170781896,65311.05598112484,68821.345222044,72340.93665020153,75850.81292816962,79331.48540529047,82763.28089446228,86126.63336798738,89402.37194958254,92571.9969941706,95617.93683426194,98523.77885786508,101274.46988009856,103856.48218609722,106257.94306666225,108468.72706046973,110480.51139203116,112286.79620444367,113882.89209923732,115265.87819777128,116434.53442944585,117389.25204283163,118131.9264464921,118665.83644212832,118995.51374184946,119126.60639261756,119065.73939181828,118820.37539368593,118398.67799901051,117809.37970866624,117061.65621986604,116165.00836399694,115129.15263453883,113963.92093819978,112679.169924902,111284.70001355582,109790.18403006205,108205.10520993147,106538.70418773511,104799.93449620872,102997.42602584406,101139.45584772057,99233.92577472048,97288.34602583075,95309.82436189047,93305.06007608719,91397.17454555891,89561.64361806582,87781.70504515506,86045.99342313565,84346.8889446311
I,5.9822926677281485,18.57167798797909,27.818388834541288,35.2824404205008,41.90229390602746,48.25372003189507,54.701992403663546,61.491491551621266,68.79860266025547,76.76310256536401,85.50695726640849,95.1457686008364,105.7959478297178,117.57942623326359,130.62696942071344,145.08072632734715,161.09638868779194,178.84518755090969,198.51586637566464,220.31671974651445,244.47775771055885,271.2530393316753,300.923210094794,333.7982732322511,370.22062309363685,410.56836828403794,455.2589728241918,504.753244658845,559.5597022172635,620.2393512516867,687.4109057254587,761.7564879897184,844.0278447751336,935.0531165244187,1035.7441981774657,1147.104729546927,1270.238752712787,1406.360072210993,1556.8023509451764,1723.0299704184624,1906.649677720145,2109.423033309596,2333.2796625568003,2580.3312997016415,2852.886594794569,3153.4666316299194,3484.8210769756506,3849.9448477944975,4252.09514287756,4694.808637622683,5181.918584898754,5717.571500480718,6306.243038065184,6952.752576344632,7662.275949435875,8440.355653131188,9292.907754748534,10226.224626545918,11246.972515639736,12362.182862375506,13579.236190873356,14905.83732829963,16349.980673106924,17919.904238166888,19624.031254445243,21470.898246965942,23469.068698970532,25627.031712256816,27953.085458276044,30455.205697436664,33140.90021853674,36017.05070383043,39089.74423663529,42364.09740723444,45844.07670029592,49532.31951755703,53429.960753613275,57536.47025071956,61849.506665353736,66364.793248838,71076.02075398044,75974.78212381696,81050.54281025747,86290.64954181522,91680.37915965376,97203.02783223764,102840.03961141976,108571.17197968847,114374.69482878152,120227.61826431283,126105.94379672676,131984.93288735065,137839.3864843461,143643.9291055117,149373.29118728213,155002.58379433604,160507.56033598838,165864.86062304288,171052.23337928994,176048.73415370277,180834.8964242438,185392.8745085983,189706.55767353516,193761.655541711,197545.75551758622,201048.35348358986,204260.85944981192,207176.58017580508,209790.6810255351,212100.12947282812,214103.62275336584,215801.50217009537,217195.6565120837,218289.41695264535,219087.44566093246,219595.6202013807,219820.91561589972,219771.28589196262,219455.54632225967,218883.2580637803,218064.61601054625,217010.34090827656,215731.57646372388,214239.79203823404,212546.69136553956,210664.12759864517,208622.96036342037,206447.60561590127,204157.8091749944,201769.89504796144
A,1.704417938154835,5.171449459392592,7.451980065174807,9.092614890889285,10.41627499895083,11.615402788128538,12.806667486135833,14.063085068382621,15.432894907450036,16.950676343456312,18.6439229715887,20.536962941378487,22.65333349535642,25.01726039318706,27.654624532632837,30.593640786487295,33.865381931721586,37.504226625822874,41.54827888796231,46.03978820209558,51.02558873954155,56.557570111534176,62.69318863724486,69.49602625212952,77.03640324031475,85.3920505733454,94.64884755109665,104.90163053422367,116.25507874834528,128.82468337478446,142.73780638360358,158.13483578216682,175.17044411955928,194.01495717636226,214.85583975012437,237.899305284366,263.372055741978,291.5231575438756,322.6260585234837,356.9807496198946,394.9160733691577,436.7921790639204,483.0031216335739,533.9795977341458,590.1918081005958,652.1524297634535,720.4196751172182,795.6004068946738,878.3532686953305,969.3917796934599,1069.4873293896612,1179.471993685946,1300.241077133674,1432.755267987338,1578.0422728729777,1737.1977767788371,1911.3855522226931,2101.8365196064974,2309.846539974943,2536.7727030053775,2784.0278587662524,3053.073133626669,3345.408171032333,3662.558849282126,4006.0622536689534,4377.448722057577,4778.220843527042,5209.8293708614065,5673.646110217065,6170.933974668592,6702.8145302710045,7270.233519512951,7873.925011159944,8514.374988978652,9191.785344351447,9906.039367742958,10656.66992936141,11442.831588807005,12263.277867487957,13116.344849582363,13999.942144806806,14911.552051377223,15848.237507381848,16806.65912501701,17783.101280264684,18773.506898688323,19773.520255200303,20778.53681042246,21783.758854987544,22784.255538764493,23775.025733188595,24751.062115588913,25707.414873930207,26639.253503838412,27541.925298863654,28411.00930891225,29242.364748499742,30032.17306337636,30776.973099042858,31473.689046748554,32119.651062419274,32712.608654204174,33250.73710958494,33732.63737986576,34157.32995677338,34524.24336282539,34833.19793532922,35084.38561558915,35278.346463037655,35415.942601904506,35498.330279206864,35526.93067079659,35503.40002029691,35429.599637094005,35307.56621688692,35139.48288403313,34927.65129106181,34674.46504888564,34382.38470268466,34053.914414089915,33691.58046079335,33297.911620428684,32875.421466667416,32426.592571938232,31953.862582851154,31459.612111029364,30951.54928395209,30435.091231633232,29914.066848990675,29391.20472046198
IH,0.0,0.23932449321233648,0.8609518017463231,1.5373225872164304,2.169364833851222,2.7457813152205937,3.2840366763293822,3.8073536358059643,4.3369571589143066,4.890367166053148,5.481812519032293,6.123187112770499,6.824979141923669,7.597016196244178,8.449021029538462,9.391018134855907,10.43363615298175,11.58834334544025,12.867643550211733,14.285251719211578,15.85626201506621,17.597317265308074,19.526785855361908,21.664950443851207,24.034211864272358,26.659310996465226,29.56757108921122,32.78916288750826,36.357394897994766,40.30903117121106,44.684639062559015,49.52896953667025,54.89137268928929,60.8262512662206,67.39355505084478,74.65931906048925,82.69624852688641,91.58435362480554,101.4116368413006,112.27483572884118,124.28022353874658,137.54446986313002,152.1955628962946,168.37379422813862,186.23280616587044,205.9407004045508,227.6812053851649,251.65489783996418,278.08047177370344,307.19604540846217,339.2604933705512,374.5547875642598,413.38332570861814,456.0752213710208,502.9855234947408,554.4963268921302,611.0177280048332,672.9885725091685,740.8769332244036,815.1802484968089,896.4250431078881,985.1661462204191,1081.9853144742262,1187.4891637351006,1302.3063109556906,1427.08362898856,1562.4815229172054,1709.1681474609106,1867.812502111991,2039.0763645612021,2223.6050540654337,2422.0170547248595,2634.892573671316,2862.7611598309363,3106.088563457111,3365.263072616462,3640.581617235662,3932.235980714299,4240.299499786103,4564.714661638735,4905.282020049174,5261.650846960802,5633.3119110618745,6019.592730330916,6419.655582379666,6832.498477295597,7256.959206311663,7691.722480679594,8135.330073809987,8586.193781409707,9042.610924042418,9502.782038641693,9964.830343439538,10426.82251681462,10886.79030577956,11342.752474104502,11792.736612258017,12234.800359426546,12667.051629220112,13087.667482280172,13494.911347726278,13887.14835812597,14262.858626586278,14620.64835713348,14959.25873868132,15277.572626957208,15574.619066592843,15849.575746456503,16101.76951486688,16330.67510757368,16535.91226058199,16717.241392507174,16874.558047796112,17007.886293554806,17117.371259645934,17203.27100493714,17265.947882844303,17305.859567332773,17323.549886962828,17319.639599971615,17294.81722827627,17249.83005308843,17185.475359900847,17102.59200622452,17002.052371835784,16884.754738596745,16751.61613524636,16604.323195495832,16444.684173089594,16274.380447296477
IN,0.23929170670912595,0.4699390899045647,1.195829835354063,2.265366482654589,3.594828581551997,5.141058498189276,6.885488481741238,8.824832478667377,10.965698364095312,13.321510713511653,15.91080021806042,18.756306794568953,21.884572962361958,25.325838852611717,29.114129434257027,33.2874711613139,37.888202753763636,42.96336113052955,48.565133261364714,54.751370619593736,61.586166599056966,69.14049964556938,77.49294649766111,86.73047115793361,96.94929621617467,108.25586403104501,120.7678961149654,134.61555989552664,149.94275286841383,166.90851502320615,185.68858131936076,206.47708691510678,229.48843880265005,254.95936847092477,283.1511811899707,314.3522184721581,348.88055119294296,387.08692171942556,429.35795416315773,476.11965250023627,527.841206732387,585.0391274313687,648.2817288358602,718.1939800597711,795.4627428108327,880.8424121761906,975.1609743540571,1079.3264915212596,1194.3340191262178,1321.2729545626398,1461.3348081662612,1615.8213775218032,1786.1532938935416,1973.8788949198956,2180.6833602682004,2408.398026484508,2659.009773597959,2934.670349031589,3237.705464026917,3570.623464260324,3936.1233399714847,4337.1018023507195,4776.659113065367,5258.103313926284,5784.95246548455,6360.934468906695,6989.984017323177,7676.236203874648,8424.016307078695,9237.82528324028,10122.320523715594,11082.291484889847,12122.629873115677,13248.294167013806,14464.268385628431,15775.515161564352,17186.92335024689,18703.250594809237,20329.061463993912,22068.661979461875,23926.031539503052,25904.75341824305,28007.9451630897,30238.19031929173,32597.47297163143,35087.116604216026,37707.7287375224,40459.15270765122,43340.42780942759,46349.75883846164,49484.495845676,52741.12467083161,56115.268559868346,59601.700905257945,63194.368889428595,66886.42756803952,70670.28371039437,74537.6485247917,78479.59824146607,82486.64140745273,86548.79166693865,90655.64475660239,94796.45843595575,98960.23409460601,103135.79882775845,107311.88684380862,111477.21915896247,115620.58063890567,119730.89356224347,123797.28700068695,127809.16143312355,131756.24813160868,135628.66297427655,139416.95445103402,143112.14573099194,146705.77075468964,150189.9043984794,153557.18683252088,156800.84225757647,159914.69225933228,162893.1640626631,165731.29400262426,168424.72655464156,170969.70928410927,173363.08408617362,175602.2750906885,177685.27360597445,179611.37788862357,181380.88818368773,182994.88372273487
D,7153.0,7153.0,7153.001679348163,7153.007720676433,7153.018508121662,7153.033730628976,7153.052997870474,7153.076042068271,7153.10275839909,7153.133190975962,7153.167506849803,7153.2059729159355,7153.2489395295515,7153.296830641864,7153.35013916462,7153.4094262344615,7153.475323330244,7153.548536512356,7153.629852314373,7153.720145009727,7153.82038511014,7153.931649043587,7154.055130021334,7154.192150146239,7154.344173845269,7154.512822732804,7154.699892030827,7154.907368689495,7155.137451368112,7155.392572452916,7155.675422304746,7155.988975946961,7156.336522421972,7156.721697063503,7157.148516951208,7157.6214198344205,7158.145306832453,7158.725589239721,7159.368239784771,7160.079848712618,7160.8676850789925,7161.739763662671,7162.704917916948,7163.7728793926635,7164.954364071545,7166.26116604865,7167.706258994387,7169.303905807924,7171.069776842226,7173.0210770335825,7175.176682201992,7177.557284699574,7180.18554846792,7183.086273417836,7186.2865688613,7189.816035500881,7193.706955211529,7197.994487528965,7202.716871384045,7207.915630190625,7213.635777904468,7219.926023123759,7226.838967701907,7234.431295698586,7242.763947817771,7251.902275790112,7261.916170475214,7272.880156817769,7284.873448227002,7297.979952504487,7312.288221168513,7327.8913339646815,7344.886710562708,7363.375841965613,7383.463935039366,7405.259464835407,7428.873631035837,7454.4197168902165,7482.012351398787,7511.766678168164,7543.797437235588,7578.217969117322,7615.139153258853,7654.668295812113,7696.907984099666,7741.954927117396,7789.898802863668,7840.821134078133,7894.794214074262,7951.880103739625,8012.129719477886,8075.5820299328125,8142.263376854221,8212.186932550007,8285.352303144053,8361.745283461643,8441.337765925602,8524.087802493545,8609.939815510745,8698.824950487508,8790.661561306237,8885.355816272018,8982.802411769186,9082.885379083707,9185.478969187483,9290.448599931922,9397.651850128825,9506.93948536293,9618.156501033603,9731.14316901182,9845.736075371333,9961.769137860414,10079.074593076562,10197.48394464908,10316.828865086982,10436.942045280488,10557.657986927741,10678.813734373196,10800.249543475205,10921.809486155737,11043.341990218572,11164.700314849355,11285.74296293157,11406.334031928316,11526.343505594552,11645.647489204008,11764.12839130499,11881.67505526786,11998.188159629486,12113.581071505167
R,0.0,0.2648235249761751,1.1787467325203713,2.7724768144582015,4.989621306585828,7.769763384928668,11.074203236899551,14.88983835922,19.226033423709993,24.110254816299726,29.584411220913847,35.70232753767754,42.52825368006406,50.136180216629654,58.609745129628315,68.04256689518088,78.53889070859788,90.21447588893705,103.19768229395366,117.63073408518555,133.67115298896513,151.49336248128026,171.29047068815754,193.2762443432327,217.6872896098949,244.7854584260321,274.86050156140004,308.2329919758464,345.2575444449414,386.32635984692695,431.87312502143914,482.37730173715073,538.3688410497289,600.4333621898999,669.2178380808988,745.4368326223133,829.8793379597392,923.416263040913,1027.008627778741,1141.7165200225315,1268.708875183133,1409.2741406441994,1564.8318888712643,1736.9454442213032,1927.3355886397258,2137.8954104491063,2370.7063579776654,2628.055555487363,2912.4544323281984,3226.6587069957077,3573.6897552729843,3956.85737531079,4379.783941702972,4846.429914674471,5361.1206387200655,5928.574326724614,6553.931080114894,7242.782742387296,8001.203322029456,8835.779651245852,9753.641869171819,10762.493233011197,11870.638668897325,13087.011378050294,14421.196715548243,15883.452462164612,17484.724518572988,19236.656971018074,21151.595414356278,23242.582378899577,25523.34369884773,28008.264689342046,30712.355072869937,33651.201719318065,36840.90844106265,40298.02231632172,44039.44629879734,48082.338204202,52443.99653576469,57141.734008897416,62192.74004441978,67613.93390229729,73421.81050466861,79632.2813289113,86260.51302085277,93320.76656985392,100826.23999005776,108788.91745894185,117219.42777390791,126126.91480363335,135518.9223417853,145401.29542905392,155778.09981103914,166651.56076204363,178022.02204681176,189887.92533188613,202245.80991238824,215090.33220339555,228414.3040697542,242208.74874321496,256462.97280724393,271164.65252080694,286299.9326032558,301853.53551122866,317808.8792014094,334148.20138485375,350852.6883331633,367902.60638733057,385277.43443960644,402955.9958004297,420916.58801978535,439137.10939936456,457595.1811032593,476268.26394603046,495133.7691039841,514169.16215525474,533352.060004408,552660.3203859642,572072.1237673243,591566.0475843796,611121.1328423428,630716.9432001882,650333.6167299256,669951.9106023831,689553.2390000346,709119.7045955856,728634.1239634953,748080.8581843667,767445.9005165615,786716.7346861083
G,887836.0,887849.0680015201,887859.8005483896,887869.4902235435,887878.9328656313,887888.636704919,887898.9455393525,887910.111497692,887922.3382651345,887935.8070303095,887950.6923539229,887967.1721904675,887985.4345526395,888005.6822866936,888028.1368283847,888053.0414587581,888080.6643743528,888111.3017672146,888145.2810412208,888182.9642518861,888224.7518348958,888271.0866770165,888322.4585775534,888379.4091467357,888442.5371878676,888512.5046119336,888590.0429360941,888675.9604208432,888771.1499043207,888876.5973962507,888993.3914981033,889122.733720244,889265.9497709449,889424.5018960482,889600.0023516674,889794.2280953821,890009.1367837242,890246.8841650995,890509.8429572957,890800.6232970427,891122.0948452016,891477.410624577,891870.0326573752,892303.7594552776,892782.7553960888,893311.5819960141,893895.2310547532,894539.1596106114,895249.3265934935,896032.2310036658,896894.9513722808,897845.1861746344,898891.2947679319,900042.3383111994,901308.119995596,902699.2237690517,904227.0505810621,905903.8510038721,907742.7529088508,909757.7826969012,911963.8784064654,914376.8928614099,917013.5848852887,919891.5965117647,923029.4140787737,926446.3111229517,930162.2711079391,934197.8882415249,938574.2449758205,943312.7652510897,948435.0431405306,953962.6472750481,959916.9022589065,966318.6492033621,973187.9884693207,980544.0086752692,988404.5069391464,996785.7061243383,1005701.9754929283,1015165.5615815301,1025186.3362649111,1035771.5688337116,1046925.7284768135,1058650.3228381197,1070943.7773431162,1083801.3588111922,1097215.1455470556,1111174.0447084997,1125663.856350226,1140667.3822130568,1156164.5761250958,1172132.7318546397,1188546.7034381437,1205379.1524194467,1222600.8160833756,1240180.7906394238,1258086.8233904887,1276285.6081808163,1294743.078824476,1313424.6957366732,1332295.7215907318,1351321.482471248,1370467.6116595117,1389700.2738457453,1408986.3681934678,1428293.709268496,1447591.1853773312,1466848.8943296687,1486038.2570436976,1505132.1097500871,1524104.7758226485,1542932.1184741731,1561591.575709679,1580062.1790319076,1598324.557451561,1616360.9283737082,1634155.0769182588,1651692.325192267,1668959.4929705944,1685944.8511641293,1702638.069365753,1719030.1586674394,1735113.41084061,1750881.3348688935,1766328.591720072,1781450.9281440414,1796264.045680766,1810779.671139574,1825006.8146029618,1838952.6441155113
H,485932.4521888199,485932.4521888199,485932.45218881994,485932.4521888199,485932.45218881994,485932.45218881994,485932.45218881994,485932.45218881994,485932.45218882,485932.45218881994,485932.45218881994,485932.45218881994,485932.45218881994,485932.45218882,485932.45218881994,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218881994,485932.45218882,485932.45218882,485932.45218882,485932.4521888199,485932.45218881994,485932.45218881994,485932.4521888199,485932.45218881994,485932.45218882,485932.45218881994,485932.45218881994,485932.45218881994,485932.45218882,485932.45218881994,485932.45218882,485932.45218882,485932.45218881994,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218881994,485932.45218881994,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218882005,485932.4521888201,485932.4521888201,485932.45218882005,485932.45218882005,485932.4521888201,485932.4521888201,485932.45218882005,485932.45218882005,485932.4521888201,485932.45218882005,485932.45218882005,485932.45218882005,485932.45218882005,485932.45218882005,485932.45218882005,485932.45218882005,485932.4521888201,485932.45218882005,485932.45218882,485932.45218882005,485932.45218882005,485932.45218882005,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218881994,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218882,485932.45218882005,485932.4521888201,485932.4521888201,485932.45218882005,485932.4521888201,485932.45218882005,485932.4521888201,485932.4521888201,485932.45218882005,485932.4521888201,485932.4521888201,485932.45218882005,485932.4521888201,485932.4521888201,485932.45218882017,485932.4521888201,485932.4521888201,485932.4521888201,485932.4521888201,485932.45218882017,485932.4521888201,485932.4521888201,485932.45218882017,485932.4521888202,485932.45218882017,485932.45218882017,485932.45218882017,485932.45218882017,485932.4521888201,485932.4521888201,485932.45218882017,485932.4521888202,469734.7037825262,453536.9553762321,437339.20696993824,421141.4585636442,404943.7101573502,388745.9617510562
