series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10
S,16366275.621807262,16366275.621807262,16366262.766383085,16366243.459086053,16366219.640561149,16366191.64666689,16366159.200868988,16366121.753396802,16366078.590944849,16366028.864886962,16365971.589528024,16365905.628183769,16365829.673059603,16365742.220734598,16365641.543562174,16365525.656732196,16365392.280490404,16365238.796867333,16365062.20015372,16364859.040246805,16364625.357870542,16364356.610538827,16364047.587981481,16363692.315586483,16363283.94422716,16362814.624639,16362275.3642863,16361655.864413809,16360944.334713684,16360127.282754067,16359189.275016144,16358112.666075775,16356877.292151349,16355460.124931995,16353834.881315103,16351971.584440233,16349836.07123606,16347389.441636257,16344587.444717634,16341379.797333263,16337709.431434222,16333511.667295644,16328713.311407648,16323231.680004768,16316973.552258728,16309834.06124056,16301695.536077643,16292426.31550109,16281879.56139542,16269892.111174535,16256283.419872118,16240854.656654758,16223388.035715543,16203646.47753673,16181373.71225518,16156294.950747663,16128118.258934349,16096536.773981381,16061231.894435257,16021877.556544608,15978145.673110412,15929712.757075718,15876267.679350974,15817520.42120489,15753211.581191557,15683122.293621996,15607084.121504806,15524988.414831523,15436794.587944642,15342536.777701719,15242328.402429294,15136364.248766003,15024919.860804679,14908348.178681036,14787073.553272292,14661583.430526637,14532418.136074953,14400159.285991719,14265417.396950841,14128819.269019648,13990995.672791166,13852569.799007487,13714146.834573058,13576304.9251838,13439587.68163635,13304498.291982753,13171495.220319873,13040989.408003688,12913342.845258065,12788868.349735895,12667830.371759122,12550446.641287146,12436890.476498356,12327293.585635617,12221749.210129764,12120315.475989543,12023018.840435825,11929857.540548218,11840804.969419392,11755812.922411239,11674814.67125621,11597727.836814772,11524457.042293455,11454896.33775065,11388931.393934797,11326441.469110841,11267301.156748371,11211381.924980141,11158553.46079296,11108684.833167054,11061645.489998035,11017306.103758812,10975539.280606832,10936220.14711629,10899226.828096466,10864440.828113582,10831747.328416063,10801035.410013221,10772198.212705657,10745133.03893496,10719741.410427026,10695929.084758068,10728160.29025531,10761641.033349693,10796308.772537405,10832098.106438603,10868943.999487592,10906783.461756928,10945556.37126045,10985205.823226113
E,81.06497243293319,56.74548070305323,52.57726066914857,56.11137950072089,63.09649055716728,72.16143764838547,82.95880425417286,95.51863516468536,110.02549656746265,126.74390548386324,145.9960927767261,168.15860919835393,193.66615060467058,223.0186304317977,256.7902137238671,295.63997958685377,340.32422750025074,391.7105823223946,450.79412123837136,518.715791780967,596.7834305085413,686.4957330721837,789.5695704946244,907.971094344793,1043.9511253667708,1200.0853759134886,1379.320115841773,1585.0239535790406,1821.0464676283523,2091.784486957525,2402.2568787974496,2758.188755527852,3166.1060532933434,3633.4414566614482,4168.652636554587,4781.353720460115,5482.460808493654,6284.352165748413,7201.0434346493275,8248.3777886255,9444.230351077362,10808.725384330337,12364.463657028307,14136.75596279778,16153.856919997614,18447.19086216627,21051.558766431684,24005.311713055376,27350.472304807427,31132.78083425033,35401.637886392455,40209.9097378338,45613.55775569944,51671.04860780188,58442.49930701256,65988.51102242559,74368.64952901112,83639.53962327569,93852.55728241825,105051.1279883419,117267.67302603385,130520.28715291871,144809.2787317879,160113.75325833453,176388.4672941689,193561.21467548073,211531.022390026,230167.4223463057,249311.02252929306,268775.5260134287,288351.24348182516,307810.0241005678,326911.404831722,345409.66550584894,363061.3912628379,379633.09662964445,394908.462092432,408694.7735479375,420828.2305244357,431177.8892982965,439648.11873729003,446179.5568997812,450748.6542642772,453365.96737425076,454073.4207094261,452940.78415019345,450061.6205680167,445548.946713795,439530.8254452806,432146.07333386363,423540.22931047867,413861.89098930993,403259.48848130734,391878.5327996533,379859.3484656132,367335.2780661502,354431.33020002,341263.2310276217,327936.8328481644,314547.8300018656,301181.73215633415,287914.0469508718,274810.62738692755,261928.14371365632,249314.6444154127,237010.17591474327,225047.43550279265,213452.4366201844,202245.16982130654,191440.24650082344,181047.51571959213,171072.6472429387,161517.67622203543,152381.50684596875,143660.37381200198,135348.2616512843,127437.28285341803,119918.01640023402,112779.80878773116,106011.03992210736,99599.35645340754,93531.87518634394,87795.35920589077,82530.26042243141,77657.69518067868,73125.30479796931,68896.07238228226,64942.04047095114,61240.770898836556,57773.33973621282
I,0.0,2.4321445125461887,3.6957508614276877,4.606275353191659,5.458522415697237,6.366546636969607,7.38268279276949,8.539398207399017,9.86420270126288,11.38517921592771,13.133279108700455,15.143536084419985,17.455959239364464,20.116379715765138,23.177356763863347,26.69919134233337,30.75107670784373,35.41241059295609,40.77429377793781,46.94124208375754,54.033142010865845,62.18748408241753,71.56191232732289,82.33713324824883,94.72023307939149,108.94845816967846,125.29351994347823,144.0664930926712,165.62338341787265,190.37145000632947,218.77637510694643,251.37038397327433,288.7614258424647,331.64353573885325,380.80850442400765,437.15898985839317,501.7232070456141,575.6713328402409,660.3337565678803,757.2212940061318,868.0474587019385,994.7528473600746,1139.53164093654,1304.8601450231643,1493.527186074248,1708.6660370108546,1953.7873589194041,2232.812406577563,2550.105446051599,2910.503965221097,3319.344817766219,3782.4839272596873,4306.306597044709,4897.724840709649,5564.157499177953,6313.488295057352,7153.996467853727,8094.254336297376,9142.986174029176,10308.883311214367,11600.371545369951,13025.32890587191,14590.754671595232,16302.394311922006,18164.329606948304,20178.548343324666,22344.513240979446,24658.754541517483,27114.51426776373,29701.471814816643,32405.579635068185,35209.033958870314,38090.39873694057,41024.89171083824,43984.83052951308,46940.22525294177,49859.49267569524,52710.25886121072,55460.21005308295,58077.94929381848,60533.81676468599,62800.63577162329,64854.352813872276,66674.54844424248,68244.80474686256,69552.92435094656,70591.00423767976,71355.37464616421,71846.41882034157,72068.2930398471,72028.56839080634,71737.81623086546,71209.15854038265,70457.80262202829,69500.5772121179,68355.4842761005,67041.27781759443,65577.07812893955,63982.027196720745,62274.98854728507,60474.29273328557,58597.52794720528,56661.37389967387,54681.4760979717,52672.35696942259,50647.35985407065,48618.62169679174,46597.07025675987,44592.44178051128,42613.31531632133,40667.16014969634,38760.39318511524,36898.44346545095,35085.821390235906,33326.19055385918,31622.440465357602,29976.758726273627,28390.701528241654,26865.261585698452,25400.93284111918,23997.77147133393,22655.45288546667,21373.324540074907,20150.45450767846,18990.292928356565,17893.300644337578,16858.284449507155,15883.155862866819,14965.364490873535,14102.146974505877
A,0.0,21.887347217333765,32.831905974267414,40.46258622461051,47.52164258641881,55.05513630527908,63.52974981422358,73.22504630952962,84.37279967500469,97.20827081677693,111.99109693232624,129.01599983614648,148.6204366944652,171.19175372102885,197.17481897466737,227.08056807176487,261.4957199386763,301.0938724810746,346.6481878855982,399.04589561125175,459.3048681903179,528.5925575318086,608.2476165904029,699.8045729054851,805.0219667523752,925.914417645797,1064.7891387996299,1224.2874798530188,1407.4321434945275,1617.6807910360374,1858.986824585078,2135.868207766122,2453.485260737054,2817.728435346889,3235.3171382140945,3713.910717142488,4262.232751382269,4890.209777851745,5609.125529273247,6431.791637832842,7372.735546044897,8448.406035671605,9677.396299664551,11080.683797387595,12681.885197971815,14507.523470678689,16587.30255786852,18954.382994655247,21645.649249435657,24701.95639006288,28168.339891816067,32094.167995115764,36533.21105609595,41543.596968471364,47187.61625739363,53531.33531069435,60643.97208006257,68596.98634180757,77462.83736549814,87313.3668871662,98217.77597646855,110240.18195651975,123436.76681968835,137852.5616891411,153517.95181870525,170445.03102091185,188623.97934463673,208019.67796185645,228568.80431958832,250177.66235463717,272720.9917062881,296041.9634100249,319953.5077765101,344241.0370481643,368666.5284871156,392973.8328514852,416894.9798737146,440157.1767552684,462490.14588177466,483633.42849875236,503343.2925795298,521398.92247071734,537607.6291383776,551808.8952487487,563877.1506846244,573723.2537825485,581294.7253063526,586574.8414946244,589580.7369123166,590360.6965673368,588990.8305584827,585571.3252034204,580222.4546056864,573080.5186844153,564293.8505099585,554019.0098199557,542417.2529131345,529651.3433702929,515882.74442285293,501269.21305141976,485962.7984616096,470108.2335711563,453841.69744806737,437289.91900568723,420569.5873304626,403787.0313855799,387038.13107923715,370408.42240530037,353973.3611843165,337798.71252575284,321941.03621814743,306448.2416023685,291360.18891159276,276709.31743026554,262521.284031517,248815.59862877757,235606.24577969953,222902.2840871541,210708.4171475742,199025.5316079157,187851.19942427427,177180.14268861333,167004.66042937565,157315.01762271946,148141.34753323748,139486.45959438183,131338.4647483787,123677.85679655519,116481.48154356923,109724.75644624702
IH,0.0,0.0,0.1349748766754269,0.28108960700535846,0.4138812332736204,0.5359379244563248,0.6550463912477134,0.7784948469748529,0.9121882877234756,1.0609778510928487,1.2291531703467702,1.4208469444502576,1.6403300750737866,1.892227385967124,2.181686056668774,2.5145207318166376,2.8973514670610374,3.337745244448081,3.844368464919678,4.427155964967505,5.097501180271977,5.868471736279624,6.755054765411578,7.77443650460105,8.946321142331414,10.293294421246406,11.841238139361339,13.61980241869026,15.662943418385114,18.009535055405056,20.70406425343744,23.79742026128322,27.34778965093704,31.421669701196603,36.09501396231315,41.45452483428354,47.59910891063457,54.64151155163702,62.710147535692464,71.9511445361532,82.5306153756009,94.63717325368177,108.48470108930519,124.31538134002226,142.40298564010556,163.05641370587333,186.62345745036308,213.4947482777343,244.10782214720896,278.9512072128588,318.5684016891042,363.5615642369912,414.5946851129414,472.3959436490859,537.7588873394036,611.5419922251191,694.6660875707327,788.1090565009106,892.8971676132355,1010.0923629053979,1140.7748398567196,1286.0203375124602,1446.8716857974748,1624.304419825044,1819.1866067777623,2032.2334821084132,2263.958029971172,2514.6192376172608,2784.1703533929217,3072.2100143197486,3377.9395028104345,3700.1295638196657,4037.100098382553,4386.715609644035,4746.398514860898,5113.161397699551,5483.6580476390745,5854.251836850173,6221.098753239378,6580.241369491182,6927.709285696017,7259.621203191063,7572.283790391098,7862.282864535621,8126.563076804974,8362.493167772838,8567.914859928396,8741.174479617848,8881.137369349393,8987.185998389792,9059.203361816539,9097.543753998056,9102.993309261346,9076.722832915873,9020.235423230792,8935.311239123688,8823.951531328834,8688.323758063096,8530.709278122653,8353.454778990292,8158.92827396395,7949.480204497965,7727.409921099024,7494.9375933209185,7254.181418339003,7007.139857317908,6755.678526491647,6501.521301504876,6246.245154393531,5991.278227651966,5737.900654273431,5487.247651915066,5240.314449348703,4997.962640582262,4760.927603511719,4529.826663288097,4305.167723875733,4087.3581331216933,3876.713586040568,3673.466907273099,3477.776586408386,3289.7349688949234,3109.3760306021795,2936.6826858524987,2771.593597131134,2614.2657019146327,2464.8129292379263,2323.233201405344,2189.409445854062,2063.1342148023828
IN,0.0,0.0,0.3039199332254059,0.7100449610088861,1.1555245468219013,1.6258644608638961,2.123478828830419,2.656879112253162,3.2370741140305452,3.876492841252519,4.588795863317722,5.389008058750199,6.293778728050578,7.321705634135748,8.49370545854193,9.833429591036525,11.36773038304135,13.127185735258507,15.14669152151239,17.466132709230042,20.131145424078447,23.193983738719236,26.71450669635855,30.761303040240037,35.41297333495227,40.759591656529885,46.90437181653974,53.965566189388014,62.078628647230914,71.39867688268946,82.1032935168349,94.39570983643522,108.50842074956991,124.70728453605913,143.29616610727885,164.62218764031255,189.0816554131093,217.12673615786403,249.27295988123618,286.10762834964106,328.29920861324746,376.6077881398804,431.89666118756116,495.14510348878736,567.4623723121204,650.1029392504706,744.48292094378,852.1976151799453,975.03997277614,1115.0197352952239,1274.382840784892,1455.6305402700639,1661.5374732772239,1895.1677192551444,2159.887573916493,2459.373499694959,2797.6133777308523,3178.8988626250507,3607.8063376430814,4089.1637251198117,4628.000274170959,5229.476485773578,5898.791611346491,6641.0667431975635,7461.202461939164,8363.7113522283,9352.527440104008,10430.7966850361,11600.654955250637,12863.002236887134,14217.283930312322,15661.291692140345,17190.997115127007,18800.431374782886,20481.62267856157,22224.6009243387,24017.475544252044,25846.588344927102,27696.738623437177,29551.47335931496,31393.43127033457,33204.726327882956,34967.35420952771,36663.6042500498,38276.45973748927,39789.97077300452,41189.58617034369,42462.43375610505,43597.541669402526,44585.9965829952,45421.037944824864,46098.09018516471,46614.73722151518,46970.645447635114,47167.44269140846,47208.561386867965,47099.05447818173,46845.39242819848,46455.24922298695,45937.28453161472,45300.92827894254,44556.17289252491,43713.37745635358,42783.086995814214,41775.86916938558,40702.169781340715,39572.18777374985,38395.7697143854,37182.32327149615,35940.74875314424,34679.38748018375,33405.985547649514,32127.67139743925,30850.945563228765,29581.68094416854,28325.132005300413,27085.9513789957,25868.21244342397,24675.43657276822,23510.62388256158,22376.28642634441,21274.48293221056,20206.85429616547,19174.659170925854,18178.809102015763,17220.479718384508,16300.688796292137,15420.118497229445,14579.064997618727,13777.451501909281
D,4387.0,4387.0,4387.0,4387.002153124536,4387.00663707699,4387.013239326683,4387.02178862951,4387.032237955278,4387.044656535662,4387.059207799065,4387.0761325594285,4387.095740059092,4387.118405465372,4387.144572075175,4387.174756960776,4387.209559302466,4387.24967103597,4387.295889700403,4387.349133543675,4387.410459060464,4387.4810812263495,4387.562396765446,4387.656010857142,4387.76376775615,4387.88778587271,4388.030497939052,4388.194696976058,4388.383588872073,4388.600852495345,4388.850708384115,4389.137997194872,4389.468269241256,4389.8478866242085,4390.28413963915,4390.7853793487075,4391.361168429521,4392.022452638327,4392.781755493727,4393.653399032734,4394.653753769957,4395.801521254388,4397.118052873292,4398.627708779105,4400.358260992988,4402.341344840182,4404.612962861789,4407.214045179325,4410.1910699045675,4413.596746516797,4417.490764086107,4421.940604702899,4427.022420362442,4432.821968718623,4439.435599423988,4446.971278076396,4455.549628974508,4465.304970860519,4476.386311581234,4488.958258213474,4503.201788911056,4519.31482196826,4537.5125070319955,4558.027153980688,4581.107707956692,4607.018675876815,4636.038412099667,4668.456680447902,4704.571427887551,4744.684732759458,4789.0979276202415,4838.105942468526,4891.990966128603,4951.015578299983,5015.415557677485,5085.392617426195,5161.107353010014,5242.67270451012,5330.148233125998,5423.535488427123,5522.774700151035,5627.74296899926,5738.254059697976,5854.059822344606,5974.8531908660225,6100.272636011571,6229.907889486183,6363.306709041049,6499.982423499712,6639.421982218622,6781.0942344533405,6924.4581785849105,7068.9709465272545,7214.095321911983,7359.306628816369,7504.0988680499895,7647.990017905057,7790.526453838777,7931.286475338695,8069.882957270985,8205.965166826963,8339.219805648872,8469.371350020117,8596.181770558522,8719.44971721153,8839.009256158535,8954.728243143489,9066.506413441353,9174.273262710562,9277.985785941542,9377.626134044609,9473.199239715248,9564.730456380747,9652.263246505061,9735.856948480618,9815.5846448813,9891.531149058093,9963.791121957029,10032.467326628139,10097.66902415032,10159.510511581735,10218.10980000837,10273.587428748362,10326.065410218072,10375.66629881826,10422.512376398287,10466.724946349072,10508.427815534322,10547.746608218189,10584.806915521338,10619.732461018313
R,0.0,0.0,4.376584295199986,11.054164871188508,19.393520132555327,29.28195050465459,40.81435999684126,54.18269129823926,69.63941696539578,87.48785872520267,108.08270126035652,131.83485574463472,159.2186592846742,190.78077613633027,227.15067958342294,269.0527988756838,317.3205122585653,372.91222628709306,436.9298295443091,510.6398556797932,595.4977406118703,693.1756139416455,805.594126481334,934.9588854116346,1083.8021469880364,1255.0305049475242,1451.979411878806,1678.475481880566,1938.9076469067572,2238.3083773040476,2582.446330098714,2977.9319573167463,3432.3377914492394,3954.3353260793283,4553.850625983509,5242.241031101288,6032.495559754367,6939.461863797203,7980.102835126151,9173.786199317014,10542.610644409317,12111.772202424063,13909.974703364638,15969.888123897637,18328.65851413106,21028.472853461135,24117.181595257305,27648.98073095314,31685.153842537406,36294.872709028874,41556.05246442296,47556.253939854934,54393.62152820058,62177.83956365062,71031.08372159654,81088.93628295789,92501.22533225345,105432.73826622302,120063.74975902078,136590.2941714265,155224.10318541148,176192.12235834642,199735.51675452347,226108.0774444256,255573.94912372108,288404.6158715462,324875.108148724,365259.42974795616,409825.2476770077,458827.93871626974,512504.14015163167,571065.004322143,634689.401838037,703517.3512917068,777643.9694170911,857114.2318439446,941918.809766502,1031991.2032086604,1127206.3305044626,1227380.6612402268,1332273.9023819978,1441592.1710393182,1554992.5181678517,1672088.6102232055,1792457.3335521303,1915646.0606829927,2041180.3086084637,2168571.525262203,2297324.759322724,2426945.9972869144,2556948.98727558,2686861.4081832627,2816230.282801274,2944626.572128613,3071648.9234795547,3196926.575984051,3320121.452949771,3440929.491043023,3559081.271434187,3674342.0282904543,3786511.1158137005,3895421.0170486467,4000935.9766035597,4102950.3359053847,4201386.644285719,4296193.612632658,4387343.969038823,4474832.268238711,4558672.698988769,4638896.926154905,4715551.99732005,4788698.337334516,4858407.84848049,4924762.128844645,4987850.81709329,5047770.068103046,5104621.160779412,5158509.236847669,5209542.167370077,5257829.542172177,5303481.776190891,5346609.325931348,5387322.008684749,5425728.416866958,5461935.419742542,5496056.053228518,5528204.196534326,5558491.586021686,5587026.18173581,5613911.318800414
G,261540.0,261542.43214451254,261544.13464567132,261545.71209018506,261547.3955667798,261549.28861353802,261551.45363055248,261553.94259458318,261556.8083838062,261560.109413828,261563.91203640308,261568.29227098826,261573.3374344704,261579.14788565942,261585.83898197292,261593.5433071634,261602.41321894483,261612.62376583775,261624.37602719932,261637.90093710006,261653.46366078558,261671.36860174994,261691.96512796797,261715.65411768225,261742.8954384202,261774.21648775542,261810.22194083847,261851.60486801542,261899.1594060021,261953.79518814586,262016.55376325783,262088.62725825992,262171.3795672412,262266.3703781,262375.3823771825,262500.45200134214,262643.90413442446,262808.39116958214,262996.9368777482,263212.9855329017,263460.45674240106,263743.80641038,264068.0942173347,264439.05792128085,264863.19466503384,265347.8492980436,265901.3094754886,266532.90696572006,267253.12416191003,268073.7042365745,269007.76268122473,270069.8971239616,271276.291308574,272644.8079547125,274195.0639229477,275948.47972909786,277928.294070083,280159.53275960573,282668.9204917109,285484.72336355795,288636.5103414048,292154.8231081832,296070.7462331501,300415.3735371891,305219.1719557059,310511.2510119329,316318.5538701954,322664.9942611401,329570.57155828417,337050.5029906121,345114.4164304285,353765.6485652498,363000.69100780744,372808.82090025925,383171.9431875762,394064.6597823772,405454.56747046765,417302.7729309801,429564.60095557215,442190.4619270454,455126.83760096185,468317.34056847723,481703.80241945584,495227.3482013707,508829.41968343686,522452.7164702849,536042.0314310795,549544.9645465844,562912.5065724232,576099.4904585406,589064.9139865247,601772.1414565921,614188.9954554558,626287.7518308238,638045.0521114336,649441.7478997945,660462.6913973372,671096.4853646836,681335.204626129,691174.0998300138,700611.2926854764,709647.4703977333,718285.585583128,726530.5666067317,734389.0420776462,741869.0821752854,748979.9585682374,755731.9239226145,762136.0113704319,768203.8538085059,773947.5225107025,779379.3842464456,784511.9758917816,789357.8953821957,793929.7077762056,798239.8651641731,802300.6391579001,806124.0647248694,809721.8941793175,813105.5602046903,816286.1468536177,819274.3675484649,822080.5491846928,824714.621518416,827190.7282015026,829520.646186079,831714.5815376242,833781.6297256587,835730.0474284545,837567.4181252611
H,1636627.5621807263,1636627.5621807263,1636627.5621807263,1636627.5621807263,1636627.562180726,1636627.5621807263,1636627.562180726,1636627.5621807263,1636627.562180726,1636627.562180726,1636627.562180726,1636627.5621807263,1636627.562180726,1636627.5621807263,1636627.562180726,1636627.562180726,1636627.5621807263,1636627.562180726,1636627.562180726,1636627.562180726,1636627.562180726,1636627.5621807263,1636627.562180726,1636627.5621807263,1636627.562180726,1636627.5621807259,1636627.562180726,1636627.5621807259,1636627.562180726,1636627.5621807259,1636627.562180726,1636627.562180726,1636627.5621807259,1636627.5621807256,1636627.5621807259,1636627.5621807256,1636627.5621807254,1636627.5621807256,1636627.5621807254,1636627.5621807256,1636627.5621807256,1636627.5621807254,1636627.5621807256,1636627.5621807254,1636627.5621807254,1636627.5621807254,1636627.5621807254,1636627.5621807256,1636627.5621807254,1636627.5621807256,1636627.5621807254,1636627.5621807256,1636627.5621807254,1636627.5621807254,1636627.5621807254,1636627.5621807254,1636627.5621807254,1636627.5621807254,1636627.5621807252,1636627.5621807254,1636627.5621807254,1636627.5621807254,1636627.5621807254,1636627.5621807256,1636627.5621807256,1636627.5621807256,1636627.5621807256,1636627.5621807256,1636627.5621807256,1636627.5621807256,1636627.5621807254,1636627.5621807254,1636627.5621807254,1636627.5621807254,1636627.5621807256,1636627.5621807254,1636627.5621807252,1636627.5621807254,1636627.5621807252,1636627.5621807252,1636627.5621807256,1636627.5621807254,1636627.5621807254,1636627.5621807254,1636627.5621807256,1636627.5621807256,1636627.5621807254,1636627.5621807256,1636627.5621807256,1636627.5621807254,1636627.5621807254,1636627.5621807256,1636627.5621807256,1636627.5621807254,1636627.5621807256,1636627.5621807256,1636627.5621807256,1636627.5621807254,1636627.5621807256,1636627.5621807256,1636627.5621807254,1636627.5621807256,1636627.5621807256,1636627.5621807256,1636627.5621807256,1636627.5621807256,1636627.5621807259,1636627.5621807259,1636627.5621807259,1636627.5621807256,1636627.5621807256,1636627.5621807259,1636627.5621807259,1636627.5621807259,1636627.562180726,1636627.5621807259,1636627.5621807259,1636627.5621807259,1636627.5621807259,1636627.5621807259,1636627.5621807256,1636627.5621807259,1582073.3101080349,1527519.0580353441,1472964.8059626534,1418410.5538899624,1363856.3018172716,1309302.0497445806,1254747.79767189,1200193.545599199
