date_reported,data_type_name,location_id,mean,upper,lower,date_mean,date_lower,date_upper,covid_measure_id,scenario_id
2020-02-13 00:00:00,observed,4851,1.03532678574633,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-02-14 00:00:00,observed,4851,0.835164627192906,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-02-15 00:00:00,observed,4851,0.612760273195224,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-02-16 00:00:00,observed,4851,0.365648829444236,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-02-17 00:00:00,observed,4851,0.0694653073748626,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-02-18 00:00:00,observed,4851,-0.258540818474053,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-02-19 00:00:00,observed,4851,-0.593756446641304,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-02-20 00:00:00,observed,4851,-0.903025196916516,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-02-21 00:00:00,observed,4851,-1.14654897219414,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-02-22 00:00:00,observed,4851,-1.2899019116155,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-02-23 00:00:00,observed,4851,-1.32680676382189,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-02-24 00:00:00,observed,4851,-1.27350058545784,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-02-25 00:00:00,observed,4851,-1.155085745415,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-02-26 00:00:00,observed,4851,-0.999271456216182,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-02-27 00:00:00,observed,4851,-0.832678980000864,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-02-28 00:00:00,observed,4851,-0.679719088869383,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-02-29 00:00:00,observed,4851,-0.563159540651167,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-03-01 00:00:00,observed,4851,-0.502586910471315,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
2020-03-02 00:00:00,observed,4851,-0.512120527454417,,,9999-09-09 00:00:00,9999-09-09 00:00:00,9999-09-09 00:00:00,22,6
