percent_dc,mc_se,percent_dc_unw,dc_se_unw,sample_size,country,region,iso_code,gid_0,gid_1,survey_date
0.128944,0.019505,0.163594,0.017756,434.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200715
0.082973,0.015116,0.111111,0.014965,441.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200716
0.154815,0.023098,0.165323,0.01668,496.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200717
0.128867,0.020015,0.151341,0.015686,522.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200718
0.107869,0.01662,0.1587,0.015978,523.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200719
0.109569,0.020021,0.141129,0.015633,496.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200720
0.122401,0.022316,0.133178,0.016423,428.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200721
0.109875,0.022801,0.11194,0.015725,402.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200722
0.113446,0.020511,0.135484,0.015871,465.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200723
0.157394,0.02376,0.174497,0.017951,447.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200724
0.095734,0.015146,0.123047,0.014517,512.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200725
0.099883,0.01908,0.129482,0.014984,502.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200726
0.168385,0.027765,0.165899,0.017856,434.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200727
0.17105,0.024715,0.196468,0.018668,453.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200728
0.154253,0.02416,0.16777,0.017556,453.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200729
0.167714,0.028377,0.161369,0.01819,409.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200730
0.202555,0.029734,0.194737,0.020314,380.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200731
0.144431,0.026318,0.152406,0.018585,374.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200801
0.122158,0.022769,0.136816,0.01714,402.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200802
0.120146,0.019469,0.159314,0.018118,408.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200803
0.12171,0.021519,0.144796,0.016738,442.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200804
0.143989,0.023864,0.15625,0.018529,384.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200805
0.162206,0.027913,0.187675,0.020665,357.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200806
0.193322,0.027874,0.208219,0.021253,365.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200807
0.160516,0.030539,0.138028,0.018307,355.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200808
0.18386,0.030403,0.155556,0.019102,360.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200809
0.135297,0.024971,0.146479,0.018766,355.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200810
0.138586,0.02343,0.145773,0.019054,343.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200811
0.122991,0.021364,0.152905,0.019902,327.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200812
0.140977,0.024891,0.149206,0.020075,315.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200813
0.132168,0.021129,0.175287,0.020382,348.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200814
0.188991,0.033688,0.164134,0.020421,329.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200815
0.139776,0.022842,0.174157,0.0201,356.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200816
0.171061,0.030985,0.16242,0.020815,314.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200817
0.139206,0.026634,0.145833,0.019254,336.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200818
0.156351,0.025381,0.184127,0.021838,315.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200819
0.161635,0.02964,0.186047,0.02243,301.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200820
0.14617,0.024395,0.177019,0.02127,322.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200821
0.176632,0.033392,0.165625,0.020781,320.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200822
0.165489,0.026743,0.18663,0.020563,359.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200823
0.200792,0.029383,0.204334,0.022435,323.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200824
0.175489,0.028793,0.187861,0.020999,346.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200825
0.166122,0.025691,0.195335,0.021407,343.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200826
0.16816,0.026708,0.198083,0.022528,313.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200827
0.167537,0.029275,0.193333,0.0228,300.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200828
0.145134,0.028736,0.15016,0.020192,313.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200829
0.198026,0.02806,0.235294,0.024249,306.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200830
0.156929,0.026321,0.177474,0.022321,293.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200831
0.18057,0.031367,0.187075,0.022744,294.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200901
0.164849,0.028992,0.177215,0.021481,316.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200902
0.161737,0.028164,0.190813,0.023358,283.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200903
0.135959,0.027986,0.181034,0.02528,232.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200904
0.138743,0.022852,0.182796,0.023139,279.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200905
0.177686,0.031694,0.190141,0.023285,284.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200906
0.198487,0.033653,0.203065,0.024901,261.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200907
0.140414,0.026075,0.178694,0.022457,291.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200908
0.185101,0.031831,0.197761,0.024331,268.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200909
0.199717,0.032402,0.213058,0.024003,291.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200910
0.151169,0.028256,0.167286,0.022756,269.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200911
0.16577,0.031337,0.167969,0.023365,256.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200912
0.22469,0.036725,0.218855,0.023992,297.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200913
0.218068,0.03343,0.229885,0.026044,261.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200914
0.193271,0.03381,0.215385,0.025495,260.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200915
0.166656,0.032905,0.165354,0.02331,254.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200916
0.129089,0.029603,0.175926,0.025907,216.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200917
0.191542,0.028216,0.232472,0.025659,271.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200918
0.217118,0.035588,0.238318,0.029124,214.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200919
0.231809,0.036657,0.219828,0.027189,232.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200920
0.249079,0.039181,0.252336,0.029692,214.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200921
0.166313,0.03398,0.190476,0.025836,231.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200922
0.147931,0.027474,0.183036,0.025837,224.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200923
0.208124,0.037115,0.204167,0.026019,240.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200924
0.228551,0.039898,0.235602,0.030707,191.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200925
0.215441,0.03946,0.202643,0.02668,227.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200926
0.220632,0.037211,0.226667,0.027912,225.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200927
0.210409,0.032739,0.253112,0.028008,241.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200928
0.154959,0.031155,0.172131,0.024167,244.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200929
0.140158,0.027029,0.184466,0.027024,206.0,India,Andhra Pradesh,IND,IND,IND.2_1,20200930
0.124296,0.027515,0.15625,0.02426,224.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201001
0.204845,0.037779,0.211111,0.030418,180.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201002
0.206293,0.036791,0.200893,0.026771,224.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201003
0.179514,0.032009,0.233333,0.027301,240.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201004
0.193463,0.033446,0.217778,0.027516,225.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201005
0.175214,0.032229,0.192825,0.026419,223.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201006
0.271873,0.04377,0.259887,0.032965,177.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201007
0.189387,0.034989,0.187793,0.02676,213.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201008
0.193433,0.036159,0.226744,0.031928,172.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201009
0.155738,0.038419,0.143791,0.028367,153.0,India,Andhra Pradesh,IND,IND,IND.2_1,20201010
