County,beta,betaEI,gamma,eta,c1
AZ-Maricopa,100.0,0.3456315345450859,0.04,0.0082079409390595,0.99
CA-Los Angeles,98.65489422391052,0.1,0.04,0.0161526822561326,0.99
CA-Orange,100.0,0.2262510748895042,0.04,0.0076871729894802,0.99
CA-Riverside,80.12445802688627,0.5,0.04,0.0057223217210519,0.95
CA-San Bernardino,100.0,0.3470227080188511,0.04,0.008502396807723,0.99
CA-San Diego,100.0,0.3041897297718398,0.04,0.0085058372045494,0.99
CO-Adams,71.25507294170232,0.1,0.04,0.0222516101177543,0.99
CO-Arapahoe,100.0,0.1189122115661372,0.04,0.018825092134334,0.99
CO-Denver,100.0,0.1,0.04,0.0208422079452837,0.99
CT-Fairfield,75.09277681120608,0.1403589564182131,0.1579404367079427,0.05,0.99
CT-Hartford,24.031884660969894,0.2498714651949855,0.0696858891854627,0.05,0.99
CT-New Haven,40.30627379087748,0.3012854560336918,0.0830661241859456,0.0282211140165357,0.97
DC-District of Columbia,71.06879899170397,0.1,0.04,0.0317480231727205,0.99
DE-New Castle,52.28834264705224,0.2120634635253303,0.04,0.0209211242333137,0.99
DE-Sussex,9.80514582729641,0.5,0.0578030012636358,0.041377712706532,0.92
FL-Broward,99.43215037540902,0.3960533543181802,0.0679588357956309,0.0132200987420956,0.99
FL-Miami-Dade,56.14718838986915,0.5,0.0796083969510159,0.0242511110196313,0.99
FL-Palm Beach,100.0,0.3786577274327884,0.04,0.0110767985330459,0.99
GA-DeKalb,100.0,0.1821143780270617,0.0662710492455615,0.0152570196117263,0.99
GA-Fulton,25.37900935104252,0.5,0.0484776140976364,0.0250325961760786,0.99
GA-Gwinnett,100.0,0.191357970945447,0.04,0.0124471587500604,0.99
IA-Polk,10.16655311322152,0.2806524064858704,0.1490323075162577,0.0428807275979608,0.9
IL-Cook,44.15348830418312,0.1,0.04,0.044441374658951,0.99
IL-DuPage,19.089291161950545,0.1,0.04,0.0498830222279815,0.99
IL-Kane,6.898341335087097,0.5,0.1138667635976597,0.05,0.9
IL-Lake,100.0,0.1003910714388773,0.04,0.026423958468542,0.99
