county,population,beta,gamma,eta,c1,R2_1,R2_2,hiding,daily release,R2_3,R2_4,h/POP,I ratio,S left,peak ratio sim,peak ratio act,r/(eta*n_0)
AZ-Maricopa,4485414,5.543071741068894,0.04,0.03236523710609004,0.9800000000000002,0.982350003285966,0.4910297138421468,104843.0896566486,1841.1269886066502,0.9951971123292189,0.8409721398636822,0.0004104698002473462,0.9967332735380213,0.930577766945513,17.595981366826667,8.085620647275706,2.6012836431951283e-05
CA-Los Angeles,10039107,4.516053335946447,0.04,0.04363574686712984,0.9600000000000002,0.9807041906966383,0.7555730099375264,108358.52540895811,5523.898925040226,0.9710736319349565,0.8097054393550255,0.0005502380764584166,0.9400252783713011,0.8316561208124111,4.3688394306736456,2.2591900923923727,5.96923696764701e-06
FL-Miami-Dade,2716940,9.728938640584058,0.04,0.04811922054314837,0.9900000000000002,0.9971773345332648,0.6591609798007241,202287.9746998693,1928.6934749910604,0.985033933749244,0.2740753713506793,0.0007098770951846785,0.7156669994892673,0.8529292716481777,6.739226946064164,6.397054311138386,1.030986563006414e-05
GA-Fulton,1063937,7.56088116295419,0.04,0.03300917190789239,0.9800000000000002,0.9955937617193923,0.46304432817281704,14550.369393669738,377.1983529544563,0.975605672213811,0.4541516183949802,0.0003545307221710085,0.708943084121608,0.8543542760922938,6.0323343715897115,4.33229329173167,5.390692888355892e-06
IL-Cook,5150233,5.8645731202818245,0.08,0.04754884278903862,0.9000000000000001,0.9914868331923542,0.9357959298007583,59843.285320243296,1613.3015740585813,0.9855502335767754,0.866541280584885,0.00031324826936151846,0.47927675842887396,0.6710239640855009,0.3406870596111328,0.420020290835306,2.0912713538334617e-06
NY-New York,8336817,15.037865267645872,0.042148462161240415,0.03656483268248634,0.9300000000000002,0.9983231053686806,0.9460078637471324,62912.217917262315,2042.1573725872636,0.9592433265704436,0.9010153749022388,0.0002449564831022756,0.23370072557165653,0.27470477875509064,0.04855734386890106,0.0683958775087529,2.431931888403926e-07
TX-Harris--Houston,2320268,5.275269182490457,0.04,0.05,0.9900000000000002,0.9697477095708302,0.5471664129243481,46145.134267398054,803.8297420849763,0.9923086225568661,0.9513483314980374,0.00034643831750684673,0.8966260612996692,0.9296558438911274,6.994022911133159,5.8388179986568165,2.005825343119208e-06
NJ-Bergen,932202,16.666091213657786,0.04,0.02871561806594397,0.9200000000000002,0.9948224556185834,0.5396920709508931,10140.098468768801,166.01680637973408,0.8707900260952715,0.23714223420622793,0.0001780910214521467,0.2608393428232466,0.26606862849595764,0.06612884033382031,0.09954337899543379,1.6420794803410015e-06
PA-Philadelphia,1584064,10.113398731717668,0.040357423191389026,0.03579172025641787,0.9500000000000002,0.9989543711708571,0.9291263462892274,16294.612673592354,267.4485969990768,0.9885633010371878,0.7965439801453376,0.00016883698954024383,0.6659889693036398,0.5741545284710404,0.28224211797994647,0.3207947019867549,3.9904061564262575e-07
MD-Prince Georges,909327,4.611074488316471,0.05625370839097938,0.04826300051589144,0.8800000000000001,0.9979094321306946,0.8706340365033302,11977.509199220905,1261.7836416407567,0.998305291405833,0.7211322322038531,0.0013876016456574553,0.42116081899241026,0.5681932908817431,0.4436530065189297,0.4900930044480388,1.5271353561304047e-05
NV-Clark,2266715,6.800781822963537,0.04,0.03948789302906117,0.9900000000000002,0.9932694589424031,0.6821699273175129,46743.71556671134,622.8129263876107,0.977306182145133,0.7969641037646225,0.0002747645497504586,0.8558852088945477,0.9250192267934836,6.744066173048112,7.577194752774974,2.4223219382323578e-05
NC-Mecklenburg,1110356,3.7318722322108266,0.04,0.03900526786818776,0.9700000000000002,0.9596704446599948,0.4145425633935419,15374.041639546254,286.7230624035897,0.9838687678984663,0.8541771283450865,0.000258226246720502,0.9999559635019191,0.925354326089054,6.228780761854189,3.155151515151515,3.124252754650314e-06
LA-Jefferson,432493,23.494367300001453,0.04,0.029487806250540868,0.9600000000000002,0.9776197163367435,0.5681374073991428,8273.482466447276,313.23678836963245,0.9805395083763428,0.7407071431962513,0.0007242586316301824,0.4133722033891828,0.37786511231620806,1.2611301754249524,0.47343349212165636,1.680985021992009e-05
CA-Riverside,2470546,4.436208665305062,0.04,0.04486072903997518,0.9800000000000002,0.9588151246795807,0.35204246900876435,25040.32046339721,942.9497797466134,0.9365636235191025,0.23107111272000225,0.0003816766737986718,0.915499064005183,0.9047330596039135,7.038893750446495,2.472833408172429,2.481593282409699e-05
FL-Broward,1952778,8.950263150901469,0.04,0.0387625831857585,0.9900000000000002,0.977413259984506,0.20129040266171205,52867.82162627632,1172.8846183673288,0.9944636382840358,0.9187109551278622,0.000600623633801348,0.6621424016936225,0.887557793016255,14.460555874287888,5.898534385569335,9.546416187418031e-06
TX-Dallas,2635516,3.7880911445090977,0.04,0.044549129731331454,0.9700000000000002,0.987654145992348,0.9742046878554822,50720.683360010604,611.5025444809343,0.9894925280777777,0.29837491435804475,0.00023202384067519768,1.0,0.9195666399789596,3.9521718445881238,6.090701654306902,1.7252100264451223e-06
NJ-Hudson,672391,9.745141506247533,0.08,0.039291764304057133,0.8,0.996845271743278,0.2596864493948332,9005.414569157481,10469.602453196949,0.6434518557628468,0.24768432020343867,0.015570705814320757,0.0455025647408322,0.28036574375487106,0.045828004600365464,0.05593849416755037,3.6693910206356374e-05
MA-Middlesex,1611699,9.760675980722755,0.06029660986091313,0.02465514151091075,0.81,0.9995312474906948,0.9013384645701128,11256.634132089792,461.3931511307953,0.9893099604655877,-19.00553534982519,0.00028627749420381555,0.2509670226719419,0.3995396224208774,0.12902572593834055,0.15116279069767444,6.106636796114637e-06
OH-Franklin,1316756,3.9309782525490795,0.08,0.048723976325774625,0.9500000000000002,0.9952359333612725,0.9698642607488152,11608.302333620539,204.2445012239163,0.9991258651439889,0.8976502454844206,0.000155111881946174,0.925302205902752,0.916066329513583,2.325943348614564,2.0019493177387915,1.2862004877882538e-06
VA-Fairfax,1147532,7.7932540797084195,0.08,0.026943485903967123,0.8,0.9841086538694908,0.49624517246732436,5297.439015382694,5637.465336579757,0.9057462011888148,0.532407796937713,0.004912686824053496,0.4996853737788312,0.6018993823128629,0.44270260790217086,0.29467232437529467,6.212655161869143e-05
TN-Shelby,937166,3.0082255872629196,0.04,0.05,0.9500000000000002,0.9695464211136396,0.5648463059343498,12432.86292530348,726.6104148293957,0.952836216135235,0.79490482957484,0.0007753273324356578,0.9348290525770449,0.8478812657189305,7.170967445840661,2.564166666666667,1.2624759217800327e-05
WI-Milwaukee,945726,2.7145246269398298,0.04,0.05,0.9000000000000001,0.9848217644007011,0.7685679907572452,10775.803359961872,15512.654404855317,0.994810365252675,0.6362607069446099,0.01640290570932312,0.8700898817389663,0.7416323212213686,1.833620384138835,1.3158205430932703,8.359927242784384e-05
UT-Salt Lake,1160437,4.537220300082008,0.04,0.044931895806956085,0.9800000000000002,0.9945301228610256,0.9122069334755045,13948.780644617684,220.5208426121736,0.9985791645044854,0.8508295519778503,0.0001900325848039778,0.9994297359440626,0.9217164174017506,3.2691880180532364,3.415857605177993,2.7043049936415803e-06
MN-Hennepin,1265843,5.2021646673746575,0.08,0.032792121364555143,0.8,0.9935948299765085,0.8880873222493026,13341.382121498818,211.37444128434385,0.983282046894023,0.7559394618587817,0.0001669831418938556,0.936230519444396,0.7697026119026573,1.0460517426793017,0.9435347261434218,2.2286046695481494e-06
