County/State,Fips Code,State Name,6d filter,County,County Name,Date,Date of Latest Data,State Fips Code,Avg Pos Tsts/Day,Cases per 1000,Cases per 1000 State,County Pop Density,Ct Testing Inc,Ct Testing Inc 7D Avg,Ct Testing Neg Inc,Ct Testing Neg Inc 7D Avg,Ct Testing Neg Rolltot,Ct Testing Pos Inc,Ct Testing Pos Inc 7D Avg,Ct Testing Pos Rolltot,Ct Testing Rolltot,Cumulative Cases,Cumulative Cty Cases,Cumulative Cty Deaths,Cumulative Deaths,Cur Date,Dhc County Icu Beds,Dhc County Licensed Beds,Dhc County Staffed Beds,Est Active Cases,Est Deaths,Hosp Est,Hosp. High Est,Hosp. Low Est,Hospitalization,ICU,ICU Est,ICU High Est,ICU Low Est,Ihme Allbed,Ihme Allbed Hi,Ihme Allbed Lo,Ihme Allbed Peak,Ihme Icubed,Ihme Icubed Hi,Ihme Icubed Lo,Ihme Vent,Ihme Vent Hi,Ihme Vent Lo,Latest Case Count,Live Data,Number of Records,Nyt Cases,Nyt Cases Inc,Nyt Deaths,Nyt Deaths Inc,Pct of Pop Tsted,Pct Pop Test Neg Rolltot,Pct Pop Test Pos Rolltot,Pct Pop Test Rolltot,Pct Testing Positive,Sah Period,State Day Count,State Pop Density,Total County Female Pop,Total County Land Area,Total County Male Pop,Total County Pop,Total State Female Pop,Total State Land Area,Total State Male Pop,Total State Pop,Total State Population,Vent Est.,Vent High est,Vent Low Est,Vent. Use
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,12/15/2020,,22,,0.00,0.00,1485.086087339,,,,,,,,,,165983,17529,568,5464,,157,2141,2463,1787,59,225,431,115,,,59,114,31,225,431,115,,59,114,31,53,102,27,0,0,1,0,0,0,0,,,,,,0,282,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,53,102,27,
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,12/14/2020,,22,,0.00,0.00,1485.086087339,,,,,,,,,,165983,17529,568,5464,,157,2141,2463,1777,58,224,431,113,,,59,113,30,224,431,113,,59,113,30,53,101,27,0,0,1,0,0,0,0,,,,,,0,281,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,53,101,27,
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,12/16/2020,,22,,0.00,0.00,1485.086087339,,,,,,,,,,165983,17529,568,5464,,157,2141,2463,1787,59,225,430,115,,,59,114,31,225,430,115,,59,114,31,52,101,27,0,0,1,0,0,0,0,,,,,,0,283,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,52,101,27,
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,12/17/2020,,22,,0.00,0.00,1485.086087339,,,,,,,,,,165983,17529,568,5464,,157,2141,2463,1779,58,224,428,115,,,58,112,31,224,428,115,,58,112,31,51,99,27,0,0,1,0,0,0,0,,,,,,0,284,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,51,99,27,
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,12/13/2020,,22,,0.00,0.00,1485.086087339,,,,,,,,,,165983,17529,568,5464,,157,2141,2463,1757,58,221,426,111,,,59,113,30,221,426,111,,59,113,30,52,100,26,0,0,1,0,0,0,0,,,,,,0,280,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,52,100,26,
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,12/12/2020,,22,,0.00,0.00,1485.086087339,,,,,,,,,,165983,17529,568,5464,,157,2141,2463,1727,57,217,421,109,,,58,111,29,217,421,109,,58,111,29,51,99,26,0,0,1,0,0,0,0,,,,,,0,279,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,51,99,26,
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,12/18/2020,,22,,0.00,0.00,1485.086087339,,,,,,,,,,165983,17529,568,5464,,157,2141,2463,1767,58,222,425,114,,,57,109,30,222,425,114,,57,109,30,50,96,26,0,0,1,0,0,0,0,,,,,,0,285,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,50,96,26,
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,12/11/2020,,22,,0.00,0.00,1485.086087339,,,,,,,,,,165983,17529,568,5464,,157,2141,2463,1689,55,213,412,107,,,56,109,28,213,412,107,,56,109,28,50,97,26,0,0,1,0,0,0,0,,,,,,0,278,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,50,97,26,
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,12/19/2020,,22,,0.00,0.00,1485.086087339,,,,,,,,,,165983,17529,568,5464,,157,2141,2463,1753,57,221,422,113,,,56,107,29,221,422,113,,56,107,29,49,93,26,0,0,1,0,0,0,0,,,,,,0,286,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,49,93,26,
"JEFFERSON PARISH, LOUISIANA",22051,LOUISIANA,False,JEFFERSON PARISH,JEFFERSON PARISH,12/10/2020,,22,,0.00,0.00,1485.086087339,,,,,,,,,,165983,17529,568,5464,,157,2141,2463,1648,54,207,400,104,,,55,106,28,207,400,104,,55,106,28,49,95,25,0,0,1,0,0,0,0,,,,,,0,277,108.423871091,226050,295.63,212986,439036,2394887,43203.89,2289446,4684333,4684333,49,95,25,
