County/State,Fips Code,State Name,6d filter,County,County Name,Date,Date of Latest Data,State Fips Code,Avg Pos Tsts/Day,Cases per 1000,Cases per 1000 State,County Pop Density,Ct Testing Inc,Ct Testing Inc 7D Avg,Ct Testing Neg Inc,Ct Testing Neg Inc 7D Avg,Ct Testing Neg Rolltot,Ct Testing Pos Inc,Ct Testing Pos Inc 7D Avg,Ct Testing Pos Rolltot,Ct Testing Rolltot,Cumulative Cases,Cumulative Cty Cases,Cumulative Cty Deaths,Cumulative Deaths,Cur Date,Dhc County Icu Beds,Dhc County Licensed Beds,Dhc County Staffed Beds,Est Active Cases,Est Deaths,Hosp Est,Hosp. High Est,Hosp. Low Est,Hospitalization,ICU,ICU Est,ICU High Est,ICU Low Est,Ihme Allbed,Ihme Allbed Hi,Ihme Allbed Lo,Ihme Allbed Peak,Ihme Icubed,Ihme Icubed Hi,Ihme Icubed Lo,Ihme Vent,Ihme Vent Hi,Ihme Vent Lo,Latest Case Count,Live Data,Number of Records,Nyt Cases,Nyt Cases Inc,Nyt Deaths,Nyt Deaths Inc,Pct of Pop Tsted,Pct Pop Test Neg Rolltot,Pct Pop Test Pos Rolltot,Pct Pop Test Rolltot,Pct Testing Positive,Sah Period,State Day Count,State Pop Density,Total County Female Pop,Total County Land Area,Total County Male Pop,Total County Pop,Total State Female Pop,Total State Land Area,Total State Male Pop,Total State Pop,Total State Population,Vent Est.,Vent High est,Vent Low Est,Vent. Use
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,9/28/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,348,32,50,73,31,,,14,21,9,50,73,31,,14,21,9,13,19,8,0,0,1,0,0,0,0,,,,,,0,209,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,13,19,8,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,9/29/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,359,33,51,77,31,,,15,22,9,51,77,31,,15,22,9,13,20,8,0,0,1,0,0,0,0,,,,,,0,210,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,13,20,8,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,9/30/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,371,34,53,82,30,,,15,24,9,53,82,30,,15,24,9,14,21,8,0,0,1,0,0,0,0,,,,,,0,211,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,14,21,8,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/1/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,383,35,55,87,30,,,16,25,9,55,87,30,,16,25,9,14,23,8,0,0,1,0,0,0,0,,,,,,0,212,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,14,23,8,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,True,BERGEN,BERGEN,10/2/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,396,37,56,91,30,,,16,26,8,56,91,30,,16,26,8,15,24,8,0,0,1,0,0,0,0,,,,,,0,213,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,15,24,8,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,True,BERGEN,BERGEN,10/3/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,409,38,58,96,30,,,17,28,9,58,96,30,,17,28,9,15,25,8,0,0,1,0,0,0,0,,,,,,0,214,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,15,25,8,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,True,BERGEN,BERGEN,10/4/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,423,39,60,101,31,,,17,29,9,60,101,31,,17,29,9,16,26,8,0,0,1,0,0,0,0,,,,,,0,215,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,16,26,8,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,True,BERGEN,BERGEN,10/5/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,438,40,62,107,31,,,18,31,9,62,107,31,,18,31,9,16,28,8,0,0,1,0,0,0,0,,,,,,0,216,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,16,28,8,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,True,BERGEN,BERGEN,10/6/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,453,42,65,112,31,,,18,32,9,65,112,31,,18,32,9,17,29,8,0,0,1,0,0,0,0,,,,,,0,217,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,17,29,8,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,True,BERGEN,BERGEN,10/7/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,469,43,67,119,31,,,19,34,9,67,119,31,,19,34,9,17,31,8,0,0,1,0,0,0,0,,,,,,0,218,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,17,31,8,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/8/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,486,45,69,125,32,,,20,36,9,69,125,32,,20,36,9,18,32,8,0,0,1,0,0,0,0,,,,,,0,219,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,18,32,8,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/9/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,504,46,72,131,32,,,20,37,9,72,131,32,,20,37,9,18,34,8,0,0,1,0,0,0,0,,,,,,0,220,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,18,34,8,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/10/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,522,48,74,137,32,,,21,39,9,74,137,32,,21,39,9,19,35,8,0,0,1,0,0,0,0,,,,,,0,221,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,19,35,8,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/11/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,542,50,77,144,33,,,22,41,9,77,144,33,,22,41,9,20,37,8,0,0,1,0,0,0,0,,,,,,0,222,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,20,37,8,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/12/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,562,52,80,151,33,,,23,43,9,80,151,33,,23,43,9,20,39,9,0,0,1,0,0,0,0,,,,,,0,223,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,20,39,9,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/13/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,583,54,83,159,34,,,24,45,10,83,159,34,,24,45,10,21,41,9,0,0,1,0,0,0,0,,,,,,0,224,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,21,41,9,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/14/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,605,56,86,167,34,,,24,48,10,86,167,34,,24,48,10,22,43,9,0,0,1,0,0,0,0,,,,,,0,225,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,22,43,9,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/15/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,629,58,89,176,35,,,25,50,10,89,176,35,,25,50,10,23,46,9,0,0,1,0,0,0,0,,,,,,0,226,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,23,46,9,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/16/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,654,60,93,185,36,,,26,53,10,93,185,36,,26,53,10,24,48,9,0,0,1,0,0,0,0,,,,,,0,227,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,24,48,9,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/17/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,680,62,97,195,36,,,27,56,10,97,195,36,,27,56,10,25,51,9,0,0,1,0,0,0,0,,,,,,0,228,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,25,51,9,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/18/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,707,65,100,206,37,,,28,59,11,100,206,37,,28,59,11,26,53,10,0,0,1,0,0,0,0,,,,,,0,229,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,26,53,10,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/19/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,736,68,105,216,38,,,30,62,11,105,216,38,,30,62,11,27,56,10,0,0,1,0,0,0,0,,,,,,0,230,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,27,56,10,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/20/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,767,70,109,229,39,,,31,65,11,109,229,39,,31,65,11,28,59,10,0,0,1,0,0,0,0,,,,,,0,231,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,28,59,10,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/21/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,799,73,113,242,41,,,32,69,12,113,242,41,,32,69,12,29,63,11,0,0,1,0,0,0,0,,,,,,0,232,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,29,63,11,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/22/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,833,76,118,255,42,,,34,73,12,118,255,42,,34,73,12,30,66,11,0,0,1,0,0,0,0,,,,,,0,233,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,30,66,11,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/23/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,869,80,123,269,44,,,35,76,13,123,269,44,,35,76,13,32,70,11,0,0,1,0,0,0,0,,,,,,0,234,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,32,70,11,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/24/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,907,83,129,284,45,,,37,81,13,129,284,45,,37,81,13,33,74,12,0,0,1,0,0,0,0,,,,,,0,235,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,33,74,12,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/25/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,948,87,134,301,47,,,38,86,13,134,301,47,,38,86,13,35,78,12,0,0,1,0,0,0,0,,,,,,0,236,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,35,78,12,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/26/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,991,91,141,318,48,,,40,91,14,141,318,48,,40,91,14,36,82,13,0,0,1,0,0,0,0,,,,,,0,237,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,36,82,13,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/27/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,1036,95,147,336,50,,,42,96,14,147,336,50,,42,96,14,38,88,13,0,0,1,0,0,0,0,,,,,,0,238,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,38,88,13,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/28/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,1084,99,154,358,52,,,44,103,15,154,358,52,,44,103,15,40,93,13,0,0,1,0,0,0,0,,,,,,0,239,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,40,93,13,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/29/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,1135,104,161,380,54,,,46,107,15,161,380,54,,46,107,15,41,97,14,0,0,1,0,0,0,0,,,,,,0,240,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,41,97,14,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/30/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,1188,109,169,396,56,,,48,113,16,169,396,56,,48,113,16,43,103,14,0,0,1,0,0,0,0,,,,,,0,241,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,43,103,14,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,10/31/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,1245,114,177,418,58,,,50,119,17,177,418,58,,50,119,17,45,109,15,0,0,1,0,0,0,0,,,,,,0,242,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,45,109,15,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,11/1/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,1306,119,185,442,60,,,53,126,17,185,442,60,,53,126,17,48,115,16,0,0,1,0,0,0,0,,,,,,0,243,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,48,115,16,
"BERGEN, NEW JERSEY",34003,NEW JERSEY,False,BERGEN,BERGEN,11/2/2020,,34,,0.00,0.00,4070.237328870,,,,,,,,,,205307,22648,2045,16106,,112,3011,3025,1370,125,194,467,62,,,55,133,18,194,467,62,,55,133,18,50,121,16,0,0,1,0,0,0,0,,,,,,0,244,1224.557939681,488299,233.01,460107,948406,4609070,7354.2,4396574,9005644,9005644,50,121,16,
