County/State,Fips Code,State Name,6d filter,County,County Name,Date,Date of Latest Data,State Fips Code,Avg Pos Tsts/Day,Cases per 1000,Cases per 1000 State,County Pop Density,Ct Testing Inc,Ct Testing Inc 7D Avg,Ct Testing Neg Inc,Ct Testing Neg Inc 7D Avg,Ct Testing Neg Rolltot,Ct Testing Pos Inc,Ct Testing Pos Inc 7D Avg,Ct Testing Pos Rolltot,Ct Testing Rolltot,Cumulative Cases,Cumulative Cty Cases,Cumulative Cty Deaths,Cumulative Deaths,Cur Date,Dhc County Icu Beds,Dhc County Licensed Beds,Dhc County Staffed Beds,Est Active Cases,Est Deaths,Hosp Est,Hosp. High Est,Hosp. Low Est,Hospitalization,ICU,ICU Est,ICU High Est,ICU Low Est,Ihme Allbed,Ihme Allbed Hi,Ihme Allbed Lo,Ihme Allbed Peak,Ihme Icubed,Ihme Icubed Hi,Ihme Icubed Lo,Ihme Vent,Ihme Vent Hi,Ihme Vent Lo,Latest Case Count,Live Data,Number of Records,Nyt Cases,Nyt Cases Inc,Nyt Deaths,Nyt Deaths Inc,Pct of Pop Tsted,Pct Pop Test Neg Rolltot,Pct Pop Test Pos Rolltot,Pct Pop Test Rolltot,Pct Testing Positive,Sah Period,State Day Count,State Pop Density,Total County Female Pop,Total County Land Area,Total County Male Pop,Total County Pop,Total State Female Pop,Total State Land Area,Total State Male Pop,Total State Pop,Total State Population,Vent Est.,Vent High est,Vent Low Est,Vent. Use
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,3/31/2020,,51,,0.00,0.00,2937.394173466,267,265.142857143,222,236.571428571,2374,45,28.571428571,245,2619,145976,20800,586,3158,,142,1673,2807,244,2,,,,22,9,,,,22,22,22,,9,9,9,8,8,8,0,1,1,244,19,2,0,,0.002067165,0.000213334,0.002280499,10.78%,1,25,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,8
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,4/2/2020,,51,,0.00,0.00,2937.394173466,432,330.428571429,389,294.285714286,3054,43,36.142857143,328,3382,145976,20800,586,3158,,142,1673,2807,328,5,,,,29,11,,,,29,29,29,,11,11,11,11,11,11,0,1,1,328,40,5,0,,0.002659276,0.000285607,0.002944882,10.94%,1,27,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,11
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,4/4/2020,,51,,0.00,0.00,2937.394173466,410,337.571428571,346,292.571428571,3077,64,45,387,3464,145976,20800,586,3158,,142,1673,2807,388,5,,,,31,12,,,,31,31,31,,12,12,12,11,11,11,0,1,1,387,15,5,0,,0.002679303,0.000336981,0.003016284,13.33%,1,29,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,11
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,4/3/2020,,51,,0.00,0.00,2937.394173466,263,334.285714286,206,294.285714286,3144,57,40,373,3517,145976,20800,586,3158,,142,1673,2807,372,5,,,,31,12,,,,31,31,31,,12,12,12,12,12,12,0,1,1,372,44,5,0,,0.002737643,0.000324790,0.003062434,11.97%,1,28,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,12
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,4/5/2020,,51,,0.00,0.00,2937.394173466,344,343.285714286,306,297.428571429,3400,38,45.857142857,427,3827,145976,20800,586,3158,,142,1673,2807,426,5,,,,35,13,,,,35,35,35,,13,13,13,13,13,13,0,1,1,426,39,5,0,,0.002960556,0.000371811,0.003332367,13.36%,1,30,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,13
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,4/8/2020,,51,,0.00,0.00,2937.394173466,314,366.714285714,265,314.571428571,4224,49,52.142857143,571,4795,145976,20800,586,3158,,142,1673,2807,570,9,,,,47,18,,,,47,47,47,,18,18,18,17,17,17,0,1,1,570,38,9,0,,0.003678055,0.000497199,0.004175254,14.22%,1,33,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,17
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,4/10/2020,,51,,0.00,0.00,2937.394173466,420,385.571428571,339,326.428571429,5334,81,59.142857143,777,6111,145976,20800,586,3158,,142,1673,2807,777,16,,,,63,23,,,,63,63,63,,23,23,23,22,22,22,0,1,1,777,87,16,0,,0.004644590,0.000676574,0.005321164,15.34%,1,35,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,22
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,4/11/2020,,51,,0.00,0.00,2937.394173466,474,394.714285714,368,329.571428571,6136,106,65.142857143,947,7083,145976,20800,586,3158,,142,1673,2807,946,16,,,,74,27,,,,74,74,74,,27,27,27,26,26,26,0,1,1,946,169,16,0,,0.005342933,0.000824602,0.006167534,16.50%,1,36,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,26
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,6/8/2020,,51,,0.00,0.00,2937.394173466,930,2071,789,1864.857142857,81726,141,206.142857143,12603,94329,145976,20800,586,3158,,142,1673,2807,12603,415,,,,100,30,,,,100,100,100,,30,30,30,26,26,26,0,1,1,12603,148,414,0,,0.071163054,0.010974084,0.082137138,9.95%,1,94,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,26
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,4/12/2020,,51,,0.00,0.00,2937.394173466,380,399.857142857,342,334.714285714,6636,38,65.142857143,1009,7645,145976,20800,586,3158,,142,1673,2807,1008,16,,,,83,30,,,,83,83,83,,30,30,30,28,28,28,0,1,1,1008,62,16,0,,0.005778308,0.000878588,0.006656897,16.29%,1,37,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,28
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,4/14/2020,,51,,0.00,0.00,2937.394173466,267,364.285714286,184,289.857142857,7155,83,74.428571429,1207,8362,145976,20800,586,3158,,142,1673,2807,1207,20,,,,98,35,,,,98,98,98,,35,35,35,33,33,33,0,1,1,1207,43,20,0,,0.006230228,0.001050997,0.007281226,20.43%,1,39,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,33
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,4/18/2020,,51,,0.00,0.00,2937.394173466,595,395.857142857,481,311,8898,114,84.857142857,1633,10531,145976,20800,586,3158,,142,1673,2807,1633,37,,,,128,44,,,,128,128,128,,44,44,44,41,41,41,0,1,1,1633,157,37,0,,0.007747949,0.001421938,0.009169886,21.44%,1,43,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,41
"FAIRFAX, VIRGINIA",51059,VIRGINIA,False,FAIRFAX,FAIRFAX,5/31/2020,,51,,0.00,0.00,2937.394173466,2462,2558.857142857,2213,2258.571428571,67443,249,300.285714286,11110,78553,145976,20800,586,3158,,142,1673,2807,11110,383,,,,155,46,,,,155,155,155,,46,46,46,41,41,41,0,1,1,11110,204,383,0,,0.058726108,0.009674052,0.068400159,11.74%,1,86,216.679365612,579234,390.97,569199,1148433,4263797,38730.25,4128249,8392046,8392046,,,,41
